Nombre del Producto,Categoría,Precio Unitario,Stock Disponible,Proveedor
Producto 101,Material de Oficina,10.00,334,Proveedor 44
Producto 102,Esferos,10.00,189,Proveedor 33
Producto 103,Toners,15.50,124,Proveedor 36
Producto 104,Papel,1000.00,153,Proveedor 16
Producto 105,Toners,10.00,370,Proveedor 43
Producto 106,Material de Oficina,10.00,118,Proveedor 16
Producto 107,Papel,10.00,117,Proveedor 11
Producto 108,Carpetas,10.00,489,Proveedor 8
Producto 109,Carpetas,15.50,311,Proveedor 30
Producto 110,Carpetas,15.50,108,Proveedor 13
Producto 111,Papel,30.00,159,Proveedor 5
Producto 112,Toners,10.00,17,Proveedor 5
Producto 113,Esferos,10.00,402,Proveedor 38
Producto 114,Material de Oficina,10.00,293,Proveedor 10
Producto 115,Material de Oficina,10.00,170,Proveedor 42
Producto 116,Toners,10.00,397,Proveedor 30
Producto 117,Papel,10.00,447,Proveedor 18
Producto 118,Carpetas,10.00,172,Proveedor 35
Producto 119,Carpetas,10.00,397,Proveedor 37
Producto 120,Material de Oficina,15.50,175,Proveedor 35
Producto 121,Material de Oficina,10.00,420,Proveedor 1
Producto 122,Carpetas,10.00,441,Proveedor 44
Producto 123,Material de Oficina,10.00,341,Proveedor 38
Producto 124,Esferos,30.00,105,Proveedor 16
Producto 125,Esferos,10.00,99,Proveedor 31
Producto 126,Material de Oficina,15.50,5,Proveedor 28
Producto 127,Papel,10.00,10,Proveedor 40
Producto 128,Papel,1000.00,198,Proveedor 17
Producto 129,Esferos,10.00,0,Proveedor 15
Producto 130,Toners,10.00,430,Proveedor 45
Producto 131,Toners,30.00,191,Proveedor 39
Producto 132,Esferos,10.00,305,Proveedor 46
Producto 133,Esferos,15.50,67,Proveedor 23
Producto 134,Papel,15.50,120,Proveedor 27
Producto 135,Carpetas,15.50,146,Proveedor 31
Producto 136,Esferos,1000.00,280,Proveedor 46
Producto 137,Toners,10.00,310,Proveedor 23
Producto 138,Carpetas,10.00,280,Proveedor 50
Producto 139,Papel,15.50,127,Proveedor 1
Producto 140,Toners,10.00,66,Proveedor 48
Producto 141,Material de Oficina,15.50,143,Proveedor 14
Producto 142,Toners,10.00,59,Proveedor 25
Producto 143,Toners,10.00,39,Proveedor 2
Producto 144,Papel,1000.00,378,Proveedor 13
Producto 145,Papel,10.00,347,Proveedor 36
Producto 146,Esferos,15.50,256,Proveedor 35
Producto 147,Carpetas,10.00,499,Proveedor 2
Producto 148,Carpetas,10.00,160,Proveedor 26
Producto 149,Toners,1000.00,56,Proveedor 46
Producto 150,Carpetas,10.00,375,Proveedor 32
Producto 151,Papel,1000.00,465,Proveedor 43
Producto 152,Material de Oficina,10.00,260,Proveedor 45
Producto 153,Carpetas,10.00,220,Proveedor 19
Producto 154,Papel,10.00,365,Proveedor 38
Producto 155,Carpetas,1000.00,285,Proveedor 41
Producto 156,Material de Oficina,10.00,144,Proveedor 24
Producto 157,Esferos,10.00,44,Proveedor 45
Producto 158,Carpetas,10.00,156,Proveedor 36
Producto 159,Esferos,1000.00,496,Proveedor 14
Producto 160,Material de Oficina,10.00,355,Proveedor 43
Producto 161,Esferos,10.00,21,Proveedor 37
Producto 162,Toners,10.00,269,Proveedor 10
Producto 163,Esferos,15.50,189,Proveedor 39
Producto 164,Esferos,10.00,433,Proveedor 29
Producto 165,Material de Oficina,1000.00,430,Proveedor 32
Producto 166,Material de Oficina,1000.00,168,Proveedor 49
Producto 167,Papel,1000.00,433,Proveedor 25
Producto 168,Toners,30.00,443,Proveedor 26
Producto 169,Carpetas,15.50,250,Proveedor 37
Producto 170,Papel,10.00,106,Proveedor 34
Producto 171,Papel,30.00,233,Proveedor 33
Producto 172,Material de Oficina,10.00,160,Proveedor 31
Producto 173,Esferos,1000.00,288,Proveedor 11
Producto 174,Carpetas,1000.00,152,Proveedor 39
Producto 175,Toners,1000.00,0,Proveedor 38
Producto 176,Carpetas,10.00,283,Proveedor 30
Producto 177,Papel,1000.00,170,Proveedor 7
Producto 178,Esferos,10.00,24,Proveedor 15
Producto 179,Papel,1000.00,66,Proveedor 50
Producto 180,Carpetas,1000.00,261,Proveedor 10
Producto 181,Papel,15.50,144,Proveedor 39
Producto 182,Material de Oficina,10.00,324,Proveedor 45
Producto 183,Material de Oficina,10.00,180,Proveedor 33
Producto 184,Carpetas,10.00,79,Proveedor 31
Producto 185,Material de Oficina,15.50,384,Proveedor 6
Producto 186,Papel,1000.00,317,Proveedor 26
Producto 187,Material de Oficina,10.00,414,Proveedor 33
Producto 188,Esferos,10.00,154,Proveedor 6
Producto 189,Papel,10.00,286,Proveedor 45
Producto 190,Material de Oficina,30.00,65,Proveedor 23
Producto 191,Material de Oficina,10.00,282,Proveedor 39
Producto 192,Esferos,10.00,485,Proveedor 2
Producto 193,Material de Oficina,10.00,287,Proveedor 49
Producto 194,Papel,10.00,322,Proveedor 19
Producto 195,Papel,30.00,19,Proveedor 3
Producto 196,Toners,30.00,51,Proveedor 6
Producto 197,Esferos,10.00,163,Proveedor 50
Producto 198,Esferos,1000.00,304,Proveedor 3
Producto 199,Carpetas,1000.00,413,Proveedor 17
Producto 200,Toners,10.00,241,Proveedor 50
Producto 201,Esferos,10.00,54,Proveedor 24
Producto 202,Esferos,10.00,83,Proveedor 34
Producto 203,Material de Oficina,10.00,42,Proveedor 21
Producto 204,Esferos,1000.00,331,Proveedor 13
Producto 205,Material de Oficina,15.50,8,Proveedor 43
Producto 206,Carpetas,10.00,415,Proveedor 44
Producto 207,Esferos,10.00,165,Proveedor 18
Producto 208,Carpetas,15.50,124,Proveedor 7
Producto 209,Toners,15.50,59,Proveedor 21
Producto 210,Material de Oficina,1000.00,237,Proveedor 18
Producto 211,Papel,10.00,18,Proveedor 28
Producto 212,Material de Oficina,10.00,272,Proveedor 37
Producto 213,Papel,10.00,91,Proveedor 33
Producto 214,Material de Oficina,10.00,164,Proveedor 13
Producto 215,Esferos,10.00,228,Proveedor 8
Producto 216,Carpetas,30.00,477,Proveedor 35
Producto 217,Esferos,1000.00,21,Proveedor 43
Producto 218,Papel,15.50,435,Proveedor 19
Producto 219,Esferos,10.00,446,Proveedor 37
Producto 220,Esferos,10.00,145,Proveedor 33
Producto 221,Esferos,10.00,328,Proveedor 32
Producto 222,Toners,10.00,386,Proveedor 48
Producto 223,Esferos,10.00,280,Proveedor 17
Producto 224,Toners,1000.00,307,Proveedor 30
Producto 225,Papel,10.00,230,Proveedor 15
Producto 226,Material de Oficina,15.50,483,Proveedor 25
Producto 227,Carpetas,10.00,324,Proveedor 44
Producto 228,Carpetas,10.00,5,Proveedor 9
Producto 229,Papel,10.00,479,Proveedor 17
Producto 230,Toners,1000.00,52,Proveedor 35
Producto 231,Esferos,10.00,34,Proveedor 15
Producto 232,Esferos,10.00,272,Proveedor 22
Producto 233,Material de Oficina,1000.00,244,Proveedor 11
Producto 234,Papel,10.00,397,Proveedor 11
Producto 235,Carpetas,30.00,152,Proveedor 33
Producto 236,Material de Oficina,15.50,116,Proveedor 24
Producto 237,Papel,15.50,372,Proveedor 1
Producto 238,Material de Oficina,1000.00,372,Proveedor 45
Producto 239,Papel,10.00,126,Proveedor 4
Producto 240,Carpetas,1000.00,461,Proveedor 43
Producto 241,Carpetas,10.00,426,Proveedor 35
Producto 242,Material de Oficina,10.00,171,Proveedor 50
Producto 243,Papel,10.00,326,Proveedor 16
Producto 244,Material de Oficina,10.00,107,Proveedor 18
Producto 245,Carpetas,10.00,68,Proveedor 50
Producto 246,Toners,10.00,16,Proveedor 32
Producto 247,Carpetas,10.00,19,Proveedor 46
Producto 248,Carpetas,1000.00,404,Proveedor 34
Producto 249,Material de Oficina,1000.00,350,Proveedor 48
Producto 250,Material de Oficina,15.50,11,Proveedor 32
Producto 251,Carpetas,10.00,188,Proveedor 19
Producto 252,Material de Oficina,10.00,490,Proveedor 17
Producto 253,Papel,10.00,54,Proveedor 28
Producto 254,Toners,30.00,401,Proveedor 41
Producto 255,Papel,1000.00,36,Proveedor 50
Producto 256,Carpetas,15.50,30,Proveedor 11
Producto 257,Esferos,1000.00,257,Proveedor 35
Producto 258,Toners,15.50,141,Proveedor 23
Producto 259,Material de Oficina,10.00,207,Proveedor 47
Producto 260,Material de Oficina,10.00,432,Proveedor 13
Producto 261,Toners,10.00,363,Proveedor 37
Producto 262,Esferos,1000.00,209,Proveedor 10
Producto 263,Papel,10.00,29,Proveedor 21
Producto 264,Carpetas,10.00,481,Proveedor 5
Producto 265,Toners,15.50,494,Proveedor 31
Producto 266,Carpetas,10.00,299,Proveedor 6
Producto 267,Esferos,10.00,188,Proveedor 21
Producto 268,Toners,10.00,257,Proveedor 25
Producto 269,Esferos,10.00,151,Proveedor 11
Producto 270,Carpetas,10.00,207,Proveedor 14
Producto 271,Esferos,15.50,433,Proveedor 33
Producto 272,Material de Oficina,10.00,0,Proveedor 27
Producto 273,Material de Oficina,10.00,476,Proveedor 47
Producto 274,Esferos,10.00,140,Proveedor 30
Producto 275,Material de Oficina,30.00,430,Proveedor 21
Producto 276,Material de Oficina,10.00,253,Proveedor 38
Producto 277,Carpetas,10.00,314,Proveedor 40
Producto 278,Material de Oficina,10.00,456,Proveedor 49
Producto 279,Toners,30.00,457,Proveedor 38
Producto 280,Esferos,15.50,480,Proveedor 9
Producto 281,Material de Oficina,10.00,97,Proveedor 2
Producto 282,Carpetas,10.00,409,Proveedor 2
Producto 283,Papel,30.00,93,Proveedor 21
Producto 284,Material de Oficina,10.00,478,Proveedor 30
Producto 285,Papel,10.00,136,Proveedor 16
Producto 286,Toners,10.00,457,Proveedor 22
Producto 287,Papel,10.00,353,Proveedor 29
Producto 288,Toners,30.00,141,Proveedor 46
Producto 289,Papel,1000.00,82,Proveedor 15
Producto 290,Esferos,10.00,379,Proveedor 33
Producto 291,Esferos,30.00,299,Proveedor 46
Producto 292,Material de Oficina,10.00,469,Proveedor 5
Producto 293,Papel,1000.00,282,Proveedor 35
Producto 294,Toners,10.00,228,Proveedor 48
Producto 295,Papel,10.00,396,Proveedor 21
Producto 296,Carpetas,10.00,238,Proveedor 35
Producto 297,Esferos,30.00,269,Proveedor 4
Producto 298,Esferos,30.00,140,Proveedor 27
Producto 299,Carpetas,15.50,392,Proveedor 48
Producto 300,Carpetas,15.50,89,Proveedor 37
