Nombre de la Empresa,Tipo de Cliente,Ubicacion,Ejecutivo de Cuenta,Volumen de Compra Mensual
Cliente 41,Mediana Empresa,Ubicacion 31,Empleado 94,23246.20
Cliente 42,Gobierno,Ubicacion 46,Empleado 19,20086.21
Cliente 43,Corporativo,Ubicacion 92,Empleado 12,1982.39
Cliente 44,Corporativo,Ubicacion 88,Empleado 92,27475.39
Cliente 45,Corporativo,Ubicacion 43,Empleado 80,49142.37
Cliente 46,Corporativo,Ubicacion 100,Empleado 29,17311.46
Cliente 47,Gobierno,Ubicacion 73,Empleado 4,42560.08
Cliente 48,Mediana Empresa,Ubicacion 40,Empleado 25,5281.79
Cliente 49,Gobierno,Ubicacion 31,Empleado 27,26345.05
Cliente 50,Gobierno,Ubicacion 70,Empleado 29,26205.76
Cliente 51,Mediana Empresa,Ubicacion 40,Empleado 79,34017.20
Cliente 52,Gobierno,Ubicacion 90,Empleado 23,9357.78
Cliente 53,Corporativo,Ubicacion 27,Empleado 10,21097.95
Cliente 54,Mediana Empresa,Ubicacion 87,Empleado 36,10064.47
Cliente 55,Corporativo,Ubicacion 47,Empleado 57,12093.96
Cliente 56,Mediana Empresa,Ubicacion 97,Empleado 32,11688.54
Cliente 57,Corporativo,Ubicacion 100,Empleado 24,41211.23
Cliente 58,Corporativo,Ubicacion 38,Empleado 42,23956.42
Cliente 59,Mediana Empresa,Ubicacion 82,Empleado 18,37915.09
Cliente 60,Gobierno,Ubicacion 9,Empleado 98,46456.63
Cliente 61,Gobierno,Ubicacion 84,Empleado 49,2105.43
Cliente 62,Mediana Empresa,Ubicacion 44,Empleado 69,18716.75
Cliente 63,Corporativo,Ubicacion 64,Empleado 18,11213.24
Cliente 64,Gobierno,Ubicacion 85,Empleado 22,8489.65
Cliente 65,Corporativo,Ubicacion 54,Empleado 85,3222.00
Cliente 66,Gobierno,Ubicacion 58,Empleado 41,30623.28
Cliente 67,Corporativo,Ubicacion 17,Empleado 16,24089.53
Cliente 68,Corporativo,Ubicacion 32,Empleado 20,24786.24
Cliente 69,Corporativo,Ubicacion 43,Empleado 93,21246.42
Cliente 70,Corporativo,Ubicacion 67,Empleado 73,25864.06
Cliente 71,Corporativo,Ubicacion 44,Empleado 54,11844.75
Cliente 72,Mediana Empresa,Ubicacion 19,Empleado 73,12400.62
Cliente 73,Mediana Empresa,Ubicacion 24,Empleado 96,26209.04
Cliente 74,Corporativo,Ubicacion 64,Empleado 68,38237.20
Cliente 75,Corporativo,Ubicacion 29,Empleado 24,45839.60
Cliente 76,Corporativo,Ubicacion 26,Empleado 11,31604.42
Cliente 77,Corporativo,Ubicacion 77,Empleado 36,24705.42
Cliente 78,Corporativo,Ubicacion 48,Empleado 46,48206.90
Cliente 79,Gobierno,Ubicacion 50,Empleado 81,26932.55
Cliente 80,Corporativo,Ubicacion 96,Empleado 25,30837.93
Cliente 81,Mediana Empresa,Ubicacion 6,Empleado 53,47152.81
Cliente 82,Corporativo,Ubicacion 67,Empleado 70,31632.39
Cliente 83,Corporativo,Ubicacion 42,Empleado 9,12851.12
Cliente 84,Gobierno,Ubicacion 63,Empleado 79,22529.42
Cliente 85,Corporativo,Ubicacion 6,Empleado 69,32650.69
Cliente 86,Corporativo,Ubicacion 83,Empleado 60,31029.54
Cliente 87,Corporativo,Ubicacion 2,Empleado 48,36741.86
Cliente 88,Corporativo,Ubicacion 25,Empleado 15,30626.49
Cliente 89,Corporativo,Ubicacion 83,Empleado 45,44591.20
Cliente 90,Corporativo,Ubicacion 26,Empleado 56,30616.39
Cliente 91,Corporativo,Ubicacion 69,Empleado 15,1048.55
Cliente 92,Mediana Empresa,Ubicacion 78,Empleado 12,14976.51
Cliente 93,Corporativo,Ubicacion 100,Empleado 96,30137.88
Cliente 94,Mediana Empresa,Ubicacion 40,Empleado 20,35353.83
Cliente 95,Mediana Empresa,Ubicacion 86,Empleado 95,13068.76
Cliente 96,Corporativo,Ubicacion 98,Empleado 5,31060.69
Cliente 97,Corporativo,Ubicacion 4,Empleado 89,34255.63
Cliente 98,Corporativo,Ubicacion 76,Empleado 80,29896.92
Cliente 99,Gobierno,Ubicacion 74,Empleado 9,37233.61
Cliente 100,Corporativo,Ubicacion 99,Empleado 68,17882.89
Cliente 101,Corporativo,Ubicacion 97,Empleado 51,36730.23
Cliente 102,Mediana Empresa,Ubicacion 69,Empleado 89,12640.49
Cliente 103,Mediana Empresa,Ubicacion 65,Empleado 30,2907.86
Cliente 104,Gobierno,Ubicacion 36,Empleado 38,7775.41
Cliente 105,Mediana Empresa,Ubicacion 95,Empleado 56,36161.12
Cliente 106,Corporativo,Ubicacion 73,Empleado 97,39503.21
Cliente 107,Mediana Empresa,Ubicacion 2,Empleado 18,27115.75
Cliente 108,Mediana Empresa,Ubicacion 5,Empleado 60,32528.35
Cliente 109,Gobierno,Ubicacion 89,Empleado 68,14565.98
Cliente 110,Corporativo,Ubicacion 11,Empleado 87,3017.28
Cliente 111,Gobierno,Ubicacion 34,Empleado 83,18538.02
Cliente 112,Mediana Empresa,Ubicacion 15,Empleado 68,42988.01
Cliente 113,Mediana Empresa,Ubicacion 89,Empleado 93,4051.63
Cliente 114,Corporativo,Ubicacion 57,Empleado 47,14427.66
Cliente 115,Gobierno,Ubicacion 21,Empleado 47,2515.92
Cliente 116,Corporativo,Ubicacion 62,Empleado 62,25163.20
Cliente 117,Corporativo,Ubicacion 2,Empleado 3,44538.35
Cliente 118,Gobierno,Ubicacion 45,Empleado 25,6972.38
Cliente 119,Corporativo,Ubicacion 5,Empleado 99,16460.19
Cliente 120,Gobierno,Ubicacion 52,Empleado 52,38242.38
Cliente 121,Corporativo,Ubicacion 99,Empleado 58,48554.23
Cliente 122,Corporativo,Ubicacion 1,Empleado 77,37945.25
Cliente 123,Mediana Empresa,Ubicacion 24,Empleado 60,46152.66
Cliente 124,Mediana Empresa,Ubicacion 30,Empleado 68,20405.19
Cliente 125,Corporativo,Ubicacion 92,Empleado 16,38280.67
Cliente 126,Mediana Empresa,Ubicacion 67,Empleado 99,26889.33
Cliente 127,Corporativo,Ubicacion 10,Empleado 77,19881.98
Cliente 128,Corporativo,Ubicacion 41,Empleado 84,8432.77
Cliente 129,Corporativo,Ubicacion 39,Empleado 1,36145.99
Cliente 130,Gobierno,Ubicacion 17,Empleado 35,29228.80
Cliente 131,Mediana Empresa,Ubicacion 83,Empleado 54,9872.58
Cliente 132,Mediana Empresa,Ubicacion 14,Empleado 76,11236.39
Cliente 133,Corporativo,Ubicacion 53,Empleado 2,39014.04
Cliente 134,Mediana Empresa,Ubicacion 91,Empleado 18,41543.71
Cliente 135,Gobierno,Ubicacion 74,Empleado 99,36647.34
Cliente 136,Corporativo,Ubicacion 88,Empleado 8,26260.06
Cliente 137,Corporativo,Ubicacion 3,Empleado 68,17381.88
Cliente 138,Mediana Empresa,Ubicacion 42,Empleado 71,5471.46
Cliente 139,Mediana Empresa,Ubicacion 19,Empleado 92,16286.75
Cliente 140,Gobierno,Ubicacion 53,Empleado 78,10154.76
Cliente 141,Gobierno,Ubicacion 93,Empleado 17,2124.26
Cliente 142,Mediana Empresa,Ubicacion 5,Empleado 12,10133.05
Cliente 143,Corporativo,Ubicacion 76,Empleado 43,29148.76
Cliente 144,Corporativo,Ubicacion 67,Empleado 53,15154.03
Cliente 145,Gobierno,Ubicacion 24,Empleado 69,42600.59
Cliente 146,Gobierno,Ubicacion 68,Empleado 33,23142.82
Cliente 147,Gobierno,Ubicacion 97,Empleado 36,24272.50
Cliente 148,Corporativo,Ubicacion 76,Empleado 58,8634.73
Cliente 149,Corporativo,Ubicacion 64,Empleado 13,518.92
Cliente 150,Corporativo,Ubicacion 83,Empleado 32,37935.62
Cliente 151,Corporativo,Ubicacion 97,Empleado 73,21274.44
Cliente 152,Corporativo,Ubicacion 64,Empleado 71,1855.69
Cliente 153,Corporativo,Ubicacion 13,Empleado 98,14658.55
Cliente 154,Gobierno,Ubicacion 96,Empleado 18,24882.04
Cliente 155,Corporativo,Ubicacion 47,Empleado 99,43899.35
Cliente 156,Mediana Empresa,Ubicacion 63,Empleado 76,33830.46
Cliente 157,Corporativo,Ubicacion 15,Empleado 69,37382.09
Cliente 158,Gobierno,Ubicacion 64,Empleado 79,27428.76
Cliente 159,Gobierno,Ubicacion 3,Empleado 41,38603.50
Cliente 160,Corporativo,Ubicacion 51,Empleado 22,19117.94
Cliente 161,Gobierno,Ubicacion 57,Empleado 35,44351.60
Cliente 162,Corporativo,Ubicacion 66,Empleado 51,49096.14
Cliente 163,Gobierno,Ubicacion 26,Empleado 89,38784.67
Cliente 164,Corporativo,Ubicacion 22,Empleado 50,39411.11
Cliente 165,Corporativo,Ubicacion 34,Empleado 62,41134.65
Cliente 166,Corporativo,Ubicacion 24,Empleado 38,18739.89
Cliente 167,Corporativo,Ubicacion 94,Empleado 72,40039.33
Cliente 168,Mediana Empresa,Ubicacion 5,Empleado 50,39623.97
Cliente 169,Mediana Empresa,Ubicacion 43,Empleado 48,34589.42
Cliente 170,Corporativo,Ubicacion 11,Empleado 82,41197.37
Cliente 171,Corporativo,Ubicacion 67,Empleado 30,18850.21
Cliente 172,Corporativo,Ubicacion 31,Empleado 90,32236.86
Cliente 173,Corporativo,Ubicacion 23,Empleado 13,5384.65
Cliente 174,Mediana Empresa,Ubicacion 6,Empleado 31,15289.87
Cliente 175,Gobierno,Ubicacion 45,Empleado 92,8394.75
Cliente 176,Mediana Empresa,Ubicacion 34,Empleado 60,39462.59
Cliente 177,Mediana Empresa,Ubicacion 60,Empleado 81,14205.79
Cliente 178,Corporativo,Ubicacion 27,Empleado 60,30076.52
Cliente 179,Corporativo,Ubicacion 32,Empleado 5,20180.21
Cliente 180,Mediana Empresa,Ubicacion 14,Empleado 30,8790.84
Cliente 181,Corporativo,Ubicacion 62,Empleado 32,49196.13
Cliente 182,Corporativo,Ubicacion 25,Empleado 64,5845.80
Cliente 183,Corporativo,Ubicacion 85,Empleado 92,21824.74
Cliente 184,Mediana Empresa,Ubicacion 74,Empleado 68,39422.55
Cliente 185,Gobierno,Ubicacion 77,Empleado 86,4270.50
Cliente 186,Mediana Empresa,Ubicacion 26,Empleado 32,12168.75
Cliente 187,Gobierno,Ubicacion 28,Empleado 83,5526.99
Cliente 188,Mediana Empresa,Ubicacion 72,Empleado 37,15643.44
Cliente 189,Mediana Empresa,Ubicacion 9,Empleado 29,31735.01
Cliente 190,Mediana Empresa,Ubicacion 46,Empleado 34,38469.66
Cliente 191,Mediana Empresa,Ubicacion 23,Empleado 99,1242.37
Cliente 192,Corporativo,Ubicacion 96,Empleado 47,47511.50
Cliente 193,Gobierno,Ubicacion 29,Empleado 40,48591.63
Cliente 194,Corporativo,Ubicacion 73,Empleado 14,32614.85
Cliente 195,Corporativo,Ubicacion 24,Empleado 24,36315.95
Cliente 196,Mediana Empresa,Ubicacion 1,Empleado 63,6158.77
Cliente 197,Corporativo,Ubicacion 32,Empleado 55,1129.34
Cliente 198,Mediana Empresa,Ubicacion 54,Empleado 90,28145.77
Cliente 199,Corporativo,Ubicacion 18,Empleado 70,49509.22
Cliente 200,Gobierno,Ubicacion 14,Empleado 40,35097.93
Cliente 201,Gobierno,Ubicacion 100,Empleado 77,4917.51
Cliente 202,Corporativo,Ubicacion 79,Empleado 14,31842.08
Cliente 203,Corporativo,Ubicacion 87,Empleado 58,1777.60
Cliente 204,Gobierno,Ubicacion 27,Empleado 34,41822.19
Cliente 205,Corporativo,Ubicacion 28,Empleado 77,34593.82
Cliente 206,Corporativo,Ubicacion 75,Empleado 49,18772.70
Cliente 207,Corporativo,Ubicacion 88,Empleado 50,40301.36
Cliente 208,Mediana Empresa,Ubicacion 84,Empleado 52,12696.28
Cliente 209,Gobierno,Ubicacion 64,Empleado 39,42755.18
Cliente 210,Corporativo,Ubicacion 53,Empleado 10,36257.88
Cliente 211,Gobierno,Ubicacion 18,Empleado 43,48919.21
Cliente 212,Corporativo,Ubicacion 71,Empleado 91,4654.51
Cliente 213,Gobierno,Ubicacion 80,Empleado 88,11106.95
Cliente 214,Gobierno,Ubicacion 12,Empleado 50,1400.38
Cliente 215,Corporativo,Ubicacion 17,Empleado 12,30971.48
Cliente 216,Corporativo,Ubicacion 91,Empleado 33,34933.42
Cliente 217,Mediana Empresa,Ubicacion 91,Empleado 12,7005.11
Cliente 218,Gobierno,Ubicacion 51,Empleado 42,24972.39
Cliente 219,Corporativo,Ubicacion 19,Empleado 65,47731.37
Cliente 220,Corporativo,Ubicacion 71,Empleado 82,27367.09
Cliente 221,Corporativo,Ubicacion 19,Empleado 46,7549.50
Cliente 222,Corporativo,Ubicacion 18,Empleado 17,24466.26
Cliente 223,Mediana Empresa,Ubicacion 95,Empleado 46,18818.44
Cliente 224,Mediana Empresa,Ubicacion 62,Empleado 100,32333.36
Cliente 225,Corporativo,Ubicacion 96,Empleado 29,24521.98
Cliente 226,Gobierno,Ubicacion 31,Empleado 76,49825.09
Cliente 227,Corporativo,Ubicacion 96,Empleado 56,12436.45
Cliente 228,Corporativo,Ubicacion 4,Empleado 95,32853.63
Cliente 229,Gobierno,Ubicacion 22,Empleado 91,20112.27
Cliente 230,Gobierno,Ubicacion 74,Empleado 38,40206.27
Cliente 231,Mediana Empresa,Ubicacion 57,Empleado 18,19808.74
Cliente 232,Corporativo,Ubicacion 67,Empleado 71,41669.93
Cliente 233,Corporativo,Ubicacion 19,Empleado 6,12070.68
Cliente 234,Corporativo,Ubicacion 16,Empleado 62,23501.07
Cliente 235,Gobierno,Ubicacion 75,Empleado 37,22756.93
Cliente 236,Gobierno,Ubicacion 74,Empleado 71,47715.70
Cliente 237,Mediana Empresa,Ubicacion 86,Empleado 36,11464.24
Cliente 238,Mediana Empresa,Ubicacion 80,Empleado 74,42324.45
Cliente 239,Corporativo,Ubicacion 30,Empleado 10,43451.55
Cliente 240,Corporativo,Ubicacion 97,Empleado 36,47958.46
Cliente 241,Corporativo,Ubicacion 63,Empleado 65,26457.39
Cliente 242,Corporativo,Ubicacion 18,Empleado 78,17192.17
Cliente 243,Corporativo,Ubicacion 55,Empleado 91,3559.33
Cliente 244,Gobierno,Ubicacion 53,Empleado 84,32578.47
Cliente 245,Corporativo,Ubicacion 17,Empleado 39,3958.83
Cliente 246,Corporativo,Ubicacion 79,Empleado 15,35527.51
Cliente 247,Corporativo,Ubicacion 3,Empleado 69,27699.28
Cliente 248,Corporativo,Ubicacion 100,Empleado 44,34407.89
Cliente 249,Corporativo,Ubicacion 59,Empleado 91,43049.57
Cliente 250,Corporativo,Ubicacion 83,Empleado 61,16119.12
Cliente 251,Gobierno,Ubicacion 91,Empleado 92,26425.74
Cliente 252,Corporativo,Ubicacion 73,Empleado 22,26932.05
Cliente 253,Mediana Empresa,Ubicacion 69,Empleado 54,36262.03
Cliente 254,Mediana Empresa,Ubicacion 79,Empleado 33,9609.76
Cliente 255,Corporativo,Ubicacion 36,Empleado 30,30302.34
Cliente 256,Corporativo,Ubicacion 85,Empleado 66,25214.99
Cliente 257,Corporativo,Ubicacion 50,Empleado 39,5119.59
Cliente 258,Mediana Empresa,Ubicacion 27,Empleado 93,6110.92
Cliente 259,Corporativo,Ubicacion 2,Empleado 53,32305.98
Cliente 260,Mediana Empresa,Ubicacion 14,Empleado 68,23399.86
Cliente 261,Gobierno,Ubicacion 34,Empleado 84,20297.79
Cliente 262,Corporativo,Ubicacion 25,Empleado 13,23621.23
Cliente 263,Corporativo,Ubicacion 35,Empleado 79,10182.19
Cliente 264,Gobierno,Ubicacion 62,Empleado 29,49473.34
Cliente 265,Corporativo,Ubicacion 67,Empleado 31,24467.97
Cliente 266,Mediana Empresa,Ubicacion 91,Empleado 56,9375.62
Cliente 267,Corporativo,Ubicacion 21,Empleado 54,21045.91
Cliente 268,Gobierno,Ubicacion 3,Empleado 85,10840.98
Cliente 269,Corporativo,Ubicacion 66,Empleado 5,22469.33
Cliente 270,Gobierno,Ubicacion 26,Empleado 87,24076.48
Cliente 271,Gobierno,Ubicacion 92,Empleado 21,40320.38
Cliente 272,Gobierno,Ubicacion 6,Empleado 49,7849.76
Cliente 273,Mediana Empresa,Ubicacion 94,Empleado 66,24340.76
Cliente 274,Gobierno,Ubicacion 31,Empleado 26,33476.50
Cliente 275,Mediana Empresa,Ubicacion 46,Empleado 24,25990.66
Cliente 276,Gobierno,Ubicacion 18,Empleado 39,11439.62
Cliente 277,Mediana Empresa,Ubicacion 89,Empleado 96,11052.57
Cliente 278,Corporativo,Ubicacion 67,Empleado 55,31229.99
Cliente 279,Corporativo,Ubicacion 86,Empleado 58,42212.19
Cliente 280,Corporativo,Ubicacion 25,Empleado 61,41417.24
Cliente 281,Corporativo,Ubicacion 56,Empleado 45,38794.35
Cliente 282,Mediana Empresa,Ubicacion 69,Empleado 11,29540.08
Cliente 283,Corporativo,Ubicacion 99,Empleado 51,32722.30
Cliente 284,Corporativo,Ubicacion 10,Empleado 50,13488.04
Cliente 285,Corporativo,Ubicacion 49,Empleado 2,41955.60
Cliente 286,Corporativo,Ubicacion 28,Empleado 94,34761.57
Cliente 287,Corporativo,Ubicacion 97,Empleado 9,16083.61
Cliente 288,Gobierno,Ubicacion 30,Empleado 28,13905.66
Cliente 289,Gobierno,Ubicacion 35,Empleado 91,37101.18
Cliente 290,Corporativo,Ubicacion 70,Empleado 52,24095.33
Cliente 291,Corporativo,Ubicacion 32,Empleado 97,40218.11
Cliente 292,Corporativo,Ubicacion 41,Empleado 89,23246.44
Cliente 293,Gobierno,Ubicacion 39,Empleado 83,48918.11
Cliente 294,Corporativo,Ubicacion 29,Empleado 36,37306.20
Cliente 295,Mediana Empresa,Ubicacion 17,Empleado 60,26248.67
Cliente 296,Mediana Empresa,Ubicacion 31,Empleado 26,44462.42
Cliente 297,Corporativo,Ubicacion 91,Empleado 2,25197.26
Cliente 298,Gobierno,Ubicacion 21,Empleado 43,6483.92
Cliente 299,Gobierno,Ubicacion 41,Empleado 98,10079.17
Cliente 300,Corporativo,Ubicacion 68,Empleado 63,49423.78
Cliente 301,Corporativo,Ubicacion 57,Empleado 86,20587.68
Cliente 302,Mediana Empresa,Ubicacion 86,Empleado 87,49763.46
Cliente 303,Corporativo,Ubicacion 28,Empleado 81,29358.60
Cliente 304,Mediana Empresa,Ubicacion 45,Empleado 12,48436.67
Cliente 305,Corporativo,Ubicacion 40,Empleado 7,46444.42
Cliente 306,Corporativo,Ubicacion 42,Empleado 66,47857.32
Cliente 307,Corporativo,Ubicacion 62,Empleado 100,14755.68
Cliente 308,Corporativo,Ubicacion 63,Empleado 21,5259.22
Cliente 309,Gobierno,Ubicacion 81,Empleado 15,9225.03
Cliente 310,Corporativo,Ubicacion 42,Empleado 86,36767.82
Cliente 311,Gobierno,Ubicacion 70,Empleado 88,31607.39
Cliente 312,Mediana Empresa,Ubicacion 44,Empleado 38,34696.27
Cliente 313,Mediana Empresa,Ubicacion 67,Empleado 74,772.09
Cliente 314,Corporativo,Ubicacion 6,Empleado 65,13921.07
Cliente 315,Corporativo,Ubicacion 50,Empleado 14,8639.50
Cliente 316,Mediana Empresa,Ubicacion 22,Empleado 69,14809.80
Cliente 317,Corporativo,Ubicacion 2,Empleado 31,4319.18
Cliente 318,Corporativo,Ubicacion 5,Empleado 70,3338.00
Cliente 319,Corporativo,Ubicacion 60,Empleado 26,33834.16
Cliente 320,Gobierno,Ubicacion 40,Empleado 13,31788.74
Cliente 321,Mediana Empresa,Ubicacion 83,Empleado 87,36542.60
Cliente 322,Corporativo,Ubicacion 22,Empleado 83,2262.16
Cliente 323,Corporativo,Ubicacion 75,Empleado 43,32842.80
Cliente 324,Gobierno,Ubicacion 80,Empleado 97,28995.37
Cliente 325,Mediana Empresa,Ubicacion 68,Empleado 4,28975.31
Cliente 326,Mediana Empresa,Ubicacion 94,Empleado 18,19480.90
Cliente 327,Gobierno,Ubicacion 76,Empleado 98,6985.73
Cliente 328,Mediana Empresa,Ubicacion 37,Empleado 86,36393.10
Cliente 329,Gobierno,Ubicacion 71,Empleado 35,45918.83
Cliente 330,Gobierno,Ubicacion 55,Empleado 18,39865.35
Cliente 331,Corporativo,Ubicacion 80,Empleado 92,9780.95
Cliente 332,Corporativo,Ubicacion 4,Empleado 35,4150.30
Cliente 333,Gobierno,Ubicacion 51,Empleado 48,5326.92
Cliente 334,Corporativo,Ubicacion 60,Empleado 46,23953.28
Cliente 335,Mediana Empresa,Ubicacion 79,Empleado 40,37861.58
Cliente 336,Corporativo,Ubicacion 1,Empleado 31,8844.81
Cliente 337,Corporativo,Ubicacion 91,Empleado 85,12647.51
Cliente 338,Mediana Empresa,Ubicacion 33,Empleado 31,15079.57
Cliente 339,Mediana Empresa,Ubicacion 72,Empleado 9,39339.77
Cliente 340,Gobierno,Ubicacion 86,Empleado 9,30719.79
Cliente 341,Corporativo,Ubicacion 34,Empleado 50,38412.91
Cliente 342,Gobierno,Ubicacion 50,Empleado 85,28542.94
Cliente 343,Gobierno,Ubicacion 93,Empleado 33,20768.84
Cliente 344,Corporativo,Ubicacion 30,Empleado 33,43436.73
Cliente 345,Corporativo,Ubicacion 31,Empleado 15,21116.07
Cliente 346,Corporativo,Ubicacion 75,Empleado 35,40525.01
Cliente 347,Corporativo,Ubicacion 84,Empleado 8,15146.05
Cliente 348,Corporativo,Ubicacion 30,Empleado 66,30578.68
Cliente 349,Mediana Empresa,Ubicacion 35,Empleado 19,9642.73
Cliente 350,Mediana Empresa,Ubicacion 36,Empleado 33,18250.06
Cliente 351,Gobierno,Ubicacion 19,Empleado 23,18811.16
Cliente 352,Corporativo,Ubicacion 26,Empleado 52,11120.00
Cliente 353,Mediana Empresa,Ubicacion 66,Empleado 27,38983.89
Cliente 354,Corporativo,Ubicacion 97,Empleado 24,31578.43
Cliente 355,Mediana Empresa,Ubicacion 87,Empleado 58,32183.56
Cliente 356,Gobierno,Ubicacion 28,Empleado 81,13910.12
Cliente 357,Gobierno,Ubicacion 84,Empleado 15,41774.12
Cliente 358,Corporativo,Ubicacion 68,Empleado 5,25191.69
Cliente 359,Mediana Empresa,Ubicacion 85,Empleado 93,37214.32
Cliente 360,Gobierno,Ubicacion 85,Empleado 85,6433.17
Cliente 361,Corporativo,Ubicacion 59,Empleado 60,45569.94
Cliente 362,Mediana Empresa,Ubicacion 40,Empleado 98,16490.34
Cliente 363,Corporativo,Ubicacion 62,Empleado 80,25058.03
Cliente 364,Corporativo,Ubicacion 58,Empleado 44,40378.42
Cliente 365,Corporativo,Ubicacion 96,Empleado 15,19961.89
Cliente 366,Corporativo,Ubicacion 57,Empleado 44,29906.41
Cliente 367,Mediana Empresa,Ubicacion 88,Empleado 69,12551.98
Cliente 368,Corporativo,Ubicacion 40,Empleado 90,44214.00
Cliente 369,Corporativo,Ubicacion 27,Empleado 55,10605.22
Cliente 370,Gobierno,Ubicacion 86,Empleado 12,8988.90
Cliente 371,Corporativo,Ubicacion 1,Empleado 81,13381.81
Cliente 372,Corporativo,Ubicacion 88,Empleado 51,4150.39
Cliente 373,Mediana Empresa,Ubicacion 65,Empleado 33,19765.07
Cliente 374,Mediana Empresa,Ubicacion 61,Empleado 31,16236.90
Cliente 375,Mediana Empresa,Ubicacion 22,Empleado 25,38917.04
Cliente 376,Gobierno,Ubicacion 42,Empleado 66,28539.33
Cliente 377,Gobierno,Ubicacion 46,Empleado 81,37693.14
Cliente 378,Corporativo,Ubicacion 54,Empleado 68,17058.40
Cliente 379,Gobierno,Ubicacion 27,Empleado 33,17064.23
Cliente 380,Corporativo,Ubicacion 51,Empleado 92,43850.59
Cliente 381,Gobierno,Ubicacion 55,Empleado 16,7571.34
Cliente 382,Corporativo,Ubicacion 37,Empleado 62,13587.53
Cliente 383,Corporativo,Ubicacion 92,Empleado 52,8275.94
Cliente 384,Corporativo,Ubicacion 76,Empleado 93,37507.85
Cliente 385,Mediana Empresa,Ubicacion 99,Empleado 82,18630.36
Cliente 386,Mediana Empresa,Ubicacion 70,Empleado 5,26054.68
Cliente 387,Corporativo,Ubicacion 77,Empleado 1,20631.62
Cliente 388,Corporativo,Ubicacion 30,Empleado 12,26486.85
Cliente 389,Corporativo,Ubicacion 51,Empleado 69,32672.91
Cliente 390,Mediana Empresa,Ubicacion 5,Empleado 95,21844.43
Cliente 391,Corporativo,Ubicacion 2,Empleado 69,6935.89
Cliente 392,Corporativo,Ubicacion 41,Empleado 54,12822.09
Cliente 393,Gobierno,Ubicacion 96,Empleado 7,31284.27
Cliente 394,Mediana Empresa,Ubicacion 36,Empleado 45,36856.07
Cliente 395,Corporativo,Ubicacion 97,Empleado 62,48369.12
Cliente 396,Corporativo,Ubicacion 24,Empleado 32,13600.85
Cliente 397,Corporativo,Ubicacion 56,Empleado 26,6940.61
Cliente 398,Corporativo,Ubicacion 41,Empleado 65,14500.50
Cliente 399,Mediana Empresa,Ubicacion 21,Empleado 62,12226.89
