N̼mero de Pedido,Cliente,Fecha del Pedido,Monto Total,Estado del Pedido,Ejecutivo Responsable,Producto Comprado
Pedido-108,Cliente 525,2024-06-09,587.02,Entregado,Empleado 93,Producto 270
Pedido-109,Cliente 1110,2024-11-07,1219.51,Procesado,Empleado 76,Producto 276
Pedido-110,Cliente 1601,2024-08-31,137.79,Enviado,Empleado 85,Producto 44
Pedido-111,Cliente 1338,2024-04-17,3137.97,Entregado,Empleado 78,Producto 294
Pedido-112,Cliente 1977,2024-03-31,185.22,Pendiente,Empleado 46,Producto 192
Pedido-113,Cliente 1276,2025-02-22,2390.58,Enviado,Empleado 78,Producto 182
Pedido-114,Cliente 881,2024-11-22,2500.25,Entregado,Empleado 92,Producto 50
Pedido-115,Cliente 662,2025-01-01,215.15,Cancelado,Empleado 64,Producto 181
Pedido-116,Cliente 1406,2024-11-17,913.59,Enviado,Empleado 71,Producto 71
Pedido-117,Cliente 1605,2025-02-16,1432.42,Procesado,Empleado 28,Producto 175
Pedido-118,Cliente 568,2025-02-05,3504.19,Entregado,Empleado 74,Producto 106
Pedido-119,Cliente 1543,2024-03-05,2793.04,Cancelado,Empleado 70,Producto 115
Pedido-120,Cliente 876,2024-12-22,1028.34,Enviado,Empleado 78,Producto 84
Pedido-121,Cliente 671,2024-04-26,4409.52,Procesado,Empleado 34,Producto 283
Pedido-122,Cliente 733,2024-11-16,4538.65,Procesado,Empleado 21,Producto 164
Pedido-123,Cliente 711,2025-01-24,4555.28,Cancelado,Empleado 32,Producto 77
Pedido-124,Cliente 1438,2024-06-29,2180.13,Entregado,Empleado 58,Producto 81
Pedido-125,Cliente 336,2024-07-05,2820.52,Enviado,Empleado 83,Producto 74
Pedido-126,Cliente 1727,2024-10-01,2482.60,Cancelado,Empleado 46,Producto 185
Pedido-127,Cliente 5,2024-10-12,2412.36,Cancelado,Empleado 80,Producto 37
Pedido-128,Cliente 1531,2024-03-18,2797.09,Pendiente,Empleado 39,Producto 42
Pedido-129,Cliente 892,2024-07-06,956.09,Entregado,Empleado 68,Producto 77
Pedido-130,Cliente 803,2025-02-18,1869.48,Procesado,Empleado 29,Producto 18
Pedido-131,Cliente 320,2024-07-19,2657.62,Cancelado,Empleado 44,Producto 127
Pedido-132,Cliente 832,2024-06-29,1829.18,Entregado,Empleado 25,Producto 48
Pedido-133,Cliente 153,2024-11-19,773.34,Cancelado,Empleado 98,Producto 17
Pedido-134,Cliente 173,2024-08-16,3647.98,Cancelado,Empleado 87,Producto 51
Pedido-135,Cliente 163,2024-08-14,3224.53,Pendiente,Empleado 33,Producto 211
Pedido-136,Cliente 315,2024-03-04,2864.83,Entregado,Empleado 93,Producto 249
Pedido-137,Cliente 1987,2024-04-06,1698.79,Entregado,Empleado 13,Producto 244
Pedido-138,Cliente 1971,2024-07-18,716.56,Cancelado,Empleado 1,Producto 177
Pedido-139,Cliente 66,2024-03-19,1868.93,Cancelado,Empleado 100,Producto 39
Pedido-140,Cliente 1879,2024-12-26,1649.26,Enviado,Empleado 40,Producto 276
Pedido-141,Cliente 1161,2025-02-22,3033.44,Enviado,Empleado 74,Producto 219
Pedido-142,Cliente 1042,2024-03-31,4932.53,Cancelado,Empleado 43,Producto 148
Pedido-143,Cliente 1371,2025-01-14,3563.78,Cancelado,Empleado 59,Producto 182
Pedido-144,Cliente 1988,2024-11-17,1297.90,Entregado,Empleado 24,Producto 150
Pedido-145,Cliente 1028,2024-10-01,2863.48,Procesado,Empleado 85,Producto 119
Pedido-146,Cliente 1214,2025-01-01,1237.63,Pendiente,Empleado 78,Producto 112
Pedido-147,Cliente 91,2024-07-19,3659.85,Enviado,Empleado 13,Producto 223
Pedido-148,Cliente 511,2024-07-15,2271.31,Enviado,Empleado 60,Producto 60
Pedido-149,Cliente 1650,2024-08-22,2364.26,Enviado,Empleado 12,Producto 55
Pedido-150,Cliente 208,2025-01-14,1660.52,Entregado,Empleado 99,Producto 19
Pedido-151,Cliente 639,2024-09-11,266.45,Pendiente,Empleado 97,Producto 39
Pedido-152,Cliente 1791,2025-02-18,2302.36,Cancelado,Empleado 80,Producto 114
Pedido-153,Cliente 1173,2024-09-30,1648.38,Entregado,Empleado 88,Producto 23
Pedido-154,Cliente 844,2025-02-05,3727.60,Enviado,Empleado 44,Producto 233
Pedido-155,Cliente 960,2024-08-18,176.94,Procesado,Empleado 60,Producto 200
Pedido-156,Cliente 835,2024-04-19,4744.10,Entregado,Empleado 37,Producto 75
Pedido-157,Cliente 822,2024-03-12,1544.49,Enviado,Empleado 79,Producto 246
Pedido-158,Cliente 78,2025-02-21,2333.43,Pendiente,Empleado 38,Producto 219
Pedido-159,Cliente 527,2025-01-22,4615.76,Pendiente,Empleado 85,Producto 99
Pedido-160,Cliente 569,2024-08-30,3651.59,Cancelado,Empleado 58,Producto 173
Pedido-161,Cliente 1004,2024-04-26,526.90,Entregado,Empleado 9,Producto 207
Pedido-162,Cliente 675,2024-09-20,4462.44,Procesado,Empleado 24,Producto 210
Pedido-163,Cliente 1309,2024-10-12,1194.53,Cancelado,Empleado 58,Producto 154
Pedido-164,Cliente 313,2024-12-26,4412.93,Procesado,Empleado 10,Producto 233
Pedido-165,Cliente 325,2024-06-18,2199.06,Cancelado,Empleado 88,Producto 27
Pedido-166,Cliente 918,2024-05-18,920.33,Procesado,Empleado 47,Producto 275
Pedido-167,Cliente 279,2025-02-09,2794.87,Cancelado,Empleado 78,Producto 217
Pedido-168,Cliente 90,2025-01-14,1013.24,Entregado,Empleado 60,Producto 218
Pedido-169,Cliente 22,2025-01-13,3817.71,Enviado,Empleado 82,Producto 230
Pedido-170,Cliente 702,2024-05-28,3642.16,Pendiente,Empleado 29,Producto 30
Pedido-171,Cliente 560,2024-08-13,1653.72,Cancelado,Empleado 17,Producto 31
Pedido-172,Cliente 1046,2024-12-04,953.66,Enviado,Empleado 61,Producto 112
Pedido-173,Cliente 971,2024-04-15,3094.03,Entregado,Empleado 77,Producto 212
Pedido-174,Cliente 411,2024-07-29,3581.01,Enviado,Empleado 29,Producto 280
Pedido-175,Cliente 138,2024-02-29,1805.91,Cancelado,Empleado 52,Producto 130
Pedido-176,Cliente 1106,2024-03-03,1003.48,Procesado,Empleado 4,Producto 253
Pedido-177,Cliente 231,2024-05-22,3678.01,Cancelado,Empleado 13,Producto 250
Pedido-178,Cliente 32,2024-07-16,3029.77,Procesado,Empleado 86,Producto 65
Pedido-179,Cliente 1300,2024-12-30,2268.63,Entregado,Empleado 59,Producto 253
Pedido-180,Cliente 1730,2024-05-21,163.89,Procesado,Empleado 58,Producto 79
Pedido-181,Cliente 50,2024-05-29,1479.55,Pendiente,Empleado 49,Producto 55
Pedido-182,Cliente 1310,2024-04-24,4031.25,Procesado,Empleado 52,Producto 95
Pedido-183,Cliente 560,2024-05-05,3063.95,Cancelado,Empleado 55,Producto 299
Pedido-184,Cliente 814,2024-06-06,3402.68,Procesado,Empleado 45,Producto 21
Pedido-185,Cliente 1319,2024-05-17,3034.53,Procesado,Empleado 64,Producto 165
Pedido-186,Cliente 1587,2024-11-25,1103.12,Entregado,Empleado 52,Producto 251
Pedido-187,Cliente 991,2024-04-25,312.28,Procesado,Empleado 88,Producto 261
Pedido-188,Cliente 381,2024-05-02,4213.41,Entregado,Empleado 17,Producto 230
Pedido-189,Cliente 1949,2024-09-20,2764.41,Cancelado,Empleado 61,Producto 162
Pedido-190,Cliente 767,2024-11-18,386.33,Pendiente,Empleado 49,Producto 234
Pedido-191,Cliente 641,2024-09-16,3114.25,Cancelado,Empleado 11,Producto 84
Pedido-192,Cliente 1068,2024-10-27,2668.82,Pendiente,Empleado 100,Producto 57
Pedido-193,Cliente 343,2024-03-09,425.78,Procesado,Empleado 44,Producto 36
Pedido-194,Cliente 1399,2024-06-16,568.88,Cancelado,Empleado 53,Producto 228
Pedido-195,Cliente 419,2024-12-12,1921.95,Procesado,Empleado 66,Producto 273
Pedido-196,Cliente 1986,2024-03-04,2278.60,Entregado,Empleado 7,Producto 163
Pedido-197,Cliente 1611,2024-12-12,122.93,Entregado,Empleado 99,Producto 74
Pedido-198,Cliente 854,2024-10-01,3215.04,Pendiente,Empleado 30,Producto 265
Pedido-199,Cliente 1002,2024-12-29,924.08,Entregado,Empleado 77,Producto 174
Pedido-200,Cliente 769,2024-03-16,1245.55,Entregado,Empleado 49,Producto 17
Pedido-201,Cliente 968,2024-04-22,4068.90,Cancelado,Empleado 33,Producto 61
Pedido-202,Cliente 939,2024-11-14,639.83,Entregado,Empleado 79,Producto 128
Pedido-203,Cliente 1727,2024-07-15,907.65,Enviado,Empleado 91,Producto 155
Pedido-204,Cliente 671,2024-05-06,892.35,Enviado,Empleado 77,Producto 110
Pedido-205,Cliente 1086,2024-06-29,980.55,Entregado,Empleado 50,Producto 74
Pedido-206,Cliente 1723,2024-06-27,1382.09,Entregado,Empleado 6,Producto 279
Pedido-207,Cliente 173,2024-08-06,3616.32,Enviado,Empleado 88,Producto 116
Pedido-208,Cliente 861,2024-07-09,4188.16,Enviado,Empleado 44,Producto 235
Pedido-209,Cliente 409,2024-12-01,2839.59,Procesado,Empleado 15,Producto 46
Pedido-210,Cliente 756,2024-07-27,804.80,Cancelado,Empleado 52,Producto 55
Pedido-211,Cliente 1380,2024-06-25,1645.17,Enviado,Empleado 86,Producto 94
Pedido-212,Cliente 1773,2025-01-31,4984.53,Pendiente,Empleado 27,Producto 147
Pedido-213,Cliente 1273,2025-01-15,2395.71,Procesado,Empleado 63,Producto 273
Pedido-214,Cliente 1556,2024-07-20,1857.95,Procesado,Empleado 15,Producto 7
Pedido-215,Cliente 462,2024-09-06,3195.15,Entregado,Empleado 73,Producto 101
Pedido-216,Cliente 750,2024-11-08,4837.30,Cancelado,Empleado 47,Producto 159
Pedido-217,Cliente 1580,2024-04-09,3540.24,Procesado,Empleado 18,Producto 55
Pedido-218,Cliente 1539,2024-12-29,262.55,Cancelado,Empleado 94,Producto 159
Pedido-219,Cliente 764,2024-09-08,4596.36,Cancelado,Empleado 45,Producto 202
Pedido-220,Cliente 1744,2025-01-30,917.15,Pendiente,Empleado 71,Producto 157
Pedido-221,Cliente 1382,2024-04-05,4135.25,Cancelado,Empleado 19,Producto 17
Pedido-222,Cliente 29,2024-11-22,3458.23,Entregado,Empleado 22,Producto 190
Pedido-223,Cliente 1379,2024-10-22,2555.36,Enviado,Empleado 15,Producto 236
Pedido-224,Cliente 521,2025-02-13,4333.96,Pendiente,Empleado 23,Producto 207
Pedido-225,Cliente 1548,2024-12-03,4418.24,Procesado,Empleado 47,Producto 64
Pedido-226,Cliente 1626,2024-08-05,3147.28,Pendiente,Empleado 40,Producto 136
Pedido-227,Cliente 668,2024-03-13,3925.49,Entregado,Empleado 22,Producto 261
Pedido-228,Cliente 840,2024-04-25,3639.89,Procesado,Empleado 45,Producto 250
Pedido-229,Cliente 835,2024-06-19,3353.53,Procesado,Empleado 53,Producto 195
Pedido-230,Cliente 778,2024-11-10,4351.45,Cancelado,Empleado 30,Producto 161
Pedido-231,Cliente 142,2024-04-02,2142.93,Enviado,Empleado 9,Producto 110
Pedido-232,Cliente 621,2024-06-26,2856.53,Pendiente,Empleado 92,Producto 198
Pedido-233,Cliente 1264,2024-11-24,1303.94,Pendiente,Empleado 66,Producto 260
Pedido-234,Cliente 753,2025-02-17,1992.70,Pendiente,Empleado 70,Producto 240
Pedido-235,Cliente 1876,2025-01-25,2546.15,Pendiente,Empleado 62,Producto 13
Pedido-236,Cliente 312,2024-07-16,264.08,Enviado,Empleado 27,Producto 143
Pedido-237,Cliente 1006,2025-01-31,2083.74,Procesado,Empleado 63,Producto 119
Pedido-238,Cliente 1778,2025-02-04,1573.77,Enviado,Empleado 86,Producto 77
Pedido-239,Cliente 905,2024-04-28,2682.53,Cancelado,Empleado 55,Producto 168
Pedido-240,Cliente 1618,2024-11-25,4345.06,Enviado,Empleado 37,Producto 83
Pedido-241,Cliente 1243,2024-10-01,3787.80,Enviado,Empleado 84,Producto 82
Pedido-242,Cliente 1731,2024-12-06,1348.46,Enviado,Empleado 71,Producto 169
Pedido-243,Cliente 443,2024-11-07,1686.43,Pendiente,Empleado 21,Producto 243
Pedido-244,Cliente 1548,2024-10-17,3568.12,Entregado,Empleado 7,Producto 143
Pedido-245,Cliente 1927,2024-04-29,307.49,Entregado,Empleado 92,Producto 4
Pedido-246,Cliente 202,2025-01-15,1837.28,Cancelado,Empleado 31,Producto 280
Pedido-247,Cliente 827,2024-03-21,1793.32,Procesado,Empleado 48,Producto 293
Pedido-248,Cliente 401,2024-02-28,1131.21,Cancelado,Empleado 56,Producto 293
Pedido-249,Cliente 817,2024-06-01,2622.04,Procesado,Empleado 93,Producto 192
Pedido-250,Cliente 665,2024-03-13,208.67,Entregado,Empleado 12,Producto 84
Pedido-251,Cliente 1014,2024-10-28,1124.58,Cancelado,Empleado 99,Producto 72
Pedido-252,Cliente 1573,2024-12-28,3575.56,Cancelado,Empleado 30,Producto 257
Pedido-253,Cliente 985,2024-07-10,1764.15,Cancelado,Empleado 3,Producto 269
Pedido-254,Cliente 674,2024-11-16,1049.59,Pendiente,Empleado 97,Producto 63
Pedido-255,Cliente 456,2024-03-18,1742.37,Cancelado,Empleado 45,Producto 116
Pedido-256,Cliente 45,2024-03-14,2746.46,Procesado,Empleado 90,Producto 78
Pedido-257,Cliente 1482,2024-09-15,140.10,Enviado,Empleado 70,Producto 203
Pedido-258,Cliente 699,2024-10-20,2839.45,Enviado,Empleado 18,Producto 244
Pedido-259,Cliente 1893,2024-05-20,2617.05,Enviado,Empleado 75,Producto 266
Pedido-260,Cliente 1541,2024-10-10,2672.19,Pendiente,Empleado 42,Producto 103
Pedido-261,Cliente 482,2024-05-13,731.68,Pendiente,Empleado 30,Producto 91
Pedido-262,Cliente 739,2024-10-08,3084.58,Enviado,Empleado 32,Producto 240
Pedido-263,Cliente 1132,2024-12-06,4162.20,Entregado,Empleado 96,Producto 187
Pedido-264,Cliente 1966,2024-06-07,3795.00,Pendiente,Empleado 63,Producto 36
Pedido-265,Cliente 3,2024-07-06,705.05,Cancelado,Empleado 100,Producto 93
Pedido-266,Cliente 1495,2025-01-11,3064.13,Cancelado,Empleado 89,Producto 213
Pedido-267,Cliente 1053,2024-08-15,1845.69,Pendiente,Empleado 47,Producto 52
Pedido-268,Cliente 613,2024-11-22,4132.02,Procesado,Empleado 62,Producto 226
Pedido-269,Cliente 936,2025-01-30,3164.74,Pendiente,Empleado 54,Producto 290
Pedido-270,Cliente 1254,2024-12-13,1305.76,Cancelado,Empleado 44,Producto 147
Pedido-271,Cliente 1776,2024-11-03,4986.00,Pendiente,Empleado 23,Producto 173
Pedido-272,Cliente 1250,2024-12-27,3498.20,Procesado,Empleado 75,Producto 37
Pedido-273,Cliente 1717,2024-11-03,387.88,Cancelado,Empleado 51,Producto 265
Pedido-274,Cliente 982,2024-08-06,3136.07,Cancelado,Empleado 50,Producto 5
Pedido-275,Cliente 132,2024-05-03,3013.52,Entregado,Empleado 30,Producto 235
Pedido-276,Cliente 780,2024-03-26,3746.24,Pendiente,Empleado 80,Producto 33
Pedido-277,Cliente 332,2024-04-04,1579.19,Cancelado,Empleado 5,Producto 5
Pedido-278,Cliente 1698,2024-10-04,891.03,Cancelado,Empleado 77,Producto 281
Pedido-279,Cliente 1256,2024-07-27,1613.83,Enviado,Empleado 39,Producto 168
Pedido-280,Cliente 716,2024-06-05,3967.55,Enviado,Empleado 28,Producto 8
Pedido-281,Cliente 552,2024-09-20,4003.61,Enviado,Empleado 37,Producto 52
Pedido-282,Cliente 1767,2025-01-22,1500.60,Procesado,Empleado 47,Producto 301
Pedido-283,Cliente 1013,2025-01-02,1892.26,Enviado,Empleado 72,Producto 258
Pedido-284,Cliente 644,2024-08-09,754.98,Pendiente,Empleado 52,Producto 187
Pedido-285,Cliente 1685,2024-12-06,1919.46,Enviado,Empleado 81,Producto 103
Pedido-286,Cliente 258,2024-08-10,3847.37,Enviado,Empleado 56,Producto 227
Pedido-287,Cliente 1350,2024-11-25,1813.43,Procesado,Empleado 62,Producto 215
Pedido-288,Cliente 277,2024-12-20,1785.34,Cancelado,Empleado 64,Producto 203
Pedido-289,Cliente 1042,2024-07-19,4346.13,Pendiente,Empleado 45,Producto 230
Pedido-290,Cliente 1260,2025-02-24,1587.18,Entregado,Empleado 91,Producto 282
Pedido-291,Cliente 126,2024-12-06,902.78,Procesado,Empleado 35,Producto 28
Pedido-292,Cliente 1920,2024-03-05,4546.63,Procesado,Empleado 42,Producto 265
Pedido-293,Cliente 1325,2024-07-09,551.39,Cancelado,Empleado 7,Producto 178
Pedido-294,Cliente 983,2024-12-15,1762.35,Pendiente,Empleado 80,Producto 121
Pedido-295,Cliente 923,2024-07-10,2032.52,Enviado,Empleado 47,Producto 201
Pedido-296,Cliente 422,2024-08-20,882.53,Pendiente,Empleado 8,Producto 96
Pedido-297,Cliente 1750,2024-11-05,2522.29,Cancelado,Empleado 47,Producto 113
Pedido-298,Cliente 1282,2024-04-19,2108.95,Pendiente,Empleado 37,Producto 232
Pedido-299,Cliente 788,2024-07-03,1228.76,Procesado,Empleado 52,Producto 254
Pedido-300,Cliente 1570,2024-05-22,483.09,Cancelado,Empleado 28,Producto 133
Pedido-301,Cliente 985,2024-05-22,4500.98,Entregado,Empleado 7,Producto 22
Pedido-302,Cliente 26,2024-04-16,2064.92,Enviado,Empleado 94,Producto 228
Pedido-303,Cliente 1197,2025-02-10,2673.77,Procesado,Empleado 51,Producto 45
Pedido-304,Cliente 1515,2024-03-19,2497.52,Procesado,Empleado 58,Producto 273
Pedido-305,Cliente 1365,2025-02-07,1889.90,Entregado,Empleado 63,Producto 24
Pedido-306,Cliente 733,2024-06-12,3957.43,Entregado,Empleado 46,Producto 63
Pedido-307,Cliente 1924,2024-11-24,2572.83,Entregado,Empleado 30,Producto 191
Pedido-308,Cliente 361,2024-12-11,2079.65,Procesado,Empleado 84,Producto 48
Pedido-309,Cliente 1049,2024-03-19,1895.25,Procesado,Empleado 52,Producto 140
Pedido-310,Cliente 1487,2025-01-07,3259.81,Cancelado,Empleado 86,Producto 249
