N̼mero de Pedido,Cliente,Fecha del Pedido,Monto Total,Estado del Pedido,Ejecutivo Responsable,Producto Comprado
Pedido-2643,Cliente 831,2024-06-10,2277.41,Entregado,Empleado 81,Producto 58
Pedido-235,Cliente 1876,2025-01-25,2546.15,Pendiente,Empleado 62,Producto 13
Pedido-938,Cliente 858,2024-08-13,4443.08,Pendiente,Empleado 36,Producto 59
Pedido-263,Cliente 1132,2024-12-06,4162.20,Entregado,Empleado 96,Producto 187
Pedido-1382,Cliente 1488,2024-09-28,1150.90,Enviado,Empleado 74,Producto 124
Pedido-489,Cliente 1758,2024-06-08,4767.26,Procesado,Empleado 39,Producto 168
Pedido-2919,Cliente 1278,2024-10-07,1862.46,Enviado,Empleado 8,Producto 65
Pedido-1440,Cliente 398,2024-04-15,1292.25,Enviado,Empleado 31,Producto 219
Pedido-1988,Cliente 1523,2024-03-13,4383.16,Pendiente,Empleado 17,Producto 165
Pedido-3811,Cliente 152,2024-12-01,4037.59,Procesado,Empleado 39,Producto 62
Pedido-919,Cliente 1135,2024-03-09,2017.98,Enviado,Empleado 41,Producto 109
Pedido-672,Cliente 358,2024-07-01,1065.74,Cancelado,Empleado 63,Producto 80
Pedido-4202,Cliente 1689,2024-07-29,4401.11,Procesado,Empleado 39,Producto 29
Pedido-892,Cliente 1962,2024-04-25,3811.72,Cancelado,Empleado 20,Producto 186
Pedido-3256,Cliente 1852,2024-08-05,2518.21,Enviado,Empleado 1,Producto 253
Pedido-1088,Cliente 212,2024-11-27,4899.54,Cancelado,Empleado 77,Producto 21
Pedido-2308,Cliente 633,2024-12-30,4672.37,Cancelado,Empleado 98,Producto 244
Pedido-986,Cliente 433,2024-10-25,4016.93,Cancelado,Empleado 5,Producto 61
Pedido-1178,Cliente 815,2024-07-18,3661.39,Procesado,Empleado 48,Producto 284
Pedido-548,Cliente 655,2024-12-10,3568.65,Entregado,Empleado 63,Producto 256
Pedido-1492,Cliente 585,2024-07-06,771.22,Procesado,Empleado 57,Producto 298
Pedido-1478,Cliente 59,2025-02-21,1590.09,Entregado,Empleado 78,Producto 157
Pedido-1129,Cliente 219,2024-03-14,884.84,Procesado,Empleado 10,Producto 169
Pedido-1295,Cliente 591,2024-10-12,3274.27,Enviado,Empleado 94,Producto 122
Pedido-56,Cliente 1020,2025-01-12,2075.11,Procesado,Empleado 77,Producto 215
Pedido-411,Cliente 1502,2024-03-09,3848.80,Cancelado,Empleado 82,Producto 161
Pedido-2244,Cliente 199,2024-07-15,3773.00,Enviado,Empleado 5,Producto 63
Pedido-907,Cliente 1390,2024-06-28,448.35,Pendiente,Empleado 91,Producto 282
Pedido-3509,Cliente 939,2024-04-11,1264.61,Entregado,Empleado 55,Producto 276
Pedido-2736,Cliente 154,2025-02-22,3859.26,Enviado,Empleado 66,Producto 5
Pedido-1128,Cliente 1499,2024-07-07,1298.59,Pendiente,Empleado 12,Producto 175
Pedido-1447,Cliente 1715,2024-05-17,2816.21,Cancelado,Empleado 43,Producto 254
Pedido-962,Cliente 147,2024-08-04,3810.11,Pendiente,Empleado 46,Producto 277
Pedido-4110,Cliente 286,2024-03-22,2439.17,Entregado,Empleado 78,Producto 221
Pedido-1353,Cliente 1186,2024-06-06,2267.02,Pendiente,Empleado 94,Producto 269
Pedido-4977,Cliente 1228,2024-10-28,378.24,Cancelado,Empleado 36,Producto 221
Pedido-2926,Cliente 1883,2025-01-10,1647.67,Cancelado,Empleado 10,Producto 17
Pedido-3671,Cliente 1258,2024-04-13,2433.55,Cancelado,Empleado 42,Producto 158
Pedido-3639,Cliente 1914,2024-03-22,274.22,Enviado,Empleado 1,Producto 115
Pedido-3449,Cliente 1379,2024-10-05,4055.75,Procesado,Empleado 94,Producto 113
Pedido-797,Cliente 1493,2024-05-09,3504.39,Enviado,Empleado 46,Producto 106
Pedido-984,Cliente 1641,2024-11-23,4103.01,Pendiente,Empleado 41,Producto 6
Pedido-1783,Cliente 1112,2024-07-30,3097.73,Cancelado,Empleado 23,Producto 56
Pedido-4160,Cliente 22,2024-06-20,3751.72,Entregado,Empleado 20,Producto 235
Pedido-488,Cliente 1508,2024-12-31,1333.13,Entregado,Empleado 29,Producto 127
Pedido-3373,Cliente 998,2024-08-15,1520.84,Entregado,Empleado 39,Producto 217
Pedido-3968,Cliente 1228,2024-04-04,1554.00,Entregado,Empleado 71,Producto 176
Pedido-844,Cliente 801,2024-09-09,793.90,Procesado,Empleado 28,Producto 118
Pedido-2574,Cliente 1739,2024-07-27,3317.83,Cancelado,Empleado 81,Producto 45
Pedido-4118,Cliente 1543,2024-03-13,134.99,Procesado,Empleado 77,Producto 73
Pedido-4684,Cliente 370,2024-03-22,3463.79,Enviado,Empleado 16,Producto 171
Pedido-1931,Cliente 1758,2024-08-17,3730.91,Pendiente,Empleado 36,Producto 175
Pedido-3779,Cliente 1950,2024-12-01,163.78,Cancelado,Empleado 94,Producto 138
Pedido-4822,Cliente 639,2024-04-11,4543.65,Enviado,Empleado 45,Producto 7
Pedido-157,Cliente 822,2024-03-12,1544.49,Enviado,Empleado 79,Producto 246
Pedido-2138,Cliente 1841,2025-01-24,454.83,Procesado,Empleado 41,Producto 199
Pedido-318,Cliente 1664,2024-08-07,661.42,Enviado,Empleado 74,Producto 128
Pedido-2626,Cliente 1399,2024-03-05,465.81,Pendiente,Empleado 5,Producto 125
Pedido-979,Cliente 66,2025-02-19,3073.90,Pendiente,Empleado 90,Producto 215
Pedido-221,Cliente 1382,2024-04-05,4135.25,Cancelado,Empleado 19,Producto 17
Pedido-871,Cliente 1578,2024-08-30,4111.11,Enviado,Empleado 47,Producto 56
Pedido-4726,Cliente 1881,2024-06-02,666.88,Pendiente,Empleado 28,Producto 257
Pedido-4846,Cliente 844,2024-04-01,4938.27,Enviado,Empleado 34,Producto 133
Pedido-1381,Cliente 687,2025-02-02,281.62,Pendiente,Empleado 44,Producto 33
Pedido-2957,Cliente 1679,2024-05-28,1914.67,Cancelado,Empleado 25,Producto 63
Pedido-419,Cliente 1913,2024-08-05,2885.17,Pendiente,Empleado 14,Producto 119
Pedido-3090,Cliente 1716,2025-01-30,1956.50,Pendiente,Empleado 11,Producto 269
Pedido-4023,Cliente 982,2024-03-29,729.50,Pendiente,Empleado 13,Producto 77
Pedido-4124,Cliente 503,2024-06-01,2109.71,Cancelado,Empleado 20,Producto 206
Pedido-1935,Cliente 106,2024-04-10,4091.78,Procesado,Empleado 25,Producto 264
Pedido-460,Cliente 1980,2024-10-19,3749.17,Procesado,Empleado 43,Producto 41
Pedido-3736,Cliente 592,2024-08-07,3972.87,Enviado,Empleado 77,Producto 213
Pedido-2993,Cliente 134,2024-06-01,2134.62,Procesado,Empleado 89,Producto 198
Pedido-1961,Cliente 1016,2024-11-26,2329.73,Pendiente,Empleado 84,Producto 77
Pedido-2696,Cliente 1789,2024-09-18,1476.46,Entregado,Empleado 20,Producto 64
Pedido-485,Cliente 1013,2024-09-15,3598.73,Cancelado,Empleado 51,Producto 13
Pedido-4819,Cliente 431,2024-12-30,235.41,Entregado,Empleado 66,Producto 295
Pedido-3464,Cliente 1856,2024-12-21,4995.66,Enviado,Empleado 11,Producto 288
Pedido-4747,Cliente 1452,2025-02-03,1616.10,Enviado,Empleado 97,Producto 216
Pedido-3133,Cliente 974,2024-11-30,793.37,Entregado,Empleado 84,Producto 271
Pedido-3136,Cliente 1627,2024-04-19,2769.98,Pendiente,Empleado 1,Producto 179
Pedido-580,Cliente 651,2025-01-22,1735.56,Entregado,Empleado 4,Producto 18
Pedido-3235,Cliente 1037,2024-10-03,341.54,Cancelado,Empleado 98,Producto 6
Pedido-1238,Cliente 760,2025-01-20,2110.97,Entregado,Empleado 23,Producto 48
Pedido-1684,Cliente 885,2024-11-30,4134.49,Enviado,Empleado 13,Producto 156
Pedido-634,Cliente 892,2024-05-31,4639.46,Entregado,Empleado 6,Producto 255
Pedido-4538,Cliente 1633,2024-04-26,2175.97,Enviado,Empleado 90,Producto 187
Pedido-935,Cliente 261,2024-06-05,373.62,Procesado,Empleado 45,Producto 110
Pedido-2205,Cliente 41,2024-11-20,2621.70,Pendiente,Empleado 32,Producto 95
Pedido-3420,Cliente 1000,2024-03-26,546.27,Entregado,Empleado 62,Producto 88
Pedido-1252,Cliente 1860,2024-08-07,4744.45,Cancelado,Empleado 71,Producto 164
Pedido-2384,Cliente 460,2024-03-07,2632.16,Pendiente,Empleado 19,Producto 255
Pedido-3485,Cliente 725,2024-12-14,453.47,Procesado,Empleado 96,Producto 99
Pedido-1780,Cliente 840,2024-07-24,2501.24,Cancelado,Empleado 6,Producto 232
Pedido-4156,Cliente 385,2025-02-22,2230.79,Procesado,Empleado 42,Producto 186
Pedido-1132,Cliente 283,2024-12-12,1440.71,Entregado,Empleado 89,Producto 9
Pedido-4565,Cliente 732,2024-12-09,4639.78,Procesado,Empleado 14,Producto 196
Pedido-528,Cliente 105,2025-02-01,2800.28,Entregado,Empleado 8,Producto 54
Pedido-3798,Cliente 1508,2024-02-27,2893.93,Entregado,Empleado 70,Producto 234
Pedido-1317,Cliente 1980,2024-03-14,3846.60,Entregado,Empleado 81,Producto 224
Pedido-4049,Cliente 629,2024-10-14,3510.91,Pendiente,Empleado 48,Producto 216
Pedido-585,Cliente 1679,2024-09-06,1889.90,Entregado,Empleado 63,Producto 266
Pedido-1610,Cliente 1760,2024-05-30,1238.06,Procesado,Empleado 9,Producto 176
Pedido-1021,Cliente 224,2024-08-16,1300.71,Enviado,Empleado 63,Producto 181
Pedido-154,Cliente 844,2025-02-05,3727.60,Enviado,Empleado 44,Producto 233
Pedido-2419,Cliente 499,2024-04-08,1253.14,Enviado,Empleado 84,Producto 208
Pedido-4301,Cliente 840,2024-07-26,1921.67,Cancelado,Empleado 54,Producto 248
Pedido-1005,Cliente 692,2024-04-10,4263.91,Pendiente,Empleado 44,Producto 130
Pedido-103,Cliente 101,2024-02-27,4610.89,Procesado,Empleado 42,Producto 37
Pedido-1390,Cliente 1638,2024-12-25,688.76,Cancelado,Empleado 79,Producto 113
Pedido-4540,Cliente 1522,2024-10-31,831.66,Procesado,Empleado 23,Producto 281
Pedido-3107,Cliente 1399,2025-02-09,1444.20,Cancelado,Empleado 68,Producto 108
Pedido-579,Cliente 77,2024-05-04,4018.75,Procesado,Empleado 73,Producto 28
Pedido-3988,Cliente 835,2024-06-16,2423.39,Pendiente,Empleado 97,Producto 111
Pedido-1849,Cliente 483,2024-11-19,2950.27,Cancelado,Empleado 13,Producto 225
Pedido-885,Cliente 1677,2024-10-16,2735.57,Cancelado,Empleado 45,Producto 73
Pedido-3591,Cliente 1966,2025-02-11,479.45,Cancelado,Empleado 98,Producto 115
Pedido-2166,Cliente 1489,2024-07-18,4031.11,Procesado,Empleado 37,Producto 26
Pedido-729,Cliente 563,2024-08-11,1162.92,Enviado,Empleado 54,Producto 181
Pedido-1993,Cliente 1638,2024-07-31,3547.41,Entregado,Empleado 74,Producto 108
Pedido-4570,Cliente 1945,2024-07-31,2345.98,Procesado,Empleado 46,Producto 81
Pedido-3911,Cliente 1123,2024-05-23,2780.13,Pendiente,Empleado 40,Producto 218
Pedido-4311,Cliente 1225,2024-07-29,999.31,Entregado,Empleado 45,Producto 83
Pedido-990,Cliente 1238,2024-12-08,720.10,Cancelado,Empleado 34,Producto 266
Pedido-3388,Cliente 1037,2024-10-27,2473.22,Cancelado,Empleado 4,Producto 128
Pedido-4981,Cliente 461,2025-02-01,3019.26,Procesado,Empleado 66,Producto 124
Pedido-4073,Cliente 856,2024-10-07,4789.82,Pendiente,Empleado 37,Producto 209
Pedido-4193,Cliente 501,2024-10-22,2151.50,Entregado,Empleado 37,Producto 94
Pedido-2895,Cliente 530,2024-10-13,1683.23,Cancelado,Empleado 65,Producto 56
Pedido-3413,Cliente 172,2024-04-22,2654.85,Entregado,Empleado 97,Producto 16
Pedido-3224,Cliente 858,2024-07-16,600.68,Procesado,Empleado 56,Producto 229
Pedido-1090,Cliente 1608,2024-04-03,817.62,Procesado,Empleado 4,Producto 40
Pedido-2114,Cliente 1197,2024-03-01,4980.60,Cancelado,Empleado 68,Producto 22
Pedido-4456,Cliente 815,2024-03-24,1053.84,Procesado,Empleado 71,Producto 206
Pedido-882,Cliente 58,2024-10-10,1480.76,Cancelado,Empleado 79,Producto 282
Pedido-970,Cliente 1478,2024-12-12,3960.45,Cancelado,Empleado 5,Producto 77
Pedido-3569,Cliente 1828,2024-03-24,1439.09,Procesado,Empleado 47,Producto 293
Pedido-4371,Cliente 797,2024-10-02,845.40,Cancelado,Empleado 1,Producto 35
Pedido-2641,Cliente 695,2024-09-23,4024.74,Procesado,Empleado 49,Producto 42
Pedido-4255,Cliente 755,2024-03-28,3736.64,Cancelado,Empleado 27,Producto 83
Pedido-438,Cliente 1472,2024-08-23,3052.16,Entregado,Empleado 78,Producto 104
Pedido-4642,Cliente 1576,2024-07-25,2199.48,Entregado,Empleado 46,Producto 127
Pedido-4632,Cliente 161,2024-07-08,3984.70,Entregado,Empleado 43,Producto 86
Pedido-2294,Cliente 1141,2024-12-20,1006.81,Pendiente,Empleado 56,Producto 130
Pedido-166,Cliente 918,2024-05-18,920.33,Procesado,Empleado 47,Producto 275
Pedido-4551,Cliente 1132,2024-05-25,4612.59,Pendiente,Empleado 17,Producto 45
Pedido-4210,Cliente 257,2024-05-21,4054.04,Enviado,Empleado 31,Producto 83
Pedido-4637,Cliente 1794,2024-10-26,3909.50,Procesado,Empleado 54,Producto 268
Pedido-173,Cliente 971,2024-04-15,3094.03,Entregado,Empleado 77,Producto 212
Pedido-908,Cliente 169,2024-03-26,3357.58,Pendiente,Empleado 55,Producto 209
Pedido-3676,Cliente 496,2024-11-17,3966.17,Cancelado,Empleado 20,Producto 63
Pedido-2129,Cliente 663,2024-12-01,398.31,Procesado,Empleado 77,Producto 48
Pedido-2418,Cliente 1152,2024-12-21,1918.30,Entregado,Empleado 25,Producto 146
Pedido-4128,Cliente 1615,2024-09-13,986.05,Procesado,Empleado 35,Producto 7
Pedido-4312,Cliente 335,2025-02-04,1224.48,Procesado,Empleado 100,Producto 21
Pedido-2059,Cliente 1379,2024-06-29,189.99,Pendiente,Empleado 6,Producto 101
Pedido-659,Cliente 754,2024-06-07,368.95,Cancelado,Empleado 89,Producto 39
Pedido-2127,Cliente 1513,2024-08-05,424.27,Cancelado,Empleado 99,Producto 150
Pedido-1019,Cliente 1256,2024-07-20,4945.39,Procesado,Empleado 48,Producto 189
Pedido-949,Cliente 10,2024-11-29,2175.28,Enviado,Empleado 90,Producto 290
Pedido-3197,Cliente 634,2024-07-03,2824.57,Entregado,Empleado 70,Producto 284
Pedido-365,Cliente 1915,2025-02-01,3686.46,Cancelado,Empleado 11,Producto 114
Pedido-896,Cliente 135,2025-02-02,1318.33,Cancelado,Empleado 47,Producto 250
Pedido-3377,Cliente 587,2024-12-01,4731.21,Entregado,Empleado 8,Producto 131
Pedido-3826,Cliente 1405,2024-06-02,1030.54,Pendiente,Empleado 41,Producto 163
Pedido-4054,Cliente 152,2025-01-03,1264.31,Entregado,Empleado 31,Producto 40
Pedido-815,Cliente 715,2024-06-07,3924.89,Entregado,Empleado 9,Producto 231
Pedido-4722,Cliente 586,2025-01-20,4613.74,Cancelado,Empleado 14,Producto 254
Pedido-1825,Cliente 1716,2024-09-04,2416.46,Cancelado,Empleado 51,Producto 2
Pedido-747,Cliente 1949,2024-10-18,3290.24,Enviado,Empleado 65,Producto 216
Pedido-1302,Cliente 1748,2024-12-18,2302.58,Cancelado,Empleado 32,Producto 118
Pedido-543,Cliente 1031,2024-04-08,1156.34,Procesado,Empleado 91,Producto 88
Pedido-111,Cliente 1338,2024-04-17,3137.97,Entregado,Empleado 78,Producto 294
Pedido-4139,Cliente 1685,2024-03-16,2180.88,Pendiente,Empleado 41,Producto 114
Pedido-4705,Cliente 1007,2024-11-03,3533.36,Enviado,Empleado 89,Producto 6
Pedido-3689,Cliente 1014,2025-01-13,3544.44,Pendiente,Empleado 20,Producto 93
Pedido-4224,Cliente 356,2024-04-14,4507.03,Procesado,Empleado 98,Producto 100
Pedido-2788,Cliente 1949,2025-02-23,924.71,Entregado,Empleado 98,Producto 86
Pedido-2248,Cliente 1392,2024-09-27,2793.50,Procesado,Empleado 5,Producto 224
Pedido-2007,Cliente 1261,2024-12-09,272.14,Cancelado,Empleado 78,Producto 4
Pedido-4293,Cliente 785,2024-11-24,2528.99,Pendiente,Empleado 6,Producto 256
Pedido-4515,Cliente 62,2024-07-08,1469.21,Entregado,Empleado 47,Producto 170
Pedido-2594,Cliente 1228,2025-02-14,3609.26,Entregado,Empleado 8,Producto 163
Pedido-3599,Cliente 67,2024-06-23,3838.55,Enviado,Empleado 42,Producto 47
Pedido-2404,Cliente 1622,2024-11-07,3242.57,Cancelado,Empleado 84,Producto 92
Pedido-2832,Cliente 441,2025-02-22,2266.05,Enviado,Empleado 69,Producto 244
Pedido-1136,Cliente 815,2024-02-29,1735.66,Enviado,Empleado 44,Producto 189
Pedido-2660,Cliente 1336,2024-11-05,4169.01,Procesado,Empleado 79,Producto 259
Pedido-3209,Cliente 1065,2024-12-13,4851.69,Enviado,Empleado 55,Producto 12
Pedido-1003,Cliente 1692,2024-04-09,2877.96,Procesado,Empleado 14,Producto 208
Pedido-4729,Cliente 1571,2024-03-15,280.12,Procesado,Empleado 98,Producto 32
Pedido-3722,Cliente 1890,2024-12-11,3131.92,Procesado,Empleado 84,Producto 198
Pedido-1278,Cliente 1727,2024-09-27,1086.05,Enviado,Empleado 98,Producto 33
Pedido-2615,Cliente 1499,2024-11-26,682.99,Entregado,Empleado 32,Producto 71
Pedido-510,Cliente 1729,2024-11-14,1400.08,Entregado,Empleado 78,Producto 174
Pedido-1797,Cliente 1089,2025-02-07,2723.88,Pendiente,Empleado 62,Producto 40
Pedido-192,Cliente 1068,2024-10-27,2668.82,Pendiente,Empleado 100,Producto 57
Pedido-1687,Cliente 307,2024-05-16,3940.20,Entregado,Empleado 5,Producto 191
Pedido-3843,Cliente 179,2024-09-07,2585.83,Entregado,Empleado 6,Producto 207
Pedido-257,Cliente 1482,2024-09-15,140.10,Enviado,Empleado 70,Producto 203
Pedido-2026,Cliente 1865,2024-10-02,1619.92,Entregado,Empleado 20,Producto 192
Pedido-657,Cliente 1313,2024-12-07,2887.39,Enviado,Empleado 57,Producto 211
Pedido-1557,Cliente 1227,2024-07-15,137.96,Cancelado,Empleado 5,Producto 57
Pedido-3822,Cliente 1081,2024-12-22,2642.31,Cancelado,Empleado 28,Producto 103
Pedido-1465,Cliente 492,2024-06-13,4942.22,Pendiente,Empleado 69,Producto 10
Pedido-1352,Cliente 96,2025-01-10,1850.28,Enviado,Empleado 68,Producto 76
Pedido-1018,Cliente 1282,2024-07-14,1646.96,Pendiente,Empleado 89,Producto 172
Pedido-4848,Cliente 1913,2025-02-17,3460.10,Entregado,Empleado 47,Producto 37
Pedido-4814,Cliente 172,2024-04-16,4284.59,Procesado,Empleado 34,Producto 15
Pedido-2720,Cliente 726,2024-08-27,4071.32,Procesado,Empleado 4,Producto 40
Pedido-763,Cliente 655,2024-04-09,1439.40,Entregado,Empleado 34,Producto 285
Pedido-4484,Cliente 1226,2024-08-28,3573.44,Enviado,Empleado 29,Producto 54
Pedido-3885,Cliente 507,2024-10-05,4307.13,Entregado,Empleado 25,Producto 107
Pedido-2667,Cliente 494,2024-05-03,3102.16,Cancelado,Empleado 39,Producto 252
Pedido-36,Cliente 825,2024-06-29,4144.34,Procesado,Empleado 56,Producto 123
Pedido-4788,Cliente 1993,2024-03-23,2151.82,Pendiente,Empleado 4,Producto 104
Pedido-2786,Cliente 319,2024-05-23,2035.10,Cancelado,Empleado 18,Producto 129
Pedido-3938,Cliente 1143,2025-01-09,2548.38,Procesado,Empleado 8,Producto 258
Pedido-2224,Cliente 694,2024-11-26,1750.99,Enviado,Empleado 50,Producto 83
Pedido-4619,Cliente 1877,2024-06-13,1692.35,Enviado,Empleado 51,Producto 175
Pedido-177,Cliente 231,2024-05-22,3678.01,Cancelado,Empleado 13,Producto 250
Pedido-2835,Cliente 820,2024-09-23,4379.72,Enviado,Empleado 59,Producto 80
Pedido-1213,Cliente 1430,2024-04-24,1261.80,Enviado,Empleado 1,Producto 9
Pedido-4594,Cliente 1992,2024-05-17,2274.50,Entregado,Empleado 70,Producto 68
Pedido-1611,Cliente 196,2024-08-27,1442.67,Cancelado,Empleado 79,Producto 44
Pedido-1675,Cliente 1913,2024-10-02,4537.31,Procesado,Empleado 86,Producto 294
Pedido-395,Cliente 707,2025-01-07,3836.16,Cancelado,Empleado 80,Producto 187
Pedido-2344,Cliente 580,2024-06-26,3259.17,Pendiente,Empleado 51,Producto 269
Pedido-4477,Cliente 1278,2025-01-16,4402.41,Enviado,Empleado 86,Producto 162
