Nombre de la Empresa,Tipo de Cliente,Ubicacion,Ejecutivo de Cuenta,Volumen de Compra Mensual
Cliente 1472,Corporativo,Ubicacion 77,a02aj000008MD5FAAW,31997.61
Cliente 67,Corporativo,Ubicacion 17,a02aj000008MD5eAAG,24089.53
Cliente 840,Gobierno,Ubicacion 75,a02aj000008MD6AAAW,47817.28
Cliente 1049,Corporativo,Ubicacion 39,a02aj000008MD60AAG,36163.36
Cliente 325,Mediana Empresa,Ubicacion 68,a02aj000008MD64AAG,28975.31
Cliente 845,Gobierno,Ubicacion 30,a02aj000008MD5qAAG,5405.61
Cliente 1153,Corporativo,Ubicacion 22,a02aj000008MD6FAAW,44746.79
Cliente 1624,Corporativo,Ubicacion 37,a02aj000008MD61AAG,45596.30
Cliente 41,Mediana Empresa,Ubicacion 31,a02aj000008MD5nAAG,23246.20
Cliente 1060,Gobierno,Ubicacion 86,a02aj000008MD6OAAW,31050.92
Cliente 784,Mediana Empresa,Ubicacion 42,a02aj000008MD5eAAG,11863.97
Cliente 1982,Corporativo,Ubicacion 41,a02aj000008MD5hAAG,6009.87
Cliente 84,Gobierno,Ubicacion 63,a02aj000008MD68AAG,22529.42
Cliente 794,Corporativo,Ubicacion 52,a02aj000008MD5kAAG,29982.40
Cliente 154,Gobierno,Ubicacion 96,a02aj000008MD65AAG,24882.04
Cliente 704,Corporativo,Ubicacion 61,a02aj000008MD6MAAW,22822.09
Cliente 736,Gobierno,Ubicacion 71,a02aj000008MD5pAAG,6006.28
Cliente 598,Gobierno,Ubicacion 63,a02aj000008MD6FAAW,3119.38
Cliente 414,Mediana Empresa,Ubicacion 16,a02aj000008MD5WAAW,882.55
Cliente 1836,Gobierno,Ubicacion 38,a02aj000008MD5JAAW,39686.04
Cliente 1718,Corporativo,Ubicacion 4,a02aj000008MD5UAAW,29304.30
Cliente 787,Gobierno,Ubicacion 37,a02aj000008MD5kAAG,26130.61
Cliente 1346,Mediana Empresa,Ubicacion 55,a02aj000008MD5iAAG,37351.13
Cliente 1021,Corporativo,Ubicacion 77,a02aj000008MD64AAG,14530.78
Cliente 1146,Mediana Empresa,Ubicacion 77,a02aj000008MD5KAAW,5890.21
Cliente 870,Gobierno,Ubicacion 71,a02aj000008MD5PAAW,15084.52
Cliente 58,Corporativo,Ubicacion 38,a02aj000008MD6OAAW,23956.42
Cliente 77,Corporativo,Ubicacion 77,a02aj000008MD5rAAG,24705.42
Cliente 30,Gobierno,Ubicacion 42,a02aj000008MD5kAAG,29458.58
Cliente 1945,Corporativo,Ubicacion 48,a02aj000008MD5nAAG,12873.60
Cliente 314,Corporativo,Ubicacion 6,a02aj000008MD6AAAW,13921.07
Cliente 1929,Corporativo,Ubicacion 37,a02aj000008MD6KAAW,6468.84
Cliente 1655,Mediana Empresa,Ubicacion 85,a02aj000008MD5lAAG,23379.79
Cliente 759,Corporativo,Ubicacion 11,a02aj000008MD5eAAG,27887.54
Cliente 1259,Gobierno,Ubicacion 38,a02aj000008MD5IAAW,3597.58
Cliente 1464,Mediana Empresa,Ubicacion 46,a02aj000008MD5QAAW,22442.48
Cliente 591,Corporativo,Ubicacion 38,a02aj000008MD6KAAW,27862.61
Cliente 1854,Gobierno,Ubicacion 33,a02aj000008MD5bAAG,8682.63
Cliente 926,Corporativo,Ubicacion 50,a02aj000008MD5UAAW,33819.53
Cliente 795,Mediana Empresa,Ubicacion 90,a02aj000008MD5XAAW,43723.08
Cliente 164,Corporativo,Ubicacion 22,a02aj000008MD5tAAG,39411.11
Cliente 1012,Corporativo,Ubicacion 94,a02aj000008MD5lAAG,2546.10
Cliente 908,Corporativo,Ubicacion 74,a02aj000008MD66AAG,44053.86
Cliente 587,Corporativo,Ubicacion 11,a02aj000008MD62AAG,36931.80
Cliente 888,Mediana Empresa,Ubicacion 51,a02aj000008MD6KAAW,13465.66
Cliente 101,Corporativo,Ubicacion 97,a02aj000008MD6HAAW,36730.23
Cliente 659,Mediana Empresa,Ubicacion 84,a02aj000008MD5VAAW,6966.83
Cliente 1723,Corporativo,Ubicacion 53,a02aj000008MD5TAAW,7111.17
Cliente 1677,Mediana Empresa,Ubicacion 37,a02aj000008MD5FAAW,18048.06
Cliente 351,Gobierno,Ubicacion 19,a02aj000008MD5LAAW,18811.16
Cliente 1754,Corporativo,Ubicacion 57,a02aj000008MD5gAAG,45705.88
Cliente 569,Mediana Empresa,Ubicacion 76,a02aj000008MD5HAAW,21146.34
Cliente 731,Corporativo,Ubicacion 66,a02aj000008MD5WAAW,39759.42
Cliente 92,Mediana Empresa,Ubicacion 78,a02aj000008MD5jAAG,14976.51
Cliente 18,Mediana Empresa,Ubicacion 54,a02aj000008MD5lAAG,39196.74
Cliente 720,Mediana Empresa,Ubicacion 65,a02aj000008MD6HAAW,16478.01
Cliente 445,Gobierno,Ubicacion 49,a02aj000008MD5JAAW,39830.42
Cliente 504,Mediana Empresa,Ubicacion 91,a02aj000008MD5fAAG,25379.87
Cliente 1025,Corporativo,Ubicacion 66,a02aj000008MD5WAAW,19031.78
Cliente 1135,Gobierno,Ubicacion 77,a02aj000008MD5IAAW,13973.26
Cliente 1524,Corporativo,Ubicacion 9,a02aj000008MD5LAAW,45736.52
Cliente 1790,Corporativo,Ubicacion 46,a02aj000008MD5rAAG,46917.54
Cliente 1197,Mediana Empresa,Ubicacion 98,a02aj000008MD6LAAW,48903.11
Cliente 1521,Corporativo,Ubicacion 1,a02aj000008MD5RAAW,21321.59
Cliente 1442,Mediana Empresa,Ubicacion 48,a02aj000008MD6MAAW,7984.79
Cliente 1546,Corporativo,Ubicacion 59,a02aj000008MD5HAAW,42080.51
Cliente 1859,Gobierno,Ubicacion 36,a02aj000008MD67AAG,4270.79
Cliente 1183,Corporativo,Ubicacion 32,a02aj000008MD6GAAW,14490.51
Cliente 1431,Corporativo,Ubicacion 42,a02aj000008MD5RAAW,13433.29
Cliente 1581,Corporativo,Ubicacion 85,a02aj000008MD5NAAW,19512.63
Cliente 403,Corporativo,Ubicacion 44,a02aj000008MD5QAAW,17767.26
Cliente 1799,Corporativo,Ubicacion 49,a02aj000008MD5VAAW,39536.07
Cliente 1933,Corporativo,Ubicacion 2,a02aj000008MD5HAAW,3019.51
Cliente 1342,Gobierno,Ubicacion 55,a02aj000008MD5KAAW,41292.40
Cliente 1186,Mediana Empresa,Ubicacion 78,a02aj000008MD62AAG,40240.66
Cliente 639,Corporativo,Ubicacion 37,a02aj000008MD6FAAW,22588.66
Cliente 1648,Mediana Empresa,Ubicacion 45,a02aj000008MD6AAAW,17774.03
Cliente 1905,Gobierno,Ubicacion 87,a02aj000008MD64AAG,8658.33
Cliente 1272,Mediana Empresa,Ubicacion 63,a02aj000008MD5XAAW,44195.61
Cliente 999,Corporativo,Ubicacion 8,a02aj000008MD60AAG,36406.17
Cliente 457,Mediana Empresa,Ubicacion 90,a02aj000008MD6GAAW,31303.75
Cliente 56,Mediana Empresa,Ubicacion 97,a02aj000008MD5YAAW,11688.54
Cliente 517,Mediana Empresa,Ubicacion 41,a02aj000008MD5eAAG,21244.36
Cliente 797,Mediana Empresa,Ubicacion 57,a02aj000008MD5PAAW,39204.08
Cliente 324,Gobierno,Ubicacion 80,a02aj000008MD5gAAG,28995.37
Cliente 1828,Corporativo,Ubicacion 67,a02aj000008MD6FAAW,39077.69
Cliente 136,Corporativo,Ubicacion 88,a02aj000008MD5vAAG,26260.06
Cliente 143,Corporativo,Ubicacion 76,a02aj000008MD5cAAG,29148.76
Cliente 980,Gobierno,Ubicacion 100,a02aj000008MD5fAAG,622.59
Cliente 1411,Mediana Empresa,Ubicacion 4,a02aj000008MD63AAG,552.46
Cliente 799,Gobierno,Ubicacion 83,a02aj000008MD5YAAW,8596.79
Cliente 1286,Gobierno,Ubicacion 76,a02aj000008MD5FAAW,43002.47
Cliente 298,Gobierno,Ubicacion 21,a02aj000008MD5cAAG,6483.92
Cliente 939,Mediana Empresa,Ubicacion 22,a02aj000008MD5GAAW,32309.54
Cliente 923,Corporativo,Ubicacion 25,a02aj000008MD68AAG,37837.60
Cliente 172,Corporativo,Ubicacion 31,a02aj000008MD6CAAW,32236.86
Cliente 972,Gobierno,Ubicacion 15,a02aj000008MD5IAAW,16333.70
Cliente 484,Mediana Empresa,Ubicacion 9,a02aj000008MD5WAAW,18177.38
Cliente 1592,Mediana Empresa,Ubicacion 7,a02aj000008MD6PAAW,28023.76
Cliente 1621,Corporativo,Ubicacion 54,a02aj000008MD5jAAG,13583.49
Cliente 1570,Gobierno,Ubicacion 64,a02aj000008MD5HAAW,27464.38
Cliente 433,Mediana Empresa,Ubicacion 92,a02aj000008MD6QAAW,24467.96
Cliente 465,Corporativo,Ubicacion 21,a02aj000008MD6KAAW,4293.26
Cliente 243,Corporativo,Ubicacion 55,a02aj000008MD5TAAW,3559.33
Cliente 45,Corporativo,Ubicacion 43,a02aj000008MD6NAAW,49142.37
Cliente 1493,Corporativo,Ubicacion 44,a02aj000008MD5YAAW,15731.58
Cliente 805,Mediana Empresa,Ubicacion 25,a02aj000008MD5xAAG,29284.31
Cliente 714,Corporativo,Ubicacion 89,a02aj000008MD5pAAG,23943.80
Cliente 1321,Corporativo,Ubicacion 72,a02aj000008MD5LAAW,44725.07
Cliente 555,Corporativo,Ubicacion 93,a02aj000008MD6BAAW,19585.31
Cliente 1229,Gobierno,Ubicacion 14,a02aj000008MD5wAAG,13974.07
Cliente 356,Gobierno,Ubicacion 28,a02aj000008MD5MAAW,13910.12
Cliente 723,Gobierno,Ubicacion 51,a02aj000008MD5jAAG,6765.75
Cliente 673,Mediana Empresa,Ubicacion 78,a02aj000008MD5XAAW,14045.62
Cliente 1495,Gobierno,Ubicacion 59,a02aj000008MD6FAAW,15024.00
Cliente 219,Corporativo,Ubicacion 19,a02aj000008MD6AAAW,47731.37
Cliente 480,Gobierno,Ubicacion 11,a02aj000008MD6NAAW,29794.29
Cliente 1354,Gobierno,Ubicacion 87,a02aj000008MD5TAAW,13434.13
Cliente 857,Gobierno,Ubicacion 86,a02aj000008MD5IAAW,4448.20
Cliente 936,Mediana Empresa,Ubicacion 38,a02aj000008MD66AAG,8461.28
Cliente 1699,Mediana Empresa,Ubicacion 71,a02aj000008MD5vAAG,48755.88
Cliente 763,Mediana Empresa,Ubicacion 24,a02aj000008MD5zAAG,31012.45
Cliente 1564,Mediana Empresa,Ubicacion 37,a02aj000008MD6QAAW,14216.89
Cliente 371,Corporativo,Ubicacion 1,a02aj000008MD5MAAW,13381.81
Cliente 1595,Gobierno,Ubicacion 71,a02aj000008MD6NAAW,36098.34
Cliente 395,Corporativo,Ubicacion 97,a02aj000008MD6LAAW,48369.12
Cliente 1785,Corporativo,Ubicacion 72,a02aj000008MD6PAAW,29993.74
Cliente 846,Gobierno,Ubicacion 35,a02aj000008MD5yAAG,44484.88
Cliente 672,Corporativo,Ubicacion 90,a02aj000008MD5ZAAW,15809.13
Cliente 82,Corporativo,Ubicacion 67,a02aj000008MD5dAAG,31632.39
Cliente 1237,Gobierno,Ubicacion 1,a02aj000008MD67AAG,29278.67
Cliente 1154,Gobierno,Ubicacion 25,a02aj000008MD6OAAW,4908.66
Cliente 1509,Corporativo,Ubicacion 82,a02aj000008MD5bAAG,38720.58
Cliente 1928,Mediana Empresa,Ubicacion 99,a02aj000008MD6DAAW,4910.17
Cliente 681,Corporativo,Ubicacion 94,a02aj000008MD6CAAW,3093.51
Cliente 1953,Gobierno,Ubicacion 66,a02aj000008MD67AAG,33722.98
Cliente 958,Corporativo,Ubicacion 39,a02aj000008MD6GAAW,28427.49
Cliente 265,Corporativo,Ubicacion 67,a02aj000008MD5QAAW,24467.97
Cliente 1430,Mediana Empresa,Ubicacion 69,a02aj000008MD5SAAW,23000.05
Cliente 1127,Gobierno,Ubicacion 49,a02aj000008MD5WAAW,43894.43
Cliente 585,Mediana Empresa,Ubicacion 25,a02aj000008MD6QAAW,21401.38
Cliente 1560,Gobierno,Ubicacion 75,a02aj000008MD5ZAAW,30152.46
Cliente 1399,Corporativo,Ubicacion 73,a02aj000008MD5aAAG,19655.41
Cliente 42,Gobierno,Ubicacion 46,a02aj000008MD5PAAW,20086.21
Cliente 73,Mediana Empresa,Ubicacion 24,a02aj000008MD5wAAG,26209.04
Cliente 1627,Mediana Empresa,Ubicacion 53,a02aj000008MD5cAAG,39205.61
Cliente 1053,Corporativo,Ubicacion 31,a02aj000008MD66AAG,12200.76
Cliente 538,Gobierno,Ubicacion 48,a02aj000008MD5tAAG,32154.11
Cliente 1853,Corporativo,Ubicacion 44,a02aj000008MD6NAAW,4708.02
Cliente 1638,Corporativo,Ubicacion 71,a02aj000008MD6MAAW,16747.58
Cliente 1826,Corporativo,Ubicacion 18,a02aj000008MD65AAG,9221.59
Cliente 1116,Corporativo,Ubicacion 30,a02aj000008MD62AAG,47940.91
Cliente 1243,Corporativo,Ubicacion 48,a02aj000008MD5mAAG,20705.68
Cliente 584,Gobierno,Ubicacion 76,a02aj000008MD5eAAG,32863.42
Cliente 1123,Mediana Empresa,Ubicacion 60,a02aj000008MD5wAAG,31247.48
Cliente 1676,Mediana Empresa,Ubicacion 73,a02aj000008MD5JAAW,48684.58
Cliente 422,Corporativo,Ubicacion 11,a02aj000008MD5FAAW,46092.74
Cliente 1101,Gobierno,Ubicacion 47,a02aj000008MD6EAAW,29975.04
Cliente 134,Mediana Empresa,Ubicacion 91,a02aj000008MD65AAG,41543.71
Cliente 660,Mediana Empresa,Ubicacion 47,a02aj000008MD62AAG,27022.51
Cliente 375,Mediana Empresa,Ubicacion 22,a02aj000008MD63AAG,38917.04
Cliente 1009,Mediana Empresa,Ubicacion 73,a02aj000008MD5iAAG,37868.96
Cliente 815,Corporativo,Ubicacion 32,a02aj000008MD5aAAG,42154.07
Cliente 1226,Mediana Empresa,Ubicacion 35,a02aj000008MD5RAAW,17388.30
Cliente 492,Corporativo,Ubicacion 7,a02aj000008MD5lAAG,48790.86
Cliente 1355,Corporativo,Ubicacion 18,a02aj000008MD64AAG,1461.57
Cliente 744,Corporativo,Ubicacion 68,a02aj000008MD6IAAW,25843.60
Cliente 1885,Mediana Empresa,Ubicacion 62,a02aj000008MD6OAAW,18290.02
Cliente 816,Corporativo,Ubicacion 34,a02aj000008MD5wAAG,38751.24
Cliente 1084,Gobierno,Ubicacion 100,a02aj000008MD6CAAW,16488.93
Cliente 1287,Mediana Empresa,Ubicacion 12,a02aj000008MD6MAAW,36439.09
Cliente 468,Corporativo,Ubicacion 81,a02aj000008MD5eAAG,18191.11
Cliente 1034,Gobierno,Ubicacion 37,a02aj000008MD5gAAG,17880.38
Cliente 1278,Corporativo,Ubicacion 18,a02aj000008MD5xAAG,4455.59
Cliente 1962,Corporativo,Ubicacion 61,a02aj000008MD5SAAW,15128.39
Cliente 1094,Corporativo,Ubicacion 63,a02aj000008MD6KAAW,36931.21
Cliente 1901,Gobierno,Ubicacion 61,a02aj000008MD5wAAG,40154.63
Cliente 481,Corporativo,Ubicacion 74,a02aj000008MD5jAAG,21106.04
Cliente 319,Corporativo,Ubicacion 60,a02aj000008MD60AAG,33834.16
Cliente 1528,Mediana Empresa,Ubicacion 73,a02aj000008MD5RAAW,28975.30
Cliente 878,Corporativo,Ubicacion 5,a02aj000008MD5NAAW,9076.05
Cliente 1373,Corporativo,Ubicacion 87,a02aj000008MD5OAAW,1595.26
Cliente 844,Corporativo,Ubicacion 87,a02aj000008MD6BAAW,32881.87
Cliente 333,Gobierno,Ubicacion 51,a02aj000008MD5kAAG,5326.92
Cliente 1641,Gobierno,Ubicacion 86,a02aj000008MD5cAAG,32900.91
Cliente 854,Corporativo,Ubicacion 2,a02aj000008MD65AAG,26372.79
Cliente 281,Corporativo,Ubicacion 56,a02aj000008MD5JAAW,38794.35
Cliente 576,Gobierno,Ubicacion 21,a02aj000008MD6KAAW,36375.15
Cliente 1451,Gobierno,Ubicacion 92,a02aj000008MD5dAAG,34899.45
Cliente 619,Gobierno,Ubicacion 41,a02aj000008MD5jAAG,19718.00
Cliente 320,Gobierno,Ubicacion 40,a02aj000008MD5XAAW,31788.74
Cliente 76,Corporativo,Ubicacion 26,a02aj000008MD5NAAW,31604.42
Cliente 582,Mediana Empresa,Ubicacion 4,a02aj000008MD6IAAW,29911.80
Cliente 955,Corporativo,Ubicacion 23,a02aj000008MD5pAAG,38575.72
Cliente 507,Mediana Empresa,Ubicacion 63,a02aj000008MD6GAAW,1474.50
Cliente 1227,Corporativo,Ubicacion 41,a02aj000008MD5oAAG,16580.15
Cliente 1729,Gobierno,Ubicacion 69,a02aj000008MD62AAG,17080.50
Cliente 1864,Corporativo,Ubicacion 70,a02aj000008MD5uAAG,27059.36
Cliente 426,Mediana Empresa,Ubicacion 32,a02aj000008MD5uAAG,8709.42
Cliente 1277,Gobierno,Ubicacion 60,a02aj000008MD5zAAG,34531.70
Cliente 776,Corporativo,Ubicacion 1,a02aj000008MD6JAAW,34754.86
Cliente 2000,Corporativo,Ubicacion 13,a02aj000008MD5rAAG,6098.42
Cliente 1922,Gobierno,Ubicacion 90,a02aj000008MD5eAAG,40656.09
Cliente 928,Gobierno,Ubicacion 91,a02aj000008MD6JAAW,14162.30
Cliente 316,Mediana Empresa,Ubicacion 22,a02aj000008MD6KAAW,14809.80
Cliente 579,Corporativo,Ubicacion 1,a02aj000008MD5WAAW,10219.77
Cliente 263,Corporativo,Ubicacion 35,a02aj000008MD68AAG,10182.19
Cliente 1689,Mediana Empresa,Ubicacion 88,a02aj000008MD5yAAG,36297.13
Cliente 106,Corporativo,Ubicacion 73,a02aj000008MD5gAAG,39503.21
Cliente 1868,Gobierno,Ubicacion 66,a02aj000008MD5NAAW,44042.47
Cliente 1554,Corporativo,Ubicacion 19,a02aj000008MD5VAAW,35745.65
Cliente 150,Corporativo,Ubicacion 83,a02aj000008MD5YAAW,37935.62
Cliente 1709,Gobierno,Ubicacion 5,a02aj000008MD6OAAW,46742.24
Cliente 1027,Gobierno,Ubicacion 45,a02aj000008MD5xAAG,36417.60
Cliente 1295,Corporativo,Ubicacion 69,a02aj000008MD5IAAW,22227.00
Cliente 1615,Gobierno,Ubicacion 36,a02aj000008MD6OAAW,15904.39
Cliente 1696,Gobierno,Ubicacion 40,a02aj000008MD64AAG,40506.85
Cliente 1462,Corporativo,Ubicacion 26,a02aj000008MD5lAAG,49856.86
Cliente 1527,Corporativo,Ubicacion 61,a02aj000008MD5kAAG,26820.65
Cliente 483,Corporativo,Ubicacion 76,a02aj000008MD5mAAG,28330.01
Cliente 1658,Corporativo,Ubicacion 43,a02aj000008MD5yAAG,36790.14
Cliente 1490,Mediana Empresa,Ubicacion 91,a02aj000008MD6QAAW,25206.78
Cliente 1675,Gobierno,Ubicacion 60,a02aj000008MD66AAG,33397.03
Cliente 1984,Corporativo,Ubicacion 96,a02aj000008MD5GAAW,28984.19
Cliente 1508,Corporativo,Ubicacion 58,a02aj000008MD6KAAW,36955.37
Cliente 971,Corporativo,Ubicacion 60,a02aj000008MD5pAAG,15034.86
Cliente 820,Corporativo,Ubicacion 92,a02aj000008MD64AAG,16891.79
Cliente 1989,Mediana Empresa,Ubicacion 65,a02aj000008MD5NAAW,37443.33
Cliente 665,Corporativo,Ubicacion 26,a02aj000008MD5oAAG,49984.87
Cliente 668,Corporativo,Ubicacion 38,a02aj000008MD6CAAW,2460.39
Cliente 1781,Mediana Empresa,Ubicacion 15,a02aj000008MD5ZAAW,19874.29
Cliente 1768,Mediana Empresa,Ubicacion 32,a02aj000008MD5gAAG,40138.44
Cliente 1816,Corporativo,Ubicacion 41,a02aj000008MD5iAAG,25875.30
Cliente 1003,Mediana Empresa,Ubicacion 80,a02aj000008MD6QAAW,6994.86
Cliente 341,Corporativo,Ubicacion 34,a02aj000008MD5tAAG,38412.91
Cliente 1469,Mediana Empresa,Ubicacion 94,a02aj000008MD6GAAW,7815.14
Cliente 1642,Gobierno,Ubicacion 48,a02aj000008MD5SAAW,29988.86
Cliente 1446,Corporativo,Ubicacion 52,a02aj000008MD5oAAG,2666.91
Cliente 1639,Gobierno,Ubicacion 19,a02aj000008MD5uAAG,47546.03
Cliente 417,Corporativo,Ubicacion 66,a02aj000008MD5aAAG,40889.08
Cliente 115,Gobierno,Ubicacion 21,a02aj000008MD6JAAW,2515.92
Cliente 1892,Corporativo,Ubicacion 78,a02aj000008MD6JAAW,46799.51
Cliente 364,Corporativo,Ubicacion 58,a02aj000008MD6GAAW,40378.42
Cliente 1958,Mediana Empresa,Ubicacion 33,a02aj000008MD5fAAG,12426.39
Cliente 1978,Corporativo,Ubicacion 7,a02aj000008MD6EAAW,5863.30
Cliente 545,Gobierno,Ubicacion 44,a02aj000008MD6MAAW,22424.82
Cliente 1517,Gobierno,Ubicacion 69,a02aj000008MD68AAG,9915.12
Cliente 703,Corporativo,Ubicacion 67,a02aj000008MD5JAAW,23892.67
Cliente 982,Mediana Empresa,Ubicacion 32,a02aj000008MD6QAAW,30427.33
Cliente 299,Gobierno,Ubicacion 41,a02aj000008MD6MAAW,10079.17
Cliente 152,Corporativo,Ubicacion 64,a02aj000008MD5HAAW,1855.69
Cliente 754,Corporativo,Ubicacion 92,a02aj000008MD6JAAW,27189.32
Cliente 768,Corporativo,Ubicacion 10,a02aj000008MD5UAAW,49314.62
Cliente 233,Corporativo,Ubicacion 19,a02aj000008MD5oAAG,12070.68
Cliente 914,Corporativo,Ubicacion 45,a02aj000008MD6EAAW,36111.35
Cliente 1986,Corporativo,Ubicacion 69,a02aj000008MD5oAAG,44436.57
Cliente 1578,Mediana Empresa,Ubicacion 10,a02aj000008MD61AAG,8005.25
Cliente 1334,Corporativo,Ubicacion 7,a02aj000008MD5eAAG,35382.54
Cliente 1293,Corporativo,Ubicacion 57,a02aj000008MD6OAAW,16608.63
Cliente 391,Corporativo,Ubicacion 2,a02aj000008MD6KAAW,6935.89
Cliente 1998,Mediana Empresa,Ubicacion 62,a02aj000008MD6MAAW,48065.62
Cliente 515,Gobierno,Ubicacion 75,a02aj000008MD5NAAW,4082.94
Cliente 1608,Mediana Empresa,Ubicacion 74,a02aj000008MD5SAAW,38812.66
Cliente 43,Corporativo,Ubicacion 92,a02aj000008MD5jAAG,1982.39
Cliente 1279,Mediana Empresa,Ubicacion 59,a02aj000008MD6JAAW,4635.49
Cliente 283,Corporativo,Ubicacion 99,a02aj000008MD6HAAW,32722.30
Cliente 1280,Gobierno,Ubicacion 90,a02aj000008MD67AAG,1767.64
Cliente 1175,Mediana Empresa,Ubicacion 22,a02aj000008MD5iAAG,40581.39
