N̼mero de Pedido,Cliente,Fecha del Pedido,Monto Total,Estado del Pedido,Ejecutivo Responsable,Producto Comprado
Pedido-2921,a01aj00000wQ3tXAAS,2024-02-29,4948.50,Cancelado,a02aj000008MD5XAAW,a00aj00000hTUcpAAG
Pedido-3666,a01aj00000wQ3kiAAC,2024-10-25,827.88,Procesado,a02aj000008MD5VAAW,a00aj00000hTUc4AAG
Pedido-3355,a01aj00000wQ0pUAAS,2024-05-16,213.77,Pendiente,a02aj000008MD5vAAG,a00aj00000hTzw1AAC
Pedido-2899,a01aj00000wQ0q5AAC,2024-10-11,493.88,Entregado,a02aj000008MD5MAAW,a00aj00000hTzvgAAC
Pedido-1335,a01aj00000wQ3qUAAS,2024-07-12,4036.26,Enviado,a02aj000008MD5dAAG,a00aj00000hTUbgAAG
Pedido-1402,a01aj00000wPY84AAG,2024-11-09,405.98,Entregado,a02aj000008MD6GAAW,a00aj00000hTzvcAAC
Pedido-880,a01aj00000wPY7GAAW,2024-09-08,1268.92,Pendiente,a02aj000008MD5eAAG,a00aj00000hTUbcAAG
Pedido-2965,a01aj00000wQ3ZXAA0,2025-02-03,867.53,Entregado,a02aj000008MD6PAAW,a00aj00000hTzw2AAC
Pedido-1862,a01aj00000wQ3omAAC,2024-08-23,2762.09,Pendiente,a02aj000008MD6NAAW,a00aj00000hTzwGAAS
Pedido-3656,a01aj00000wQ0qMAAS,2025-02-06,2751.99,Enviado,a02aj000008MD5WAAW,a00aj00000hTzwgAAC
Pedido-2426,a01aj00000wQ3c4AAC,2024-09-18,4865.89,Enviado,a02aj000008MD6DAAW,a00aj00000hTgyDAAS
Pedido-3103,a01aj00000wQ3ZZAA0,2024-08-19,4168.32,Cancelado,a02aj000008MD5pAAG,a00aj00000hTzwaAAC
Pedido-941,a01aj00000wQ0qlAAC,2025-01-31,4591.02,Cancelado,a02aj000008MD5qAAG,a00aj00000hTzvbAAC
Pedido-1254,a01aj00000wQ0qrAAC,2024-04-24,3906.55,Entregado,a02aj000008MD6NAAW,a00aj00000hTgyOAAS
Pedido-93,a01aj00000wQ3o2AAC,2024-10-28,4802.25,Procesado,a02aj000008MD5tAAG,a00aj00000hTzviAAC
Pedido-3522,a01aj00000wQ3iwAAC,2025-01-26,3583.34,Pendiente,a02aj000008MD5JAAW,a00aj00000hTzveAAC
Pedido-2805,a01aj00000wQ3j7AAC,2024-10-30,280.16,Enviado,a02aj000008MD5VAAW,a00aj00000hTzveAAC
Pedido-3766,a01aj00000wPw7LAAS,2025-01-18,2711.67,Cancelado,a02aj000008MD5kAAG,a00aj00000hTgxsAAC
Pedido-2168,a01aj00000wQ3uMAAS,2025-01-08,2877.74,Cancelado,a02aj000008MD5cAAG,a00aj00000hTUcgAAG
Pedido-930,a01aj00000wPY8DAAW,2024-11-22,4697.30,Pendiente,a02aj000008MD5mAAG,a00aj00000hTzwqAAC
Pedido-1614,a01aj00000wQ3sPAAS,2024-10-13,3510.05,Cancelado,a02aj000008MD5fAAG,a00aj00000hTzvvAAC
Pedido-667,a01aj00000wQ0qZAAS,2024-04-09,4993.85,Cancelado,a02aj000008MD62AAG,a00aj00000hTUceAAG
Pedido-2862,a01aj00000wPY8GAAW,2024-09-09,1491.64,Procesado,a02aj000008MD67AAG,a00aj00000hTgy4AAC
Pedido-1838,a01aj00000wQ3hjAAC,2024-09-25,3207.90,Cancelado,a02aj000008MD5qAAG,a00aj00000hTUcmAAG
Pedido-3919,a01aj00000wQ3lGAAS,2024-10-12,1131.91,Cancelado,a02aj000008MD5ZAAW,a00aj00000hTgy7AAC
Pedido-3127,a01aj00000wPw7LAAS,2024-09-18,4647.74,Enviado,a02aj000008MD5lAAG,a00aj00000hTUczAAG
Pedido-642,a01aj00000wQ3sEAAS,2024-11-29,1443.46,Entregado,a02aj000008MD5kAAG,a00aj00000hTUc0AAG
Pedido-592,a01aj00000wQ3ZTAA0,2024-09-16,2982.50,Enviado,a02aj000008MD5iAAG,a00aj00000hTzvvAAC
Pedido-2643,a01aj00000wQ3oLAAS,2024-06-10,2277.41,Entregado,a02aj000008MD5MAAW,a00aj00000hTUcbAAG
Pedido-235,a01aj00000wQ3tKAAS,2025-01-25,2546.15,Pendiente,a02aj000008MD6LAAW,a00aj00000hTzwxAAC
Pedido-938,a01aj00000wQ3fvAAC,2024-08-13,4443.08,Pendiente,a02aj000008MD5rAAG,a00aj00000hTUbkAAG
Pedido-263,a01aj00000wQ3tjAAC,2024-12-06,4162.20,Entregado,a02aj000008MD5wAAG,a00aj00000hTUcWAAW
Pedido-1382,a01aj00000wPw6gAAC,2024-09-28,1150.90,Enviado,a02aj000008MD5RAAW,a00aj00000hTzx3AAC
Pedido-2919,a01aj00000wPY7JAAW,2024-10-07,1862.46,Enviado,a02aj000008MD5vAAG,a00aj00000hTUboAAG
Pedido-1440,a01aj00000wQ3dYAAS,2024-04-15,1292.25,Enviado,a02aj000008MD5QAAW,a00aj00000hTgyWAAS
Pedido-3811,a01aj00000wQ3cAAAS,2024-12-01,4037.59,Procesado,a02aj000008MD66AAG,a00aj00000hTUblAAG
Pedido-919,a01aj00000wQ3Z4AAK,2024-03-09,2017.98,Enviado,a02aj000008MD5fAAG,a00aj00000hTzwFAAS
Pedido-672,a01aj00000wQ3uGAAS,2024-07-01,1065.74,Cancelado,a02aj000008MD61AAG,a00aj00000hTUckAAG
Pedido-4202,a01aj00000wPY7rAAG,2024-07-29,4401.11,Procesado,a02aj000008MD66AAG,a00aj00000hTzx0AAC
Pedido-892,a01aj00000wPY7KAAW,2024-04-25,3811.72,Cancelado,a02aj000008MD5yAAG,a00aj00000hTUbiAAG
Pedido-3256,a01aj00000wQ3hkAAC,2024-08-05,2518.21,Enviado,a02aj000008MD5OAAW,a00aj00000hTzvqAAC
Pedido-1088,a01aj00000wQ3fzAAC,2024-11-27,4899.54,Cancelado,a02aj000008MD5VAAW,a00aj00000hTUcpAAG
Pedido-2308,a01aj00000wQ3lUAAS,2024-12-30,4672.37,Cancelado,a02aj000008MD6MAAW,a00aj00000hTzx1AAC
Pedido-986,a01aj00000wQ3ZkAAK,2024-10-25,4016.93,Cancelado,a02aj000008MD5UAAW,a00aj00000hTUcTAAW
Pedido-1178,a01aj00000wPY78AAG,2024-07-18,3661.39,Procesado,a02aj000008MD5kAAG,a00aj00000hTzvzAAC
Pedido-548,a01aj00000wPw6uAAC,2024-12-10,3568.65,Entregado,a02aj000008MD61AAG,a00aj00000hTUcaAAG
Pedido-1492,a01aj00000wPY6mAAG,2024-07-06,771.22,Procesado,a02aj000008MD6DAAW,a00aj00000hTUcmAAG
Pedido-1478,a01aj00000wQ3jJAAS,2025-02-21,1590.09,Entregado,a02aj000008MD5WAAW,a00aj00000hTUbqAAG
Pedido-1129,a01aj00000wQ3ZyAAK,2024-03-14,884.84,Procesado,a02aj000008MD5hAAG,a00aj00000hTzvuAAC
Pedido-1295,a01aj00000wQ0qxAAC,2024-10-12,3274.27,Enviado,a02aj000008MD5nAAG,a00aj00000hTzw7AAC
Pedido-56,a01aj00000wQ3rnAAC,2025-01-12,2075.11,Procesado,a02aj000008MD5VAAW,a00aj00000hTUbyAAG
Pedido-411,a01aj00000wPw62AAC,2024-03-09,3848.80,Cancelado,a02aj000008MD5zAAG,a00aj00000hTzwPAAS
Pedido-2244,a01aj00000wQ3fYAAS,2024-07-15,3773.00,Enviado,a02aj000008MD5UAAW,a00aj00000hTzwsAAC
Pedido-907,a01aj00000wQ3rSAAS,2024-06-28,448.35,Pendiente,a02aj000008MD5TAAW,a00aj00000hTUbwAAG
Pedido-3509,a01aj00000wQ3ZcAAK,2024-04-11,1264.61,Entregado,a02aj000008MD6FAAW,a00aj00000hTgy9AAC
Pedido-2736,a01aj00000wQ0qbAAC,2025-02-22,3859.26,Enviado,a02aj000008MD5qAAG,a00aj00000hTgybAAC
Pedido-1128,a01aj00000wQ3iOAAS,2024-07-07,1298.59,Pendiente,a02aj000008MD5jAAG,a00aj00000hTUbfAAG
Pedido-962,a01aj00000wQ3dHAAS,2024-08-04,3810.11,Pendiente,a02aj000008MD5IAAW,a00aj00000hTUbvAAG
Pedido-4110,a01aj00000wPw6VAAS,2024-03-22,2439.17,Entregado,a02aj000008MD5WAAW,a00aj00000hTUcIAAW
Pedido-1353,a01aj00000wQ3ZJAA0,2024-06-06,2267.02,Pendiente,a02aj000008MD5nAAG,a00aj00000hTzwkAAC
Pedido-4977,a01aj00000wQ3h0AAC,2024-10-28,378.24,Cancelado,a02aj000008MD5rAAG,a00aj00000hTUcIAAW
Pedido-2926,a01aj00000wPw6tAAC,2025-01-10,1647.67,Cancelado,a02aj000008MD5hAAG,a00aj00000hTUcvAAG
Pedido-3671,a01aj00000wQ0qFAAS,2024-04-13,2433.55,Cancelado,a02aj000008MD6OAAW,a00aj00000hTgy6AAC
Pedido-3639,a01aj00000wQ3dUAAS,2024-03-22,274.22,Enviado,a02aj000008MD5OAAW,a00aj00000hTUc6AAG
Pedido-3449,a01aj00000wQ3i6AAC,2024-10-05,4055.75,Procesado,a02aj000008MD5nAAG,a00aj00000hTUc8AAG
Pedido-797,a01aj00000wQ3ZoAAK,2024-05-09,3504.39,Enviado,a02aj000008MD5IAAW,a00aj00000hTUbrAAG
Pedido-984,a01aj00000wPY7UAAW,2024-11-23,4103.01,Pendiente,a02aj000008MD5fAAG,a00aj00000hTzx2AAC
Pedido-4160,a01aj00000wQ3oNAAS,2024-06-20,3751.72,Entregado,a02aj000008MD5yAAG,a00aj00000hTgy5AAC
Pedido-488,a01aj00000wPY88AAG,2024-12-31,1333.13,Entregado,a02aj000008MD5mAAG,a00aj00000hTzvsAAC
Pedido-3373,a01aj00000wQ3juAAC,2024-08-15,1520.84,Entregado,a02aj000008MD66AAG,a00aj00000hTzwdAAC
Pedido-844,a01aj00000wQ3ncAAC,2024-09-09,793.90,Procesado,a02aj000008MD5xAAG,a00aj00000hTUbxAAG
Pedido-2574,a01aj00000wPw6lAAC,2024-07-27,3317.83,Cancelado,a02aj000008MD5MAAW,a00aj00000hTgyVAAS
Pedido-1931,a01aj00000wQ3rFAAS,2024-08-17,3730.91,Pendiente,a02aj000008MD5rAAG,a00aj00000hTUbfAAG
Pedido-3779,a01aj00000wQ3szAAC,2024-12-01,163.78,Cancelado,a02aj000008MD5nAAG,a00aj00000hTzweAAC
Pedido-4822,a01aj00000wQ3ZKAA0,2024-04-11,4543.65,Enviado,a02aj000008MD5JAAW,a00aj00000hTUbeAAG
Pedido-157,a01aj00000wQ3qpAAC,2024-03-12,1544.49,Enviado,a02aj000008MD68AAG,a00aj00000hTUcQAAW
Pedido-2138,a01aj00000wQ3ofAAC,2025-01-24,454.83,Procesado,a02aj000008MD5fAAG,a00aj00000hTUcFAAW
Pedido-318,a01aj00000wQ3iEAAS,2024-08-07,661.42,Enviado,a02aj000008MD5RAAW,a00aj00000hTUceAAG
Pedido-2626,a01aj00000wPY6oAAG,2024-03-05,465.81,Pendiente,a02aj000008MD5UAAW,a00aj00000hTgy8AAC
Pedido-979,a01aj00000wQ3sKAAS,2025-02-19,3073.90,Pendiente,a02aj000008MD6CAAW,a00aj00000hTUbyAAG
Pedido-221,a01aj00000wQ3oRAAS,2024-04-05,4135.25,Cancelado,a02aj000008MD5PAAW,a00aj00000hTUcvAAG
Pedido-4726,a01aj00000wQ3uCAAS,2024-06-02,666.88,Pendiente,a02aj000008MD5xAAG,a00aj00000hTUchAAG
Pedido-1381,a01aj00000wQ3qfAAC,2025-02-02,281.62,Pendiente,a02aj000008MD6GAAW,a00aj00000hTzvTAAS
Pedido-2957,a01aj00000wQ3tdAAC,2024-05-28,1914.67,Cancelado,a02aj000008MD63AAG,a00aj00000hTzwsAAC
Pedido-419,a01aj00000wPw6MAAS,2024-08-05,2885.17,Pendiente,a02aj000008MD62AAG,a00aj00000hTzvyAAC
Pedido-3090,a01aj00000wPw6DAAS,2025-01-30,1956.50,Pendiente,a02aj000008MD5NAAW,a00aj00000hTzwkAAC
Pedido-4023,a01aj00000wQ3c8AAC,2024-03-29,729.50,Pendiente,a02aj000008MD5XAAW,a00aj00000hTUcAAAW
Pedido-4124,a01aj00000wQ3dBAAS,2024-06-01,2109.71,Cancelado,a02aj000008MD5yAAG,a00aj00000hTzvkAAC
Pedido-1935,a01aj00000wPY7sAAG,2024-04-10,4091.78,Procesado,a02aj000008MD63AAG,a00aj00000hTgyQAAS
Pedido-460,a01aj00000wQ3uKAAS,2024-10-19,3749.17,Procesado,a02aj000008MD5cAAG,a00aj00000hTgyIAAS
Pedido-3736,a01aj00000wQ0ppAAC,2024-08-07,3972.87,Enviado,a02aj000008MD5VAAW,a00aj00000hTzwOAAS
Pedido-2993,a01aj00000wPY74AAG,2024-06-01,2134.62,Procesado,a02aj000008MD5aAAG,a00aj00000hTzwMAAS
Pedido-1961,a01aj00000wQ3gYAAS,2024-11-26,2329.73,Pendiente,a02aj000008MD5FAAW,a00aj00000hTUcAAAW
Pedido-2696,a01aj00000wQ3kHAAS,2024-09-18,1476.46,Entregado,a02aj000008MD5yAAG,a00aj00000hTgxwAAC
Pedido-485,a01aj00000wQ3oBAAS,2024-09-15,3598.73,Cancelado,a02aj000008MD6HAAW,a00aj00000hTzwxAAC
Pedido-3133,a01aj00000wQ3hiAAC,2024-11-30,793.37,Entregado,a02aj000008MD5FAAW,a00aj00000hTzvPAAS
Pedido-3136,a01aj00000wPY6rAAG,2024-04-19,2769.98,Pendiente,a02aj000008MD5OAAW,a00aj00000hTzw5AAC
Pedido-580,a01aj00000wQ3uIAAS,2025-01-22,1735.56,Entregado,a02aj000008MD64AAG,a00aj00000hTUd2AAG
Pedido-3235,a01aj00000wQ3jNAAS,2024-10-03,341.54,Cancelado,a02aj000008MD6MAAW,a00aj00000hTzx2AAC
Pedido-1238,a01aj00000wPw6dAAC,2025-01-20,2110.97,Entregado,a02aj000008MD5LAAW,a00aj00000hTUbtAAG
Pedido-1684,a01aj00000wQ3dNAAS,2024-11-30,4134.49,Enviado,a02aj000008MD5XAAW,a00aj00000hTUbjAAG
Pedido-634,a01aj00000wQ3fnAAC,2024-05-31,4639.46,Entregado,a02aj000008MD5oAAG,a00aj00000hTzwoAAC
Pedido-4538,a01aj00000wQ3gHAAS,2024-04-26,2175.97,Enviado,a02aj000008MD6CAAW,a00aj00000hTUcWAAW
Pedido-935,a01aj00000wQ3jcAAC,2024-06-05,373.62,Procesado,a02aj000008MD5JAAW,a00aj00000hTUbnAAG
Pedido-2205,a01aj00000wQ0qVAAS,2024-11-20,2621.70,Pendiente,a02aj000008MD5YAAW,a00aj00000hTUbcAAG
Pedido-3420,a01aj00000wQ3lVAAS,2024-03-26,546.27,Entregado,a02aj000008MD6LAAW,a00aj00000hTzvdAAC
Pedido-1252,a01aj00000wQ3lDAAS,2024-08-07,4744.45,Cancelado,a02aj000008MD5HAAW,a00aj00000hTgxsAAC
Pedido-2384,a01aj00000wQ3k9AAC,2024-03-07,2632.16,Pendiente,a02aj000008MD5PAAW,a00aj00000hTzwoAAC
Pedido-3485,a01aj00000wPw75AAC,2024-12-14,453.47,Procesado,a02aj000008MD5wAAG,a00aj00000hTUbgAAG
Pedido-1780,a01aj00000wQ0qPAAS,2024-07-24,2501.24,Cancelado,a02aj000008MD5oAAG,a00aj00000hTzwKAAS
Pedido-4156,a01aj00000wQ3jdAAC,2025-02-22,2230.79,Procesado,a02aj000008MD6OAAW,a00aj00000hTUbiAAG
Pedido-1132,a01aj00000wQ3cPAAS,2024-12-12,1440.71,Entregado,a02aj000008MD5aAAG,a00aj00000hTUc5AAG
Pedido-4565,a01aj00000wQ3dDAAS,2024-12-09,4639.78,Procesado,a02aj000008MD62AAG,a00aj00000hTUc7AAG
Pedido-3798,a01aj00000wPY88AAG,2024-02-27,2893.93,Entregado,a02aj000008MD5dAAG,a00aj00000hTzvmAAC
Pedido-1317,a01aj00000wQ3uKAAS,2024-03-14,3846.60,Entregado,a02aj000008MD5MAAW,a00aj00000hTUd0AAG
Pedido-585,a01aj00000wQ3tdAAC,2024-09-06,1889.90,Entregado,a02aj000008MD61AAG,a00aj00000hTzvxAAC
Pedido-1021,a01aj00000wQ0pyAAC,2024-08-16,1300.71,Enviado,a02aj000008MD61AAG,a00aj00000hTzvZAAS
Pedido-154,a01aj00000wPY7SAAW,2025-02-05,3727.60,Enviado,a02aj000008MD6GAAW,a00aj00000hTzvgAAC
Pedido-2419,a01aj00000wQ3cfAAC,2024-04-08,1253.14,Enviado,a02aj000008MD5FAAW,a00aj00000hTzwZAAS
Pedido-4301,a01aj00000wQ0qPAAS,2024-07-26,1921.67,Cancelado,a02aj000008MD5GAAW,a00aj00000hTzveAAC
Pedido-1005,a01aj00000wPw6mAAC,2024-04-10,4263.91,Pendiente,a02aj000008MD6GAAW,a00aj00000hTgxyAAC
Pedido-103,a01aj00000wQ3YqAAK,2024-02-27,4610.89,Procesado,a02aj000008MD6OAAW,a00aj00000hTzwRAAS
Pedido-1390,a01aj00000wPY6vAAG,2024-12-25,688.76,Cancelado,a02aj000008MD68AAG,a00aj00000hTUc8AAG
Pedido-4540,a01aj00000wPw6RAAS,2024-10-31,831.66,Procesado,a02aj000008MD5LAAW,a00aj00000hTzwVAAS
Pedido-579,a01aj00000wQ0qoAAC,2024-05-04,4018.75,Procesado,a02aj000008MD5iAAG,a00aj00000hTzwfAAC
Pedido-3988,a01aj00000wQ3gZAAS,2024-06-16,2423.39,Pendiente,a02aj000008MD5gAAG,a00aj00000hTUbdAAG
Pedido-1849,a01aj00000wPY83AAG,2024-11-19,2950.27,Cancelado,a02aj000008MD5XAAW,a00aj00000hTzvWAAS
Pedido-3591,a01aj00000wQ3qXAAS,2025-02-11,479.45,Cancelado,a02aj000008MD6MAAW,a00aj00000hTUc6AAG
Pedido-2166,a01aj00000wQ3gxAAC,2024-07-18,4031.11,Procesado,a02aj000008MD6BAAW,a00aj00000hTUc3AAG
Pedido-729,a01aj00000wQ0pvAAC,2024-08-11,1162.92,Enviado,a02aj000008MD5GAAW,a00aj00000hTzvZAAS
Pedido-4570,a01aj00000wQ0qqAAC,2024-07-31,2345.98,Procesado,a02aj000008MD5IAAW,a00aj00000hTUcrAAG
Pedido-3911,a01aj00000wPY70AAG,2024-05-23,2780.13,Pendiente,a02aj000008MD5KAAW,a00aj00000hTgyAAAS
Pedido-4311,a01aj00000wQ0puAAC,2024-07-29,999.31,Entregado,a02aj000008MD5JAAW,a00aj00000hTgyFAAS
Pedido-990,a01aj00000wQ3fQAAS,2024-12-08,720.10,Cancelado,a02aj000008MD5SAAW,a00aj00000hTzvxAAC
Pedido-3388,a01aj00000wQ3jNAAS,2024-10-27,2473.22,Cancelado,a02aj000008MD64AAG,a00aj00000hTUceAAG
Pedido-4981,a01aj00000wQ3r9AAC,2025-02-01,3019.26,Procesado,a02aj000008MD5qAAG,a00aj00000hTzx3AAC
Pedido-4073,a01aj00000wQ3fwAAC,2024-10-07,4789.82,Pendiente,a02aj000008MD6BAAW,a00aj00000hTgyGAAS
Pedido-4193,a01aj00000wQ3rtAAC,2024-10-22,2151.50,Entregado,a02aj000008MD6BAAW,a00aj00000hTUc9AAG
Pedido-3413,a01aj00000wQ3ZeAAK,2024-04-22,2654.85,Entregado,a02aj000008MD5gAAG,a00aj00000hTgyNAAS
Pedido-3224,a01aj00000wQ3fvAAC,2024-07-16,600.68,Procesado,a02aj000008MD5ZAAW,a00aj00000hTgyRAAS
Pedido-1090,a01aj00000wQ3cMAAS,2024-04-03,817.62,Procesado,a02aj000008MD64AAG,a00aj00000hTzvrAAC
Pedido-4456,a01aj00000wPY78AAG,2024-03-24,1053.84,Procesado,a02aj000008MD5HAAW,a00aj00000hTzvkAAC
Pedido-882,a01aj00000wQ0qnAAC,2024-10-10,1480.76,Cancelado,a02aj000008MD68AAG,a00aj00000hTUbwAAG
Pedido-970,a01aj00000wQ0q8AAC,2024-12-12,3960.45,Cancelado,a02aj000008MD5UAAW,a00aj00000hTUcAAAW
Pedido-3569,a01aj00000wQ3ZUAA0,2024-03-24,1439.09,Procesado,a02aj000008MD6JAAW,a00aj00000hTzvcAAC
Pedido-4371,a01aj00000wQ3ZSAA0,2024-10-02,845.40,Cancelado,a02aj000008MD5OAAW,a00aj00000hTUc2AAG
Pedido-2641,a01aj00000wPw6kAAC,2024-09-23,4024.74,Procesado,a02aj000008MD6QAAW,a00aj00000hTgy7AAC
Pedido-4255,a01aj00000wQ3uMAAS,2024-03-28,3736.64,Cancelado,a02aj000008MD5bAAG,a00aj00000hTgyFAAS
Pedido-4642,a01aj00000wQ3sGAAS,2024-07-25,2199.48,Entregado,a02aj000008MD5IAAW,a00aj00000hTzvsAAC
Pedido-4632,a01aj00000wQ3jDAAS,2024-07-08,3984.70,Entregado,a02aj000008MD5cAAG,a00aj00000hTUcMAAW
Pedido-2294,a01aj00000wQ3rpAAC,2024-12-20,1006.81,Pendiente,a02aj000008MD5ZAAW,a00aj00000hTgxyAAC
Pedido-166,a01aj00000wPw63AAC,2024-05-18,920.33,Procesado,a02aj000008MD6JAAW,a00aj00000hTzw0AAC
Pedido-4551,a01aj00000wQ3tjAAC,2024-05-25,4612.59,Pendiente,a02aj000008MD5sAAG,a00aj00000hTgyVAAS
Pedido-4210,a01aj00000wQ0pxAAC,2024-05-21,4054.04,Enviado,a02aj000008MD5QAAW,a00aj00000hTgyFAAS
Pedido-4637,a01aj00000wPw70AAC,2024-10-26,3909.50,Procesado,a02aj000008MD5GAAW,a00aj00000hTzwzAAC
Pedido-173,a01aj00000wPY89AAG,2024-04-15,3094.03,Entregado,a02aj000008MD5VAAW,a00aj00000hTUcGAAW
Pedido-908,a01aj00000wQ3dWAAS,2024-03-26,3357.58,Pendiente,a02aj000008MD6FAAW,a00aj00000hTgyGAAS
Pedido-3676,a01aj00000wQ3nFAAS,2024-11-17,3966.17,Cancelado,a02aj000008MD5yAAG,a00aj00000hTzwsAAC
Pedido-2129,a01aj00000wQ3fVAAS,2024-12-01,398.31,Procesado,a02aj000008MD5VAAW,a00aj00000hTUbtAAG
Pedido-2418,a01aj00000wQ3sDAAS,2024-12-21,1918.30,Entregado,a02aj000008MD63AAG,a00aj00000hTUcKAAW
Pedido-4128,a01aj00000wPY7zAAG,2024-09-13,986.05,Procesado,a02aj000008MD5uAAG,a00aj00000hTUbeAAG
Pedido-4312,a01aj00000wQ3kVAAS,2025-02-04,1224.48,Procesado,a02aj000008MD6EAAW,a00aj00000hTUcpAAG
Pedido-659,a01aj00000wQ3cBAAS,2024-06-07,368.95,Cancelado,a02aj000008MD5aAAG,a00aj00000hTUd1AAG
Pedido-2127,a01aj00000wQ3lGAAS,2024-08-05,424.27,Cancelado,a02aj000008MD6RAAW,a00aj00000hTzvVAAS
Pedido-949,a01aj00000wPw61AAC,2024-11-29,2175.28,Enviado,a02aj000008MD6CAAW,a00aj00000hTUcHAAW
Pedido-3197,a01aj00000wQ3geAAC,2024-07-03,2824.57,Entregado,a02aj000008MD5dAAG,a00aj00000hTzvzAAC
Pedido-365,a01aj00000wQ3nXAAS,2025-02-01,3686.46,Cancelado,a02aj000008MD5NAAW,a00aj00000hTzvwAAC
Pedido-896,a01aj00000wQ3dJAAS,2025-02-02,1318.33,Cancelado,a02aj000008MD6JAAW,a00aj00000hTUcNAAW
