Nombre de la Empresa,Tipo de Cliente,Ubicación,Ejecutivo de Cuenta,Volumen de Compra Mensual
Cliente 41,Mediana Empresa,Ubicación 31,Empleado 94,23246.2
Cliente 42,Gobierno,Ubicación 46,Empleado 19,20086.21
Cliente 43,Pequeña Empresa,Ubicación 92,Empleado 12,1982.39
Cliente 44,Pequeña Empresa,Ubicación 88,Empleado 92,27475.39
Cliente 45,Corporativo,Ubicación 43,Empleado 80,49142.37
Cliente 46,Pequeña Empresa,Ubicación 100,Empleado 29,17311.46
Cliente 47,Gobierno,Ubicación 73,Empleado 4,42560.08
Cliente 48,Mediana Empresa,Ubicación 40,Empleado 25,5281.79
Cliente 49,Gobierno,Ubicación 31,Empleado 27,26345.05
Cliente 50,Gobierno,Ubicación 70,Empleado 29,26205.76
Cliente 51,Mediana Empresa,Ubicación 40,Empleado 79,34017.2
Cliente 52,Gobierno,Ubicación 90,Empleado 23,9357.78
Cliente 53,Corporativo,Ubicación 27,Empleado 10,21097.95
Cliente 54,Mediana Empresa,Ubicación 87,Empleado 36,10064.47
Cliente 55,Pequeña Empresa,Ubicación 47,Empleado 57,12093.96
Cliente 56,Mediana Empresa,Ubicación 97,Empleado 32,11688.54
Cliente 57,Corporativo,Ubicación 100,Empleado 24,41211.23
Cliente 58,Corporativo,Ubicación 38,Empleado 42,23956.42
Cliente 59,Mediana Empresa,Ubicación 82,Empleado 18,37915.09
Cliente 60,Gobierno,Ubicación 9,Empleado 98,46456.63
Cliente 61,Gobierno,Ubicación 84,Empleado 49,2105.43
Cliente 62,Mediana Empresa,Ubicación 44,Empleado 69,18716.75
Cliente 63,Pequeña Empresa,Ubicación 64,Empleado 18,11213.24
Cliente 64,Gobierno,Ubicación 85,Empleado 22,8489.65
Cliente 65,Corporativo,Ubicación 54,Empleado 85,3222.0
Cliente 66,Gobierno,Ubicación 58,Empleado 41,30623.28
Cliente 67,Pequeña Empresa,Ubicación 17,Empleado 16,24089.53
Cliente 68,Corporativo,Ubicación 32,Empleado 20,24786.24
Cliente 69,Pequeña Empresa,Ubicación 43,Empleado 93,21246.42
Cliente 70,Corporativo,Ubicación 67,Empleado 73,25864.06
Cliente 71,Pequeña Empresa,Ubicación 44,Empleado 54,11844.75
Cliente 72,Mediana Empresa,Ubicación 19,Empleado 73,12400.62
Cliente 73,Mediana Empresa,Ubicación 24,Empleado 96,26209.04
Cliente 74,Pequeña Empresa,Ubicación 64,Empleado 68,38237.2
Cliente 75,Pequeña Empresa,Ubicación 29,Empleado 24,45839.6
Cliente 76,Corporativo,Ubicación 26,Empleado 11,31604.42
Cliente 77,Pequeña Empresa,Ubicación 77,Empleado 36,24705.42
Cliente 78,Corporativo,Ubicación 48,Empleado 46,48206.9
Cliente 79,Gobierno,Ubicación 50,Empleado 81,26932.55
Cliente 80,Pequeña Empresa,Ubicación 96,Empleado 25,30837.93
Cliente 81,Mediana Empresa,Ubicación 6,Empleado 53,47152.81
Cliente 82,Corporativo,Ubicación 67,Empleado 70,31632.39
Cliente 83,Pequeña Empresa,Ubicación 42,Empleado 9,12851.12
Cliente 84,Gobierno,Ubicación 63,Empleado 79,22529.42
Cliente 85,Corporativo,Ubicación 6,Empleado 69,32650.69
Cliente 86,Pequeña Empresa,Ubicación 83,Empleado 60,31029.54
Cliente 87,Pequeña Empresa,Ubicación 2,Empleado 48,36741.86
Cliente 88,Pequeña Empresa,Ubicación 25,Empleado 15,30626.49
Cliente 89,Pequeña Empresa,Ubicación 83,Empleado 45,44591.2
Cliente 90,Pequeña Empresa,Ubicación 26,Empleado 56,30616.39
Cliente 91,Corporativo,Ubicación 69,Empleado 15,1048.55
Cliente 92,Mediana Empresa,Ubicación 78,Empleado 12,14976.51
Cliente 93,Pequeña Empresa,Ubicación 100,Empleado 96,30137.88
Cliente 94,Mediana Empresa,Ubicación 40,Empleado 20,35353.83
Cliente 95,Mediana Empresa,Ubicación 86,Empleado 95,13068.76
Cliente 96,Corporativo,Ubicación 98,Empleado 5,31060.69
Cliente 97,Corporativo,Ubicación 4,Empleado 89,34255.63
Cliente 98,Pequeña Empresa,Ubicación 76,Empleado 80,29896.92
Cliente 99,Gobierno,Ubicación 74,Empleado 9,37233.61
Cliente 100,Corporativo,Ubicación 99,Empleado 68,17882.89
Cliente 101,Pequeña Empresa,Ubicación 97,Empleado 51,36730.23
Cliente 102,Mediana Empresa,Ubicación 69,Empleado 89,12640.49
Cliente 103,Mediana Empresa,Ubicación 65,Empleado 30,2907.86
Cliente 104,Gobierno,Ubicación 36,Empleado 38,7775.41
Cliente 105,Mediana Empresa,Ubicación 95,Empleado 56,36161.12
Cliente 106,Pequeña Empresa,Ubicación 73,Empleado 97,39503.21
Cliente 107,Mediana Empresa,Ubicación 2,Empleado 18,27115.75
Cliente 108,Mediana Empresa,Ubicación 5,Empleado 60,32528.35
Cliente 109,Gobierno,Ubicación 89,Empleado 68,14565.98
Cliente 110,Pequeña Empresa,Ubicación 11,Empleado 87,3017.28
Cliente 111,Gobierno,Ubicación 34,Empleado 83,18538.02
Cliente 112,Mediana Empresa,Ubicación 15,Empleado 68,42988.01
Cliente 113,Mediana Empresa,Ubicación 89,Empleado 93,4051.63
Cliente 114,Corporativo,Ubicación 57,Empleado 47,14427.66
Cliente 115,Gobierno,Ubicación 21,Empleado 47,2515.92
Cliente 116,Pequeña Empresa,Ubicación 62,Empleado 62,25163.2
Cliente 117,Corporativo,Ubicación 2,Empleado 3,44538.35
Cliente 118,Gobierno,Ubicación 45,Empleado 25,6972.38
Cliente 119,Corporativo,Ubicación 5,Empleado 99,16460.19
Cliente 120,Gobierno,Ubicación 52,Empleado 52,38242.38
Cliente 121,Corporativo,Ubicación 99,Empleado 58,48554.23
Cliente 122,Corporativo,Ubicación 1,Empleado 77,37945.25
Cliente 123,Mediana Empresa,Ubicación 24,Empleado 60,46152.66
Cliente 124,Mediana Empresa,Ubicación 30,Empleado 68,20405.19
Cliente 125,Pequeña Empresa,Ubicación 92,Empleado 16,38280.67
Cliente 126,Mediana Empresa,Ubicación 67,Empleado 99,26889.33
Cliente 127,Pequeña Empresa,Ubicación 10,Empleado 77,19881.98
Cliente 128,Pequeña Empresa,Ubicación 41,Empleado 84,8432.77
Cliente 129,Corporativo,Ubicación 39,Empleado 1,36145.99
Cliente 130,Gobierno,Ubicación 17,Empleado 35,29228.8
Cliente 131,Mediana Empresa,Ubicación 83,Empleado 54,9872.58
Cliente 132,Mediana Empresa,Ubicación 14,Empleado 76,11236.39
Cliente 133,Pequeña Empresa,Ubicación 53,Empleado 2,39014.04
Cliente 134,Mediana Empresa,Ubicación 91,Empleado 18,41543.71
Cliente 135,Gobierno,Ubicación 74,Empleado 99,36647.34
Cliente 136,Corporativo,Ubicación 88,Empleado 8,26260.06
Cliente 137,Pequeña Empresa,Ubicación 3,Empleado 68,17381.88
Cliente 138,Mediana Empresa,Ubicación 42,Empleado 71,5471.46
Cliente 139,Mediana Empresa,Ubicación 19,Empleado 92,16286.75
Cliente 140,Gobierno,Ubicación 53,Empleado 78,10154.76
Cliente 141,Gobierno,Ubicación 93,Empleado 17,2124.26
Cliente 142,Mediana Empresa,Ubicación 5,Empleado 12,10133.05
Cliente 143,Corporativo,Ubicación 76,Empleado 43,29148.76
Cliente 144,Pequeña Empresa,Ubicación 67,Empleado 53,15154.03
Cliente 145,Gobierno,Ubicación 24,Empleado 69,42600.59
Cliente 146,Gobierno,Ubicación 68,Empleado 33,23142.82
Cliente 147,Gobierno,Ubicación 97,Empleado 36,24272.5
Cliente 148,Corporativo,Ubicación 76,Empleado 58,8634.73
Cliente 149,Pequeña Empresa,Ubicación 64,Empleado 13,518.92
Cliente 150,Pequeña Empresa,Ubicación 83,Empleado 32,37935.62
Cliente 151,Pequeña Empresa,Ubicación 97,Empleado 73,21274.44
Cliente 152,Pequeña Empresa,Ubicación 64,Empleado 71,1855.69
Cliente 153,Pequeña Empresa,Ubicación 13,Empleado 98,14658.55
Cliente 154,Gobierno,Ubicación 96,Empleado 18,24882.04
Cliente 155,Corporativo,Ubicación 47,Empleado 99,43899.35
Cliente 156,Mediana Empresa,Ubicación 63,Empleado 76,33830.46
Cliente 157,Pequeña Empresa,Ubicación 15,Empleado 69,37382.09
Cliente 158,Gobierno,Ubicación 64,Empleado 79,27428.76
Cliente 159,Gobierno,Ubicación 3,Empleado 41,38603.5
Cliente 160,Pequeña Empresa,Ubicación 51,Empleado 22,19117.94
Cliente 161,Gobierno,Ubicación 57,Empleado 35,44351.6
Cliente 162,Corporativo,Ubicación 66,Empleado 51,49096.14
Cliente 163,Gobierno,Ubicación 26,Empleado 89,38784.67
Cliente 164,Corporativo,Ubicación 22,Empleado 50,39411.11
Cliente 165,Pequeña Empresa,Ubicación 34,Empleado 62,41134.65
Cliente 166,Pequeña Empresa,Ubicación 24,Empleado 38,18739.89
Cliente 167,Corporativo,Ubicación 94,Empleado 72,40039.33
Cliente 168,Mediana Empresa,Ubicación 5,Empleado 50,39623.97
Cliente 169,Mediana Empresa,Ubicación 43,Empleado 48,34589.42
Cliente 170,Pequeña Empresa,Ubicación 11,Empleado 82,41197.37
Cliente 171,Pequeña Empresa,Ubicación 67,Empleado 30,18850.21
Cliente 172,Corporativo,Ubicación 31,Empleado 90,32236.86
Cliente 173,Corporativo,Ubicación 23,Empleado 13,5384.65
Cliente 174,Mediana Empresa,Ubicación 6,Empleado 31,15289.87
Cliente 175,Gobierno,Ubicación 45,Empleado 92,8394.75
Cliente 176,Mediana Empresa,Ubicación 34,Empleado 60,39462.59
Cliente 177,Mediana Empresa,Ubicación 60,Empleado 81,14205.79
Cliente 178,Corporativo,Ubicación 27,Empleado 60,30076.52
Cliente 179,Pequeña Empresa,Ubicación 32,Empleado 5,20180.21
Cliente 180,Mediana Empresa,Ubicación 14,Empleado 30,8790.84
Cliente 181,Pequeña Empresa,Ubicación 62,Empleado 32,49196.13
Cliente 182,Corporativo,Ubicación 25,Empleado 64,5845.8
Cliente 183,Corporativo,Ubicación 85,Empleado 92,21824.74
Cliente 184,Mediana Empresa,Ubicación 74,Empleado 68,39422.55
Cliente 185,Gobierno,Ubicación 77,Empleado 86,4270.5
Cliente 186,Mediana Empresa,Ubicación 26,Empleado 32,12168.75
Cliente 187,Gobierno,Ubicación 28,Empleado 83,5526.99
Cliente 188,Mediana Empresa,Ubicación 72,Empleado 37,15643.44
Cliente 189,Mediana Empresa,Ubicación 9,Empleado 29,31735.01
Cliente 190,Mediana Empresa,Ubicación 46,Empleado 34,38469.66
Cliente 191,Mediana Empresa,Ubicación 23,Empleado 99,1242.37
Cliente 192,Pequeña Empresa,Ubicación 96,Empleado 47,47511.5
Cliente 193,Gobierno,Ubicación 29,Empleado 40,48591.63
Cliente 194,Corporativo,Ubicación 73,Empleado 14,32614.85
Cliente 195,Corporativo,Ubicación 24,Empleado 24,36315.95
Cliente 196,Mediana Empresa,Ubicación 1,Empleado 63,6158.77
Cliente 197,Pequeña Empresa,Ubicación 32,Empleado 55,1129.34
Cliente 198,Mediana Empresa,Ubicación 54,Empleado 90,28145.77
Cliente 199,Pequeña Empresa,Ubicación 18,Empleado 70,49509.22
Cliente 200,Gobierno,Ubicación 14,Empleado 40,35097.93
Cliente 201,Gobierno,Ubicación 100,Empleado 77,4917.51
Cliente 202,Corporativo,Ubicación 79,Empleado 14,31842.08
Cliente 203,Pequeña Empresa,Ubicación 87,Empleado 58,1777.6
Cliente 204,Gobierno,Ubicación 27,Empleado 34,41822.19
Cliente 205,Pequeña Empresa,Ubicación 28,Empleado 77,34593.82
Cliente 206,Corporativo,Ubicación 75,Empleado 49,18772.7
Cliente 207,Pequeña Empresa,Ubicación 88,Empleado 50,40301.36
Cliente 208,Mediana Empresa,Ubicación 84,Empleado 52,12696.28
Cliente 209,Gobierno,Ubicación 64,Empleado 39,42755.18
Cliente 210,Corporativo,Ubicación 53,Empleado 10,36257.88
Cliente 211,Gobierno,Ubicación 18,Empleado 43,48919.21
Cliente 212,Pequeña Empresa,Ubicación 71,Empleado 91,4654.51
Cliente 213,Gobierno,Ubicación 80,Empleado 88,11106.95
Cliente 214,Gobierno,Ubicación 12,Empleado 50,1400.38
Cliente 215,Pequeña Empresa,Ubicación 17,Empleado 12,30971.48
Cliente 216,Pequeña Empresa,Ubicación 91,Empleado 33,34933.42
Cliente 217,Mediana Empresa,Ubicación 91,Empleado 12,7005.11
Cliente 218,Gobierno,Ubicación 51,Empleado 42,24972.39
Cliente 219,Corporativo,Ubicación 19,Empleado 65,47731.37
Cliente 220,Corporativo,Ubicación 71,Empleado 82,27367.09
Cliente 221,Corporativo,Ubicación 19,Empleado 46,7549.5
Cliente 222,Corporativo,Ubicación 18,Empleado 17,24466.26
Cliente 223,Mediana Empresa,Ubicación 95,Empleado 46,18818.44
Cliente 224,Mediana Empresa,Ubicación 62,Empleado 100,32333.36
Cliente 225,Corporativo,Ubicación 96,Empleado 29,24521.98
Cliente 226,Gobierno,Ubicación 31,Empleado 76,49825.09
Cliente 227,Corporativo,Ubicación 96,Empleado 56,12436.45
Cliente 228,Corporativo,Ubicación 4,Empleado 95,32853.63
Cliente 229,Gobierno,Ubicación 22,Empleado 91,20112.27
Cliente 230,Gobierno,Ubicación 74,Empleado 38,40206.27
Cliente 231,Mediana Empresa,Ubicación 57,Empleado 18,19808.74
Cliente 232,Pequeña Empresa,Ubicación 67,Empleado 71,41669.93
Cliente 233,Corporativo,Ubicación 19,Empleado 6,12070.68
Cliente 234,Corporativo,Ubicación 16,Empleado 62,23501.07
Cliente 235,Gobierno,Ubicación 75,Empleado 37,22756.93
Cliente 236,Gobierno,Ubicación 74,Empleado 71,47715.7
Cliente 237,Mediana Empresa,Ubicación 86,Empleado 36,11464.24
Cliente 238,Mediana Empresa,Ubicación 80,Empleado 74,42324.45
Cliente 239,Pequeña Empresa,Ubicación 30,Empleado 10,43451.55
Cliente 240,Corporativo,Ubicación 97,Empleado 36,47958.46
Cliente 241,Corporativo,Ubicación 63,Empleado 65,26457.39
Cliente 242,Pequeña Empresa,Ubicación 18,Empleado 78,17192.17
Cliente 243,Pequeña Empresa,Ubicación 55,Empleado 91,3559.33
Cliente 244,Gobierno,Ubicación 53,Empleado 84,32578.47
Cliente 245,Pequeña Empresa,Ubicación 17,Empleado 39,3958.83
Cliente 246,Corporativo,Ubicación 79,Empleado 15,35527.51
Cliente 247,Pequeña Empresa,Ubicación 3,Empleado 69,27699.28
Cliente 248,Corporativo,Ubicación 100,Empleado 44,34407.89
Cliente 249,Corporativo,Ubicación 59,Empleado 91,43049.57
Cliente 250,Corporativo,Ubicación 83,Empleado 61,16119.12
Cliente 251,Gobierno,Ubicación 91,Empleado 92,26425.74
Cliente 252,Pequeña Empresa,Ubicación 73,Empleado 22,26932.05
Cliente 253,Mediana Empresa,Ubicación 69,Empleado 54,36262.03
Cliente 254,Mediana Empresa,Ubicación 79,Empleado 33,9609.76
Cliente 255,Corporativo,Ubicación 36,Empleado 30,30302.34
Cliente 256,Corporativo,Ubicación 85,Empleado 66,25214.99
Cliente 257,Pequeña Empresa,Ubicación 50,Empleado 39,5119.59
Cliente 258,Mediana Empresa,Ubicación 27,Empleado 93,6110.92
Cliente 259,Corporativo,Ubicación 2,Empleado 53,32305.98
Cliente 260,Mediana Empresa,Ubicación 14,Empleado 68,23399.86
Cliente 261,Gobierno,Ubicación 34,Empleado 84,20297.79
Cliente 262,Pequeña Empresa,Ubicación 25,Empleado 13,23621.23
Cliente 263,Corporativo,Ubicación 35,Empleado 79,10182.19
Cliente 264,Gobierno,Ubicación 62,Empleado 29,49473.34
Cliente 265,Corporativo,Ubicación 67,Empleado 31,24467.97
Cliente 266,Mediana Empresa,Ubicación 91,Empleado 56,9375.62
Cliente 267,Pequeña Empresa,Ubicación 21,Empleado 54,21045.91
Cliente 268,Gobierno,Ubicación 3,Empleado 85,10840.98
Cliente 269,Pequeña Empresa,Ubicación 66,Empleado 5,22469.33
Cliente 270,Gobierno,Ubicación 26,Empleado 87,24076.48
Cliente 271,Gobierno,Ubicación 92,Empleado 21,40320.38
Cliente 272,Gobierno,Ubicación 6,Empleado 49,7849.76
Cliente 273,Mediana Empresa,Ubicación 94,Empleado 66,24340.76
Cliente 274,Gobierno,Ubicación 31,Empleado 26,33476.5
Cliente 275,Mediana Empresa,Ubicación 46,Empleado 24,25990.66
Cliente 276,Gobierno,Ubicación 18,Empleado 39,11439.62
Cliente 277,Mediana Empresa,Ubicación 89,Empleado 96,11052.57
Cliente 278,Corporativo,Ubicación 67,Empleado 55,31229.99
Cliente 279,Corporativo,Ubicación 86,Empleado 58,42212.19
Cliente 280,Corporativo,Ubicación 25,Empleado 61,41417.24
Cliente 281,Pequeña Empresa,Ubicación 56,Empleado 45,38794.35
Cliente 282,Mediana Empresa,Ubicación 69,Empleado 11,29540.08
Cliente 283,Pequeña Empresa,Ubicación 99,Empleado 51,32722.3
Cliente 284,Corporativo,Ubicación 10,Empleado 50,13488.04
Cliente 285,Corporativo,Ubicación 49,Empleado 2,41955.6
Cliente 286,Corporativo,Ubicación 28,Empleado 94,34761.57
Cliente 287,Corporativo,Ubicación 97,Empleado 9,16083.61
Cliente 288,Gobierno,Ubicación 30,Empleado 28,13905.66
Cliente 289,Gobierno,Ubicación 35,Empleado 91,37101.18
Cliente 290,Corporativo,Ubicación 70,Empleado 52,24095.33
Cliente 291,Pequeña Empresa,Ubicación 32,Empleado 97,40218.11
Cliente 292,Corporativo,Ubicación 41,Empleado 89,23246.44
Cliente 293,Gobierno,Ubicación 39,Empleado 83,48918.11
Cliente 294,Corporativo,Ubicación 29,Empleado 36,37306.2
Cliente 295,Mediana Empresa,Ubicación 17,Empleado 60,26248.67
Cliente 296,Mediana Empresa,Ubicación 31,Empleado 26,44462.42
Cliente 297,Pequeña Empresa,Ubicación 91,Empleado 2,25197.26
Cliente 298,Gobierno,Ubicación 21,Empleado 43,6483.92
Cliente 299,Gobierno,Ubicación 41,Empleado 98,10079.17
Cliente 300,Corporativo,Ubicación 68,Empleado 63,49423.78
Cliente 301,Pequeña Empresa,Ubicación 57,Empleado 86,20587.68
Cliente 302,Mediana Empresa,Ubicación 86,Empleado 87,49763.46
Cliente 303,Corporativo,Ubicación 28,Empleado 81,29358.6
Cliente 304,Mediana Empresa,Ubicación 45,Empleado 12,48436.67
Cliente 305,Corporativo,Ubicación 40,Empleado 7,46444.42
Cliente 306,Pequeña Empresa,Ubicación 42,Empleado 66,47857.32
Cliente 307,Pequeña Empresa,Ubicación 62,Empleado 100,14755.68
Cliente 308,Pequeña Empresa,Ubicación 63,Empleado 21,5259.22
Cliente 309,Gobierno,Ubicación 81,Empleado 15,9225.03
Cliente 310,Pequeña Empresa,Ubicación 42,Empleado 86,36767.82
Cliente 311,Gobierno,Ubicación 70,Empleado 88,31607.39
Cliente 312,Mediana Empresa,Ubicación 44,Empleado 38,34696.27
Cliente 313,Mediana Empresa,Ubicación 67,Empleado 74,772.09
Cliente 314,Pequeña Empresa,Ubicación 6,Empleado 65,13921.07
Cliente 315,Corporativo,Ubicación 50,Empleado 14,8639.5
Cliente 316,Mediana Empresa,Ubicación 22,Empleado 69,14809.8
Cliente 317,Pequeña Empresa,Ubicación 2,Empleado 31,4319.18
Cliente 318,Corporativo,Ubicación 5,Empleado 70,3338.0
Cliente 319,Corporativo,Ubicación 60,Empleado 26,33834.16
Cliente 320,Gobierno,Ubicación 40,Empleado 13,31788.74
Cliente 321,Mediana Empresa,Ubicación 83,Empleado 87,36542.6
Cliente 322,Pequeña Empresa,Ubicación 22,Empleado 83,2262.16
Cliente 323,Corporativo,Ubicación 75,Empleado 43,32842.8
Cliente 324,Gobierno,Ubicación 80,Empleado 97,28995.37
Cliente 325,Mediana Empresa,Ubicación 68,Empleado 4,28975.31
Cliente 326,Mediana Empresa,Ubicación 94,Empleado 18,19480.9
Cliente 327,Gobierno,Ubicación 76,Empleado 98,6985.73
Cliente 328,Mediana Empresa,Ubicación 37,Empleado 86,36393.1
Cliente 329,Gobierno,Ubicación 71,Empleado 35,45918.83
Cliente 330,Gobierno,Ubicación 55,Empleado 18,39865.35
Cliente 331,Pequeña Empresa,Ubicación 80,Empleado 92,9780.95
Cliente 332,Pequeña Empresa,Ubicación 4,Empleado 35,4150.3
Cliente 333,Gobierno,Ubicación 51,Empleado 48,5326.92
Cliente 334,Corporativo,Ubicación 60,Empleado 46,23953.28
Cliente 335,Mediana Empresa,Ubicación 79,Empleado 40,37861.58
Cliente 336,Corporativo,Ubicación 1,Empleado 31,8844.81
Cliente 337,Corporativo,Ubicación 91,Empleado 85,12647.51
Cliente 338,Mediana Empresa,Ubicación 33,Empleado 31,15079.57
Cliente 339,Mediana Empresa,Ubicación 72,Empleado 9,39339.77
Cliente 340,Gobierno,Ubicación 86,Empleado 9,30719.79
Cliente 341,Corporativo,Ubicación 34,Empleado 50,38412.91
Cliente 342,Gobierno,Ubicación 50,Empleado 85,28542.94
Cliente 343,Gobierno,Ubicación 93,Empleado 33,20768.84
Cliente 344,Corporativo,Ubicación 30,Empleado 33,43436.73
Cliente 345,Corporativo,Ubicación 31,Empleado 15,21116.07
Cliente 346,Pequeña Empresa,Ubicación 75,Empleado 35,40525.01
Cliente 347,Corporativo,Ubicación 84,Empleado 8,15146.05
Cliente 348,Corporativo,Ubicación 30,Empleado 66,30578.68
Cliente 349,Mediana Empresa,Ubicación 35,Empleado 19,9642.73
Cliente 350,Mediana Empresa,Ubicación 36,Empleado 33,18250.06
Cliente 351,Gobierno,Ubicación 19,Empleado 23,18811.16
Cliente 352,Pequeña Empresa,Ubicación 26,Empleado 52,11120.0
Cliente 353,Mediana Empresa,Ubicación 66,Empleado 27,38983.89
Cliente 354,Corporativo,Ubicación 97,Empleado 24,31578.43
Cliente 355,Mediana Empresa,Ubicación 87,Empleado 58,32183.56
Cliente 356,Gobierno,Ubicación 28,Empleado 81,13910.12
Cliente 357,Gobierno,Ubicación 84,Empleado 15,41774.12
Cliente 358,Corporativo,Ubicación 68,Empleado 5,25191.69
Cliente 359,Mediana Empresa,Ubicación 85,Empleado 93,37214.32
Cliente 360,Gobierno,Ubicación 85,Empleado 85,6433.17
Cliente 361,Corporativo,Ubicación 59,Empleado 60,45569.94
Cliente 362,Mediana Empresa,Ubicación 40,Empleado 98,16490.34
Cliente 363,Pequeña Empresa,Ubicación 62,Empleado 80,25058.03
Cliente 364,Pequeña Empresa,Ubicación 58,Empleado 44,40378.42
Cliente 365,Corporativo,Ubicación 96,Empleado 15,19961.89
Cliente 366,Pequeña Empresa,Ubicación 57,Empleado 44,29906.41
Cliente 367,Mediana Empresa,Ubicación 88,Empleado 69,12551.98
Cliente 368,Corporativo,Ubicación 40,Empleado 90,44214.0
Cliente 369,Corporativo,Ubicación 27,Empleado 55,10605.22
Cliente 370,Gobierno,Ubicación 86,Empleado 12,8988.9
Cliente 371,Corporativo,Ubicación 1,Empleado 81,13381.81
Cliente 372,Corporativo,Ubicación 88,Empleado 51,4150.39
Cliente 373,Mediana Empresa,Ubicación 65,Empleado 33,19765.07
Cliente 374,Mediana Empresa,Ubicación 61,Empleado 31,16236.9
Cliente 375,Mediana Empresa,Ubicación 22,Empleado 25,38917.04
Cliente 376,Gobierno,Ubicación 42,Empleado 66,28539.33
Cliente 377,Gobierno,Ubicación 46,Empleado 81,37693.14
Cliente 378,Pequeña Empresa,Ubicación 54,Empleado 68,17058.4
Cliente 379,Gobierno,Ubicación 27,Empleado 33,17064.23
Cliente 380,Corporativo,Ubicación 51,Empleado 92,43850.59
Cliente 381,Gobierno,Ubicación 55,Empleado 16,7571.34
Cliente 382,Pequeña Empresa,Ubicación 37,Empleado 62,13587.53
Cliente 383,Pequeña Empresa,Ubicación 92,Empleado 52,8275.94
Cliente 384,Corporativo,Ubicación 76,Empleado 93,37507.85
Cliente 385,Mediana Empresa,Ubicación 99,Empleado 82,18630.36
Cliente 386,Mediana Empresa,Ubicación 70,Empleado 5,26054.68
Cliente 387,Corporativo,Ubicación 77,Empleado 1,20631.62
Cliente 388,Pequeña Empresa,Ubicación 30,Empleado 12,26486.85
Cliente 389,Pequeña Empresa,Ubicación 51,Empleado 69,32672.91
Cliente 390,Mediana Empresa,Ubicación 5,Empleado 95,21844.43
Cliente 391,Corporativo,Ubicación 2,Empleado 69,6935.89
Cliente 392,Pequeña Empresa,Ubicación 41,Empleado 54,12822.09
Cliente 393,Gobierno,Ubicación 96,Empleado 7,31284.27
Cliente 394,Mediana Empresa,Ubicación 36,Empleado 45,36856.07
Cliente 395,Pequeña Empresa,Ubicación 97,Empleado 62,48369.12
Cliente 396,Corporativo,Ubicación 24,Empleado 32,13600.85
Cliente 397,Corporativo,Ubicación 56,Empleado 26,6940.61
Cliente 398,Corporativo,Ubicación 41,Empleado 65,14500.5
Cliente 399,Mediana Empresa,Ubicación 21,Empleado 62,12226.89
