Número de Pedido,Cliente,Fecha del Pedido,Monto Total,Estado del Pedido,Ejecutivo Responsable,Producto Comprado
Pedido-30,Cliente 710,2024-06-23,3894.67,Cancelado,Empleado 96,"Producto 253, Producto 31"
Pedido-31,Cliente 959,2024-04-07,1169.89,Procesado,Empleado 71,Producto 189
Pedido-32,Cliente 1289,2024-09-08,293.28,Procesado,Empleado 32,"Producto 144, Producto 73, Producto 135"
Pedido-33,Cliente 742,2024-11-10,3378.65,Enviado,Empleado 12,"Producto 54, Producto 211, Producto 201"
Pedido-34,Cliente 868,2024-06-20,4817.84,Entregado,Empleado 25,Producto 230
Pedido-35,Cliente 1630,2024-10-19,1637.64,Cancelado,Empleado 63,"Producto 215, Producto 34, Producto 126"
Pedido-36,Cliente 825,2024-06-29,4144.34,Procesado,Empleado 56,"Producto 123, Producto 247, Producto 133"
Pedido-37,Cliente 1396,2024-07-15,4300.44,Procesado,Empleado 83,"Producto 80, Producto 211, Producto 274"
Pedido-38,Cliente 628,2024-08-14,726.41,Pendiente,Empleado 60,"Producto 276, Producto 40, Producto 149"
Pedido-39,Cliente 703,2024-06-10,4631.04,Entregado,Empleado 99,"Producto 162, Producto 196"
Pedido-40,Cliente 1532,2024-07-17,888.0,Procesado,Empleado 12,"Producto 102, Producto 226, Producto 101, Producto 293"
Pedido-41,Cliente 1328,2025-01-10,4018.86,Cancelado,Empleado 57,Producto 183
Pedido-42,Cliente 1279,2024-04-03,3360.33,Procesado,Empleado 44,"Producto 215, Producto 23, Producto 109, Producto 233"
Pedido-43,Cliente 1448,2025-01-26,4430.23,Procesado,Empleado 94,"Producto 48, Producto 150, Producto 33, Producto 8"
Pedido-44,Cliente 1240,2024-05-23,1722.2,Enviado,Empleado 80,"Producto 270, Producto 191"
Pedido-45,Cliente 1149,2024-10-24,664.16,Cancelado,Empleado 59,"Producto 77, Producto 259, Producto 23, Producto 248, Producto 301"
Pedido-46,Cliente 189,2024-08-27,4657.41,Cancelado,Empleado 47,"Producto 119, Producto 203, Producto 15, Producto 256"
Pedido-47,Cliente 235,2024-04-20,2094.75,Pendiente,Empleado 45,"Producto 289, Producto 189, Producto 162, Producto 290, Producto 38"
Pedido-48,Cliente 1098,2024-05-16,2815.02,Pendiente,Empleado 24,"Producto 221, Producto 112, Producto 205, Producto 147"
Pedido-49,Cliente 1001,2024-08-26,462.91,Cancelado,Empleado 5,"Producto 37, Producto 180, Producto 271, Producto 138, Producto 58"
Pedido-50,Cliente 1846,2024-05-14,3028.14,Procesado,Empleado 64,"Producto 40, Producto 181, Producto 19, Producto 220"
Pedido-51,Cliente 514,2024-06-11,4710.5,Enviado,Empleado 75,"Producto 289, Producto 74, Producto 157, Producto 166"
Pedido-52,Cliente 357,2024-03-09,553.15,Cancelado,Empleado 76,"Producto 278, Producto 191, Producto 116, Producto 280"
Pedido-53,Cliente 284,2024-07-29,3187.52,Entregado,Empleado 97,"Producto 300, Producto 39, Producto 299, Producto 171"
Pedido-54,Cliente 1841,2024-05-12,4462.13,Cancelado,Empleado 44,"Producto 275, Producto 241, Producto 114, Producto 287"
Pedido-55,Cliente 1576,2024-08-19,4046.0,Entregado,Empleado 71,"Producto 72, Producto 123, Producto 265, Producto 39, Producto 124"
Pedido-56,Cliente 1020,2025-01-12,2075.11,Procesado,Empleado 77,"Producto 215, Producto 226, Producto 201"
Pedido-57,Cliente 123,2025-02-10,3591.61,Procesado,Empleado 15,"Producto 36, Producto 188, Producto 22, Producto 100, Producto 225"
Pedido-58,Cliente 856,2024-10-10,3771.01,Pendiente,Empleado 12,Producto 123
Pedido-59,Cliente 998,2024-06-14,654.21,Pendiente,Empleado 93,"Producto 103, Producto 21, Producto 227"
Pedido-60,Cliente 727,2025-01-27,2248.14,Pendiente,Empleado 27,"Producto 61, Producto 173, Producto 97, Producto 188, Producto 276"
Pedido-61,Cliente 567,2024-04-22,677.34,Enviado,Empleado 38,"Producto 178, Producto 161, Producto 207"
Pedido-62,Cliente 1020,2024-11-13,2651.72,Enviado,Empleado 76,"Producto 12, Producto 153, Producto 49, Producto 68, Producto 271"
Pedido-63,Cliente 748,2025-02-03,3175.22,Cancelado,Empleado 98,Producto 23
Pedido-64,Cliente 835,2024-10-29,1174.0,Procesado,Empleado 51,Producto 217
Pedido-65,Cliente 131,2024-07-02,2400.58,Cancelado,Empleado 53,"Producto 283, Producto 229, Producto 134, Producto 267"
Pedido-66,Cliente 643,2024-03-27,3153.62,Pendiente,Empleado 58,"Producto 247, Producto 228, Producto 169, Producto 191"
Pedido-67,Cliente 900,2024-04-25,4308.35,Entregado,Empleado 80,"Producto 85, Producto 249"
Pedido-68,Cliente 1373,2024-06-13,2972.61,Enviado,Empleado 34,"Producto 295, Producto 105, Producto 180"
Pedido-69,Cliente 896,2024-10-23,432.5,Entregado,Empleado 45,"Producto 33, Producto 133"
Pedido-70,Cliente 234,2024-08-29,3884.43,Entregado,Empleado 38,"Producto 3, Producto 70, Producto 178, Producto 167"
Pedido-71,Cliente 1611,2024-03-07,4714.5,Pendiente,Empleado 78,Producto 88
Pedido-72,Cliente 535,2024-07-22,2955.97,Entregado,Empleado 2,"Producto 215, Producto 291"
Pedido-73,Cliente 1521,2024-10-09,313.72,Entregado,Empleado 10,"Producto 127, Producto 251"
Pedido-74,Cliente 1609,2024-03-27,1230.3,Entregado,Empleado 93,"Producto 82, Producto 116, Producto 228, Producto 69"
Pedido-75,Cliente 825,2024-05-20,705.8,Entregado,Empleado 90,"Producto 206, Producto 86, Producto 225, Producto 288"
Pedido-76,Cliente 1402,2024-11-14,4603.8,Procesado,Empleado 10,Producto 176
Pedido-77,Cliente 1602,2024-05-09,1874.96,Cancelado,Empleado 17,"Producto 270, Producto 246, Producto 277, Producto 128"
Pedido-78,Cliente 463,2024-07-29,4930.01,Entregado,Empleado 75,"Producto 167, Producto 91, Producto 86, Producto 107"
Pedido-79,Cliente 1347,2025-01-05,1706.72,Pendiente,Empleado 27,"Producto 9, Producto 63, Producto 298, Producto 236, Producto 168"
Pedido-80,Cliente 150,2024-10-31,3640.62,Pendiente,Empleado 69,"Producto 14, Producto 19"
Pedido-81,Cliente 554,2024-09-13,3371.55,Pendiente,Empleado 18,"Producto 240, Producto 145, Producto 100"
Pedido-82,Cliente 628,2024-04-18,277.85,Entregado,Empleado 89,Producto 283
Pedido-83,Cliente 653,2024-06-10,2515.69,Cancelado,Empleado 87,"Producto 235, Producto 253, Producto 94, Producto 66"
Pedido-84,Cliente 1125,2024-04-06,1515.32,Pendiente,Empleado 26,"Producto 62, Producto 270, Producto 4, Producto 22, Producto 48"
Pedido-85,Cliente 80,2024-05-12,1859.08,Entregado,Empleado 15,"Producto 96, Producto 14, Producto 255"
Pedido-86,Cliente 868,2024-09-18,2212.09,Entregado,Empleado 61,"Producto 126, Producto 270"
Pedido-87,Cliente 831,2024-08-16,2951.48,Pendiente,Empleado 59,Producto 217
Pedido-88,Cliente 1103,2024-03-14,1707.85,Entregado,Empleado 78,"Producto 178, Producto 171, Producto 82"
Pedido-89,Cliente 1623,2024-12-30,1728.12,Enviado,Empleado 2,"Producto 77, Producto 120, Producto 155, Producto 262"
Pedido-90,Cliente 1627,2024-05-03,1076.12,Pendiente,Empleado 31,"Producto 132, Producto 154, Producto 112, Producto 89"
Pedido-91,Cliente 1218,2024-05-31,1191.82,Procesado,Empleado 78,"Producto 37, Producto 260"
Pedido-92,Cliente 966,2024-10-30,4909.01,Pendiente,Empleado 24,"Producto 243, Producto 166, Producto 89, Producto 143"
Pedido-93,Cliente 1368,2024-10-28,4802.25,Procesado,Empleado 50,"Producto 141, Producto 35"
Pedido-94,Cliente 688,2024-12-06,2857.96,Entregado,Empleado 42,Producto 188
Pedido-95,Cliente 1464,2024-04-26,3358.9,Pendiente,Empleado 54,"Producto 195, Producto 237, Producto 262, Producto 178, Producto 155"
Pedido-96,Cliente 1961,2025-01-01,2050.58,Cancelado,Empleado 27,"Producto 77, Producto 231, Producto 300"
Pedido-97,Cliente 167,2024-06-20,2413.02,Procesado,Empleado 20,"Producto 114, Producto 168, Producto 181, Producto 10"
Pedido-98,Cliente 358,2024-10-15,1961.62,Cancelado,Empleado 92,"Producto 38, Producto 127, Producto 76"
Pedido-99,Cliente 1688,2024-06-30,251.3,Cancelado,Empleado 33,Producto 52
Pedido-100,Cliente 198,2025-01-04,3068.61,Entregado,Empleado 86,"Producto 32, Producto 272, Producto 283"
Pedido-101,Cliente 326,2025-01-11,3369.11,Entregado,Empleado 72,"Producto 272, Producto 178, Producto 118"
Pedido-102,Cliente 942,2025-01-15,2222.28,Pendiente,Empleado 90,Producto 42
Pedido-103,Cliente 101,2024-02-27,4610.89,Procesado,Empleado 42,"Producto 37, Producto 165, Producto 24, Producto 107"
Pedido-104,Cliente 1504,2024-05-04,4948.9,Pendiente,Empleado 92,"Producto 255, Producto 264, Producto 254, Producto 216"
Pedido-105,Cliente 1233,2025-01-23,2522.78,Cancelado,Empleado 89,"Producto 227, Producto 293, Producto 191"
Pedido-106,Cliente 375,2024-07-06,2703.21,Pendiente,Empleado 10,"Producto 164, Producto 98, Producto 259, Producto 280"
Pedido-107,Cliente 10,2024-10-12,3237.91,Enviado,Empleado 74,"Producto 241, Producto 250, Producto 200"
Pedido-108,Cliente 525,2024-06-09,587.02,Entregado,Empleado 93,"Producto 270, Producto 289, Producto 194"
Pedido-109,Cliente 1110,2024-11-07,1219.51,Procesado,Empleado 76,"Producto 276, Producto 293"
Pedido-110,Cliente 1601,2024-08-31,137.79,Enviado,Empleado 85,"Producto 44, Producto 120"
Pedido-111,Cliente 1338,2024-04-17,3137.97,Entregado,Empleado 78,"Producto 294, Producto 200, Producto 170, Producto 213"
Pedido-112,Cliente 1977,2024-03-31,185.22,Pendiente,Empleado 46,Producto 192
Pedido-113,Cliente 1276,2025-02-22,2390.58,Enviado,Empleado 78,"Producto 182, Producto 216, Producto 29, Producto 137, Producto 277"
Pedido-114,Cliente 881,2024-11-22,2500.25,Entregado,Empleado 92,Producto 50
Pedido-115,Cliente 662,2025-01-01,215.15,Cancelado,Empleado 64,"Producto 181, Producto 90, Producto 280"
Pedido-116,Cliente 1406,2024-11-17,913.59,Enviado,Empleado 71,"Producto 71, Producto 242, Producto 254, Producto 262, Producto 269"
Pedido-117,Cliente 1605,2025-02-16,1432.42,Procesado,Empleado 28,Producto 175
Pedido-118,Cliente 568,2025-02-05,3504.19,Entregado,Empleado 74,"Producto 106, Producto 202, Producto 134"
Pedido-119,Cliente 1543,2024-03-05,2793.04,Cancelado,Empleado 70,"Producto 115, Producto 300, Producto 143, Producto 241, Producto 97"
Pedido-120,Cliente 876,2024-12-22,1028.34,Enviado,Empleado 78,Producto 84
Pedido-121,Cliente 671,2024-04-26,4409.52,Procesado,Empleado 34,"Producto 283, Producto 102"
Pedido-122,Cliente 733,2024-11-16,4538.65,Procesado,Empleado 21,"Producto 164, Producto 104, Producto 64, Producto 242, Producto 78"
Pedido-123,Cliente 711,2025-01-24,4555.28,Cancelado,Empleado 32,"Producto 77, Producto 4, Producto 232"
Pedido-124,Cliente 1438,2024-06-29,2180.13,Entregado,Empleado 58,Producto 81
Pedido-125,Cliente 336,2024-07-05,2820.52,Enviado,Empleado 83,"Producto 74, Producto 65"
Pedido-126,Cliente 1727,2024-10-01,2482.6,Cancelado,Empleado 46,"Producto 185, Producto 223, Producto 216, Producto 88"
Pedido-127,Cliente 5,2024-10-12,2412.36,Cancelado,Empleado 80,"Producto 37, Producto 280, Producto 143, Producto 236"
Pedido-128,Cliente 1531,2024-03-18,2797.09,Pendiente,Empleado 39,"Producto 42, Producto 170, Producto 125, Producto 190, Producto 248"
Pedido-129,Cliente 892,2024-07-06,956.09,Entregado,Empleado 68,"Producto 77, Producto 223, Producto 165"
Pedido-130,Cliente 803,2025-02-18,1869.48,Procesado,Empleado 29,Producto 18
Pedido-131,Cliente 320,2024-07-19,2657.62,Cancelado,Empleado 44,"Producto 127, Producto 234, Producto 33"
Pedido-132,Cliente 832,2024-06-29,1829.18,Entregado,Empleado 25,"Producto 48, Producto 73, Producto 271"
Pedido-133,Cliente 153,2024-11-19,773.34,Cancelado,Empleado 98,Producto 17
Pedido-134,Cliente 173,2024-08-16,3647.98,Cancelado,Empleado 87,"Producto 51, Producto 37"
Pedido-135,Cliente 163,2024-08-14,3224.53,Pendiente,Empleado 33,"Producto 211, Producto 75, Producto 137, Producto 252, Producto 163"
Pedido-136,Cliente 315,2024-03-04,2864.83,Entregado,Empleado 93,"Producto 249, Producto 112, Producto 98, Producto 24, Producto 117"
Pedido-137,Cliente 1987,2024-04-06,1698.79,Entregado,Empleado 13,"Producto 244, Producto 51, Producto 295, Producto 43"
Pedido-138,Cliente 1971,2024-07-18,716.56,Cancelado,Empleado 1,"Producto 177, Producto 92"
Pedido-139,Cliente 66,2024-03-19,1868.93,Cancelado,Empleado 100,"Producto 39, Producto 112, Producto 150, Producto 187"
Pedido-140,Cliente 1879,2024-12-26,1649.26,Enviado,Empleado 40,"Producto 276, Producto 292"
Pedido-141,Cliente 1161,2025-02-22,3033.44,Enviado,Empleado 74,Producto 219
Pedido-142,Cliente 1042,2024-03-31,4932.53,Cancelado,Empleado 43,Producto 148
Pedido-143,Cliente 1371,2025-01-14,3563.78,Cancelado,Empleado 59,"Producto 182, Producto 75, Producto 137"
Pedido-144,Cliente 1988,2024-11-17,1297.9,Entregado,Empleado 24,"Producto 150, Producto 23, Producto 254"
Pedido-145,Cliente 1028,2024-10-01,2863.48,Procesado,Empleado 85,"Producto 119, Producto 277, Producto 62"
Pedido-146,Cliente 1214,2025-01-01,1237.63,Pendiente,Empleado 78,"Producto 112, Producto 169, Producto 72"
Pedido-147,Cliente 91,2024-07-19,3659.85,Enviado,Empleado 13,Producto 223
Pedido-148,Cliente 511,2024-07-15,2271.31,Enviado,Empleado 60,"Producto 60, Producto 22, Producto 129, Producto 190, Producto 164"
Pedido-149,Cliente 1650,2024-08-22,2364.26,Enviado,Empleado 12,"Producto 55, Producto 252, Producto 186, Producto 237, Producto 120"
Pedido-150,Cliente 208,2025-01-14,1660.52,Entregado,Empleado 99,"Producto 19, Producto 192, Producto 140, Producto 62"
Pedido-151,Cliente 639,2024-09-11,266.45,Pendiente,Empleado 97,"Producto 39, Producto 266, Producto 67, Producto 197, Producto 181"
Pedido-152,Cliente 1791,2025-02-18,2302.36,Cancelado,Empleado 80,Producto 114
Pedido-153,Cliente 1173,2024-09-30,1648.38,Entregado,Empleado 88,"Producto 23, Producto 282, Producto 262, Producto 14"
Pedido-154,Cliente 844,2025-02-05,3727.6,Enviado,Empleado 44,Producto 233
Pedido-155,Cliente 960,2024-08-18,176.94,Procesado,Empleado 60,Producto 200
Pedido-156,Cliente 835,2024-04-19,4744.1,Entregado,Empleado 37,"Producto 75, Producto 205, Producto 65, Producto 11, Producto 194"
Pedido-157,Cliente 822,2024-03-12,1544.49,Enviado,Empleado 79,"Producto 246, Producto 34, Producto 196, Producto 274, Producto 19"
Pedido-158,Cliente 78,2025-02-21,2333.43,Pendiente,Empleado 38,"Producto 219, Producto 144, Producto 107"
Pedido-159,Cliente 527,2025-01-22,4615.76,Pendiente,Empleado 85,"Producto 99, Producto 24, Producto 197, Producto 12"
Pedido-160,Cliente 569,2024-08-30,3651.59,Cancelado,Empleado 58,"Producto 173, Producto 291, Producto 175"
Pedido-161,Cliente 1004,2024-04-26,526.9,Entregado,Empleado 9,"Producto 207, Producto 166, Producto 22, Producto 220, Producto 189"
Pedido-162,Cliente 675,2024-09-20,4462.44,Procesado,Empleado 24,Producto 210
Pedido-163,Cliente 1309,2024-10-12,1194.53,Cancelado,Empleado 58,Producto 154
Pedido-164,Cliente 313,2024-12-26,4412.93,Procesado,Empleado 10,"Producto 233, Producto 135, Producto 176, Producto 86, Producto 41"
Pedido-165,Cliente 325,2024-06-18,2199.06,Cancelado,Empleado 88,Producto 27
Pedido-166,Cliente 918,2024-05-18,920.33,Procesado,Empleado 47,"Producto 275, Producto 14, Producto 182, Producto 5"
Pedido-167,Cliente 279,2025-02-09,2794.87,Cancelado,Empleado 78,"Producto 217, Producto 171, Producto 31, Producto 222"
Pedido-168,Cliente 90,2025-01-14,1013.24,Entregado,Empleado 60,"Producto 218, Producto 179, Producto 274, Producto 139"
Pedido-169,Cliente 22,2025-01-13,3817.71,Enviado,Empleado 82,"Producto 230, Producto 16"
Pedido-170,Cliente 702,2024-05-28,3642.16,Pendiente,Empleado 29,Producto 30
Pedido-171,Cliente 560,2024-08-13,1653.72,Cancelado,Empleado 17,"Producto 31, Producto 195, Producto 254"
Pedido-172,Cliente 1046,2024-12-04,953.66,Enviado,Empleado 61,"Producto 112, Producto 101, Producto 43, Producto 69, Producto 11"
Pedido-173,Cliente 971,2024-04-15,3094.03,Entregado,Empleado 77,"Producto 212, Producto 142, Producto 145"
Pedido-174,Cliente 411,2024-07-29,3581.01,Enviado,Empleado 29,"Producto 280, Producto 13, Producto 152"
Pedido-175,Cliente 138,2024-02-29,1805.91,Cancelado,Empleado 52,Producto 130
Pedido-176,Cliente 1106,2024-03-03,1003.48,Procesado,Empleado 4,Producto 253
Pedido-177,Cliente 231,2024-05-22,3678.01,Cancelado,Empleado 13,"Producto 250, Producto 104, Producto 240"
Pedido-178,Cliente 32,2024-07-16,3029.77,Procesado,Empleado 86,"Producto 65, Producto 41, Producto 218, Producto 166, Producto 174"
Pedido-179,Cliente 1300,2024-12-30,2268.63,Entregado,Empleado 59,"Producto 253, Producto 254, Producto 211, Producto 135"
Pedido-180,Cliente 1730,2024-05-21,163.89,Procesado,Empleado 58,"Producto 79, Producto 21, Producto 259, Producto 2, Producto 285"
Pedido-181,Cliente 50,2024-05-29,1479.55,Pendiente,Empleado 49,"Producto 55, Producto 139, Producto 67"
Pedido-182,Cliente 1310,2024-04-24,4031.25,Procesado,Empleado 52,"Producto 95, Producto 235, Producto 238"
Pedido-183,Cliente 560,2024-05-05,3063.95,Cancelado,Empleado 55,"Producto 299, Producto 221, Producto 256"
Pedido-184,Cliente 814,2024-06-06,3402.68,Procesado,Empleado 45,"Producto 21, Producto 138, Producto 58"
Pedido-185,Cliente 1319,2024-05-17,3034.53,Procesado,Empleado 64,"Producto 165, Producto 63, Producto 265, Producto 221, Producto 25"
Pedido-186,Cliente 1587,2024-11-25,1103.12,Entregado,Empleado 52,"Producto 251, Producto 52"
Pedido-187,Cliente 991,2024-04-25,312.28,Procesado,Empleado 88,"Producto 261, Producto 160, Producto 97"
Pedido-188,Cliente 381,2024-05-02,4213.41,Entregado,Empleado 17,"Producto 230, Producto 71, Producto 83, Producto 76"
Pedido-189,Cliente 1949,2024-09-20,2764.41,Cancelado,Empleado 61,"Producto 162, Producto 74"
Pedido-190,Cliente 767,2024-11-18,386.33,Pendiente,Empleado 49,"Producto 234, Producto 85, Producto 78, Producto 133, Producto 63"
Pedido-191,Cliente 641,2024-09-16,3114.25,Cancelado,Empleado 11,Producto 84
Pedido-192,Cliente 1068,2024-10-27,2668.82,Pendiente,Empleado 100,"Producto 57, Producto 77, Producto 201"
Pedido-193,Cliente 343,2024-03-09,425.78,Procesado,Empleado 44,"Producto 36, Producto 293"
Pedido-194,Cliente 1399,2024-06-16,568.88,Cancelado,Empleado 53,"Producto 228, Producto 277, Producto 180"
Pedido-195,Cliente 419,2024-12-12,1921.95,Procesado,Empleado 66,"Producto 273, Producto 76, Producto 56, Producto 242"
Pedido-196,Cliente 1986,2024-03-04,2278.6,Entregado,Empleado 7,Producto 163
Pedido-197,Cliente 1611,2024-12-12,122.93,Entregado,Empleado 99,"Producto 74, Producto 162, Producto 138, Producto 224, Producto 212"
Pedido-198,Cliente 854,2024-10-01,3215.04,Pendiente,Empleado 30,"Producto 265, Producto 258, Producto 120"
Pedido-199,Cliente 1002,2024-12-29,924.08,Entregado,Empleado 77,Producto 174
Pedido-200,Cliente 769,2024-03-16,1245.55,Entregado,Empleado 49,"Producto 17, Producto 99, Producto 31, Producto 241"
Pedido-201,Cliente 968,2024-04-22,4068.9,Cancelado,Empleado 33,Producto 61
Pedido-202,Cliente 939,2024-11-14,639.83,Entregado,Empleado 79,"Producto 128, Producto 58, Producto 100, Producto 211, Producto 96"
Pedido-203,Cliente 1727,2024-07-15,907.65,Enviado,Empleado 91,"Producto 155, Producto 48, Producto 96, Producto 127, Producto 4"
Pedido-204,Cliente 671,2024-05-06,892.35,Enviado,Empleado 77,"Producto 110, Producto 10, Producto 3, Producto 99, Producto 8"
Pedido-205,Cliente 1086,2024-06-29,980.55,Entregado,Empleado 50,"Producto 74, Producto 114, Producto 135, Producto 39"
Pedido-206,Cliente 1723,2024-06-27,1382.09,Entregado,Empleado 6,"Producto 279, Producto 24, Producto 155"
Pedido-207,Cliente 173,2024-08-06,3616.32,Enviado,Empleado 88,"Producto 116, Producto 185, Producto 141, Producto 108"
Pedido-208,Cliente 861,2024-07-09,4188.16,Enviado,Empleado 44,Producto 235
Pedido-209,Cliente 409,2024-12-01,2839.59,Procesado,Empleado 15,"Producto 46, Producto 200, Producto 113, Producto 186"
Pedido-210,Cliente 756,2024-07-27,804.8,Cancelado,Empleado 52,"Producto 55, Producto 112"
Pedido-211,Cliente 1380,2024-06-25,1645.17,Enviado,Empleado 86,Producto 94
Pedido-212,Cliente 1773,2025-01-31,4984.53,Pendiente,Empleado 27,"Producto 147, Producto 86"
Pedido-213,Cliente 1273,2025-01-15,2395.71,Procesado,Empleado 63,"Producto 273, Producto 142, Producto 274, Producto 33"
Pedido-214,Cliente 1556,2024-07-20,1857.95,Procesado,Empleado 15,"Producto 7, Producto 75, Producto 128"
Pedido-215,Cliente 462,2024-09-06,3195.15,Entregado,Empleado 73,"Producto 101, Producto 94"
Pedido-216,Cliente 750,2024-11-08,4837.3,Cancelado,Empleado 47,"Producto 159, Producto 82"
Pedido-217,Cliente 1580,2024-04-09,3540.24,Procesado,Empleado 18,"Producto 55, Producto 161, Producto 297, Producto 123, Producto 128"
Pedido-218,Cliente 1539,2024-12-29,262.55,Cancelado,Empleado 94,"Producto 159, Producto 50, Producto 242, Producto 14"
Pedido-219,Cliente 764,2024-09-08,4596.36,Cancelado,Empleado 45,"Producto 202, Producto 301, Producto 228, Producto 56"
Pedido-220,Cliente 1744,2025-01-30,917.15,Pendiente,Empleado 71,"Producto 157, Producto 32, Producto 149"
Pedido-221,Cliente 1382,2024-04-05,4135.25,Cancelado,Empleado 19,"Producto 17, Producto 268"
Pedido-222,Cliente 29,2024-11-22,3458.23,Entregado,Empleado 22,"Producto 190, Producto 39, Producto 236, Producto 287"
Pedido-223,Cliente 1379,2024-10-22,2555.36,Enviado,Empleado 15,Producto 236
Pedido-224,Cliente 521,2025-02-13,4333.96,Pendiente,Empleado 23,"Producto 207, Producto 137, Producto 295, Producto 270"
Pedido-225,Cliente 1548,2024-12-03,4418.24,Procesado,Empleado 47,"Producto 64, Producto 177, Producto 5, Producto 60, Producto 270"
Pedido-226,Cliente 1626,2024-08-05,3147.28,Pendiente,Empleado 40,"Producto 136, Producto 162, Producto 22, Producto 25"
Pedido-227,Cliente 668,2024-03-13,3925.49,Entregado,Empleado 22,"Producto 261, Producto 214, Producto 73"
Pedido-228,Cliente 840,2024-04-25,3639.89,Procesado,Empleado 45,"Producto 250, Producto 205, Producto 294"
Pedido-229,Cliente 835,2024-06-19,3353.53,Procesado,Empleado 53,"Producto 195, Producto 178, Producto 131, Producto 282, Producto 277"
Pedido-230,Cliente 778,2024-11-10,4351.45,Cancelado,Empleado 30,"Producto 161, Producto 42"
Pedido-231,Cliente 142,2024-04-02,2142.93,Enviado,Empleado 9,"Producto 110, Producto 15, Producto 103"
Pedido-232,Cliente 621,2024-06-26,2856.53,Pendiente,Empleado 92,"Producto 198, Producto 51"
Pedido-233,Cliente 1264,2024-11-24,1303.94,Pendiente,Empleado 66,"Producto 260, Producto 56, Producto 113"
Pedido-234,Cliente 753,2025-02-17,1992.7,Pendiente,Empleado 70,"Producto 240, Producto 92, Producto 294, Producto 86"
Pedido-235,Cliente 1876,2025-01-25,2546.15,Pendiente,Empleado 62,Producto 13
Pedido-236,Cliente 312,2024-07-16,264.08,Enviado,Empleado 27,Producto 143
Pedido-237,Cliente 1006,2025-01-31,2083.74,Procesado,Empleado 63,"Producto 119, Producto 285"
